 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,       
 0000.529297, 001203,  0.120, _,    -00165, 000024, 008322,    
 0000.728516, 001000,  0.100, _,    -00163, 000015, 008382,    
 0000.738281, 000982,  0.098, _,    -00184, 000009, 008389,    
 0000.748047, 000983,  0.098, _,    -00156, 000001, 008333,    
 0000.757812, 000979,  0.098, _,    -00194, -00033, 008301,    
 0000.767578, 000978,  0.098, _,    -00176, -00029, 008354,    
 0000.779297, 000982,  0.098, _,    -00213, -00011, 008346,    
 0000.789062, 000980,  0.098, _,    -00207, -00027, 008359,    
 0000.798828, 000982,  0.098, _,    -00170, -00003, 008339,    
 0000.808594, 000979,  0.098, _,    -00200, -00025, 008337,    
 0000.818359, 000979,  0.098, _,    -00148, 000005, 008380,    
 0000.828125, 000982,  0.098, _,    -00200, 000000, 008352,    
 0000.837891, 000978,  0.098, _,    -00167, -00002, 008386,    
 0000.847656, 000980,  0.098, _,    -00157, -00001, 008359,    
 0000.859375, 000978,  0.098, _,    -00177, 000006, 008311,    
 0000.869141, 000979,  0.098, _,    -00188, -00027, 008335,    
 0000.878906, 000979,  0.098, _,    -00210, -00035, 008341,    
 0000.888672, 000978,  0.098, _,    -00170, -00008, 008338,    
 0000.898438, 000980,  0.098, _,    -00194, 000004, 008427,    
 0000.908203, 000979,  0.098, _,    -00157, -00003, 008339,    
 0000.917969, 000979,  0.098, _,    -00135, -00021, 008269,    
 0000.927734, 000979,  0.098, _,    -00206, 000001, 008376,    
 0000.939453, 000979,  0.098, _,    -00191, -00030, 008309,    
 0000.949219, 000980,  0.098, _,    -00202, -00005, 008335,    
 0000.958984, 000979,  0.098, _,    -00173, -00027, 008310,    
 0000.968750, 000978,  0.098, _,    -00144, -00042, 008335,    
 0000.978516, 000980,  0.098, _,    -00218, 000031, 008416,    
 0000.988281, 000977,  0.098, _,    -00173, -00030, 008355,    
 0000.998047, 000981,  0.098, _,    -00165, -00048, 008311,    
 0001.007812, 000979,  0.098, _,    -00182, -00002, 008296,    
 0001.017578, 000979,  0.098, _,    -00176, -00025, 008344,    
 0001.029297, 000978,  0.098, _,    -00146, -00013, 008323,    
 0001.039062, 000978,  0.098, _,    -00172, -00024, 008405,    
 0001.048828, 000979,  0.098, _,    -00242, -00012, 008330,    
 0001.058594, 000979,  0.098, _,    -00184, 000029, 008399,    
 0001.068359, 000978,  0.098, _,    -00173, -00030, 008356,    
 0001.078125, 000981,  0.098, _,    -00187, 000001, 008360,    
 0001.087891, 000979,  0.098, _,    -00138, -00058, 008311,    
 0001.097656, 000980,  0.098, _,    -00198, -00024, 008386,    
 0001.109375, 000979,  0.098, _,    -00161, 000007, 008270,    
 0001.119141, 000981,  0.098, _,    -00193, -00024, 008404,    
 0001.128906, 000979,  0.098, _,    -00186, -00010, 008318,    
 0001.138672, 000980,  0.098, _,    -00182, -00012, 008320,    
 0001.148438, 000979,  0.098, _,    -00181, -00003, 008403,    
 0001.158203, 000980,  0.098, _,    -00189, 000013, 008367,    
 0001.167969, 000978,  0.098, _,    -00156, 000018, 008378,    
 0001.177734, 000979,  0.098, _,    -00193, -00025, 008303,    
 0001.189453, 000979,  0.098, _,    -00175, 000011, 008301,    
 0001.199219, 000979,  0.098, _,    -00167, -00040, 008360,    
 0001.208984, 000979,  0.098, _,    -00189, 000020, 008438,    
 0001.218750, 000979,  0.098, _,    -00193, -00003, 008415,    
 0001.228516, 000980,  0.098, _,    -00201, 000000, 008337,    
 0001.238281, 000978,  0.098, _,    -00198, -00037, 008325,    
 0001.248047, 000981,  0.098, _,    -00193, -00009, 008340,    
 0001.257812, 000981,  0.098, _,    -00149, 000008, 008380,    
 0001.267578, 000978,  0.098, _,    -00169, -00004, 008365,    
 0001.279297, 000979,  0.098, _,    -00144, 000000, 008349,    
 0001.289062, 000980,  0.098, _,    -00240, 000015, 008283,    
 0001.298828, 000981,  0.098, _,    -00202, -00030, 008401,    
 0001.308594, 000980,  0.098, _,    -00133, 000021, 008348,    
 0001.318359, 000980,  0.098, _,    -00193, 000014, 008369,    
 0001.328125, 000980,  0.098, _,    -00212, 000000, 008392,    
 0001.337891, 001013,  0.101, _,    -00196, 000011, 008321,    
 0001.347656, 000985,  0.099, _,    -00193, 000029, 008400,    
 0001.359375, 000985,  0.099, _,    -00188, 000000, 008350,    
 0001.369141, 000981,  0.098, _,    -00207, -00020, 008377,    
 0001.378906, 000979,  0.098, _,    -00226, -00009, 008399,    
 0001.388672, 000979,  0.098, _,    -00205, -00022, 008309,    
 0001.398438, 000981,  0.098, _,    -00155, -00019, 008315,    
 0001.408203, 000980,  0.098, _,    -00179, 000021, 008321,    
