 Stime,       Sdur,      I1,   I2,   I3,   I4,   I5,   I6,   I7,   I8,   I9,   I0,      O1,   O2,   O3,   O4,   O5,   O6,   O7,   O8,   O9,   O0,  
 0000.426178, 000017,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0000.626236, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0000.826233, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.026230, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.226227, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.426239, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.626236, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.826233, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.026230, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.226227, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.426239, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.626236, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.826233, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.026230, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.226227, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.426224, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.626236, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.826233, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.026230, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.226242, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.426239, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.626236, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.826233, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.026230, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.226227, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.426239, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.626236, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
