 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0000.744629, 000080,    01.0000, 00.0003, 00.0007, -0.0000,    00.0000, 00.0000, 00.0000,    00.0267, -0.0031, 00.0113,    
 0000.944580, 000038,    01.0000, 00.0002, 00.0013, -0.0004,    00.0006, 00.0014, -0.0001,    00.0100, -0.0063, 00.0174,    
 0000.954590, 000021,    01.0000, 00.0001, 00.0019, -0.0007,    00.0004, 00.0026, -0.0007,    00.0120, -0.0033, 00.0150,    
 0000.964600, 000018,    01.0000, 00.0001, 00.0025, -0.0010,    00.0003, 00.0038, -0.0014,    00.0111, -0.0032, 00.0154,    
 0000.974609, 000017,    01.0000, 00.0001, 00.0031, -0.0014,    00.0002, 00.0051, -0.0021,    00.0183, -0.0042, 00.0095,    
 0000.984619, 000019,    01.0000, 00.0001, 00.0037, -0.0018,    00.0002, 00.0063, -0.0028,    00.0193, -0.0044, -0.0005,    
 0000.994629, 000028,    01.0000, 00.0001, 00.0043, -0.0022,    00.0001, 00.0075, -0.0036,    00.0219, -0.0056, -0.0028,    
 0001.004639, 000019,    01.0000, 00.0001, 00.0049, -0.0027,    00.0001, 00.0087, -0.0045,    00.0229, -0.0049, -0.0049,    
 0001.014648, 000023,    01.0000, 00.0001, 00.0055, -0.0031,    00.0002, 00.0099, -0.0053,    00.0168, -0.0054, -0.0004,    
 0001.024658, 000018,    01.0000, 00.0000, 00.0061, -0.0035,    00.0001, 00.0111, -0.0062,    00.0167, -0.0038, 00.0042,    
 0001.034668, 000017,    01.0000, 00.0000, 00.0067, -0.0038,    00.0000, 00.0123, -0.0069,    00.0171, -0.0055, 00.0064,    
 0001.044678, 000017,    01.0000, 00.0000, 00.0073, -0.0042,    -0.0000, 00.0135, -0.0077,    00.0165, -0.0052, 00.0032,    
 0001.054688, 000022,    01.0000, 00.0000, 00.0079, -0.0046,    -0.0001, 00.0147, -0.0085,    00.0216, -0.0052, 00.0035,    
 0001.064453, 000019,    01.0000, 00.0000, 00.0085, -0.0050,    -0.0001, 00.0159, -0.0092,    00.0220, -0.0061, 00.0048,    
 0001.074463, 000018,    00.9999, 00.0001, 00.0091, -0.0054,    -0.0000, 00.0171, -0.0100,    00.0264, -0.0049, 00.0022,    
 0001.084473, 000020,    00.9999, 00.0001, 00.0097, -0.0058,    00.0000, 00.0183, -0.0108,    00.0223, -0.0045, -0.0003,    
 0001.094727, 000028,    00.9999, 00.0001, 00.0103, -0.0062,    00.0000, 00.0195, -0.0116,    00.0221, -0.0055, 00.0026,    
 0001.104492, 000020,    00.9999, 00.0001, 00.0109, -0.0066,    00.0000, 00.0207, -0.0124,    00.0206, -0.0063, 00.0027,    
 0001.114502, 000018,    00.9999, 00.0001, 00.0115, -0.0070,    00.0000, 00.0219, -0.0132,    00.0188, -0.0048, 00.0006,    
 0001.124512, 000021,    00.9999, 00.0001, 00.0122, -0.0074,    00.0000, 00.0231, -0.0140,    00.0139, -0.0054, -0.0023,    
 0001.134521, 000017,    00.9999, 00.0000, 00.0128, -0.0078,    -0.0001, 00.0243, -0.0149,    00.0081, -0.0059, -0.0031,    
 0001.144531, 000017,    00.9999, -0.0001, 00.0134, -0.0082,    -0.0002, 00.0255, -0.0157,    -0.0006, -0.0039, -0.0008,    
 0001.154541, 000020,    00.9999, -0.0002, 00.0140, -0.0086,    -0.0004, 00.0268, -0.0165,    -0.0130, -0.0047, 00.0032,    
