 Gtime,       Gdur,      Grx1,   Gry1,   Grz1,      Gax1,      Gay1,      Gaz1          Gcx1,    Gcy1,    Gcz1   
 0000.523560, 000546,    -00044, 000073, -00032,    -00044.00, 000073.00, -00032.00,    -0.0194, 00.0117, 00.0085,    
 0000.524536, 000545,    -00045, 000071, -00035,    -00045.00, 000071.00, -00035.00,    -0.0189, 00.0120, 00.0093,    
 0000.525574, 000545,    -00048, 000067, -00034,    -00048.00, 000067.00, -00034.00,    -0.0178, 00.0128, 00.0091,    
 0000.526550, 000554,    -00053, 000072, -00035,    -00053.00, 000072.00, -00035.00,    -0.0192, 00.0141, 00.0093,    
 0000.527588, 000546,    -00050, 000076, -00037,    -00050.00, 000076.00, -00037.00,    -0.0202, 00.0133, 00.0099,    
 0000.528564, 000546,    -00042, 000075, -00034,    -00042.00, 000075.00, -00034.00,    -0.0200, 00.0112, 00.0091,    
 0000.529541, 000551,    -00039, 000073, -00030,    -00039.00, 000073.00, -00030.00,    -0.0194, 00.0104, 00.0080,    
 0000.530579, 000546,    -00040, 000076, -00033,    -00040.00, 000076.00, -00033.00,    -0.0202, 00.0107, 00.0088,    
 0000.531555, 000748,    -00042, 000079, -00037,    -00042.00, 000079.00, -00037.00,    -0.0210, 00.0112, 00.0099,    
 0000.532593, 000655,    -00041, 000080, -00037,    -00041.00, 000080.00, -00037.00,    -0.0213, 00.0109, 00.0099,    
 0000.533569, 000551,    -00040, 000084, -00039,    -00040.00, 000084.00, -00039.00,    -0.0224, 00.0107, 00.0104,    
 0000.534546, 000555,    -00040, 000089, -00037,    -00040.00, 000089.00, -00037.00,    -0.0237, 00.0107, 00.0099,    
 0000.535583, 000546,    -00034, 000089, -00033,    -00034.00, 000089.00, -00033.00,    -0.0237, 00.0091, 00.0088,    
 0000.536560, 000552,    -00032, 000086, -00034,    -00032.00, 000086.00, -00034.00,    -0.0229, 00.0085, 00.0091,    
 0000.537537, 000547,    -00036, 000083, -00036,    -00036.00, 000083.00, -00036.00,    -0.0221, 00.0096, 00.0096,    
 0000.538574, 000547,    -00039, 000078, -00037,    -00039.00, 000078.00, -00037.00,    -0.0208, 00.0104, 00.0099,    
 0000.539551, 000537,    -00040, 000074, -00035,    -00040.00, 000074.00, -00035.00,    -0.0197, 00.0107, 00.0093,    
