 Mtime,       Mdur,      Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0000.438477, 000855,    -117, 0186, -202,    -019.50, 0031.00, -033.67,    -0.2444, -0.4693, 00.7860,    
 0000.448486, 000849,    -114, 0185, -206,    -035.25, 0056.67, -062.39,    -0.3329, -0.3259, 00.6228,    
 0000.458496, 000850,    -118, 0176, -201,    -049.04, 0076.56, -085.49,    -0.4103, -0.2148, 00.4915,    
 0000.468262, 000846,    -125, 0192, -201,    -118.12, 0185.50, -202.16,    -0.7985, 00.3938, -0.1713,    
 0000.478271, 000854,    -115, 0182, -209,    -116.16, 0184.43, -205.23,    -0.7874, 00.3879, -0.1888,    
 0000.488281, 000851,    -122, 0186, -200,    -119.06, 0180.35, -201.94,    -0.8037, 00.3651, -0.1701,    
 0000.498291, 000853,    -121, 0183, -210,    -122.76, 0188.51, -203.29,    -0.8245, 00.4107, -0.1778,    
 0000.508301, 000852,    -120, 0182, -204,    -117.48, 0182.60, -207.26,    -0.7948, 00.3777, -0.2004,    
 0000.518311, 000849,    -116, 0185, -203,    -120.61, 0184.93, -202.21,    -0.8124, 00.3907, -0.1717,    
 0000.528320, 000847,    -116, 0183, -201,    -119.36, 0183.16, -206.83,    -0.8054, 00.3808, -0.1979,    
 0000.538330, 000853,    -114, 0185, -208,    -117.98, 0182.99, -204.13,    -0.7976, 00.3798, -0.1826,    
 0000.548340, 000849,    -114, 0187, -201,    -115.39, 0185.10, -203.13,    -0.7831, 00.3916, -0.1769,    
 0000.558350, 000853,    -115, 0191, -200,    -115.32, 0185.12, -201.64,    -0.7827, 00.3917, -0.1684,    
 0000.568359, 000853,    -114, 0192, -203,    -114.14, 0187.23, -205.25,    -0.7761, 00.4035, -0.1889,    
 0000.578369, 000850,    -118, 0178, -203,    -114.78, 0186.66, -201.50,    -0.7797, 00.4003, -0.1676,    
 0000.588379, 000853,    -121, 0194, -210,    -116.30, 0189.81, -202.43,    -0.7882, 00.4179, -0.1729,    
 0000.598389, 000853,    -118, 0180, -203,    -116.10, 0188.66, -203.97,    -0.7871, 00.4115, -0.1817,    
 0000.608398, 000850,    -118, 0187, -203,    -118.35, 0181.63, -203.81,    -0.7997, 00.3722, -0.1807,    
 0000.618408, 000853,    -118, 0185, -208,    -119.74, 0189.91, -207.88,    -0.8075, 00.4185, -0.2039,    
 0000.628418, 000854,    -113, 0184, -204,    -117.17, 0182.17, -203.86,    -0.7931, 00.3753, -0.1810,    
 0000.638428, 000850,    -121, 0190, -208,    -117.81, 0186.85, -204.55,    -0.7967, 00.4014, -0.1849,    
 0000.648438, 000855,    -116, 0187, -203,    -117.50, 0185.91, -206.70,    -0.7950, 00.3962, -0.1972,    
 0000.658447, 000850,    -120, 0186, -200,    -115.51, 0185.44, -203.66,    -0.7838, 00.3935, -0.1799,    
 0000.668457, 000850,    -118, 0180, -201,    -119.78, 0187.43, -205.14,    -0.8078, 00.4046, -0.1883,    
 0000.678467, 000849,    -118, 0183, -208,    -117.07, 0185.25, -203.21,    -0.7926, 00.3924, -0.1773,    
 0000.688477, 000854,    -117, 0186, -204,    -118.99, 0184.89, -201.89,    -0.8033, 00.3904, -0.1698,    
 0000.698486, 000854,    -117, 0179, -212,    -117.69, 0181.01, -204.06,    -0.7960, 00.3688, -0.1822,    
 0000.708496, 000853,    -115, 0184, -202,    -117.25, 0182.96, -207.09,    -0.7935, 00.3797, -0.1994,    
 0000.718262, 000852,    -117, 0182, -202,    -116.72, 0184.25, -204.31,    -0.7906, 00.3868, -0.1836,    
 0000.728271, 000853,    -114, 0180, -206,    -116.27, 0180.16, -208.45,    -0.7880, 00.3640, -0.2071,    
 0000.738281, 000853,    -116, 0185, -203,    -115.26, 0183.38, -202.72,    -0.7824, 00.3820, -0.1746,    
 0000.748291, 000850,    -118, 0185, -203,    -116.68, 0182.69, -202.77,    -0.7903, 00.3781, -0.1748,    
 0000.758301, 000843,    -114, 0180, -203,    -114.79, 0181.27, -204.74,    -0.7797, 00.3702, -0.1860,    
 0000.768311, 000852,    -114, 0183, -198,    -115.62, 0183.97, -202.17,    -0.7844, 00.3853, -0.1714,    
 0000.778320, 000862,    -118, 0183, -206,    -116.98, 0183.81, -202.81,    -0.7920, 00.3844, -0.1750,    
 0000.788330, 000855,    -114, 0185, -206,    -114.56, 0181.60, -203.34,    -0.7784, 00.3721, -0.1781,    
 0000.798340, 000850,    -113, 0182, -202,    -114.30, 0183.11, -200.70,    -0.7769, 00.3805, -0.1631,    
 0000.808350, 000852,    -117, 0184, -200,    -116.68, 0183.26, -204.44,    -0.7903, 00.3813, -0.1843,    
 0000.818359, 000845,    -116, 0187, -210,    -114.63, 0184.85, -205.37,    -0.7788, 00.3902, -0.1896,    
 0000.828369, 000852,    -120, 0184, -202,    -115.05, 0183.26, -202.88,    -0.7812, 00.3813, -0.1755,    
 0000.838379, 000853,    -117, 0186, -204,    -117.30, 0184.68, -202.10,    -0.7938, 00.3893, -0.1710,    
 0000.848389, 000853,    -116, 0187, -208,    -116.60, 0186.51, -207.91,    -0.7899, 00.3995, -0.2040,    
 0000.858398, 000853,    -120, 0184, -207,    -119.10, 0184.65, -203.90,    -0.8039, 00.3891, -0.1812,    
 0000.868408, 000853,    -116, 0183, -201,    -117.13, 0185.34, -204.38,    -0.7929, 00.3929, -0.1840,    
 0000.878418, 000852,    -123, 0185, -208,    -117.63, 0185.76, -206.91,    -0.7957, 00.3953, -0.1984,    
 0000.888428, 000852,    -116, 0187, -201,    -119.29, 0184.52, -205.44,    -0.8050, 00.3884, -0.1900,    
 0000.898438, 000849,    -117, 0184, -204,    -116.98, 0183.95, -202.31,    -0.7920, 00.3852, -0.1722,    
 0000.908447, 000853,    -116, 0185, -210,    -120.19, 0185.09, -206.97,    -0.8101, 00.3916, -0.1987,    
 0000.918457, 000850,    -114, 0180, -198,    -115.78, 0185.21, -202.10,    -0.7853, 00.3922, -0.1710,    
 0000.928467, 000850,    -117, 0184, -202,    -116.47, 0183.56, -203.53,    -0.7891, 00.3830, -0.1791,    
 0000.938477, 000854,    -124, 0186, -204,    -117.24, 0184.45, -206.50,    -0.7935, 00.3880, -0.1960,    
 0000.948486, 000853,    -114, 0183, -201,    -115.74, 0181.80, -199.80,    -0.7850, 00.3732, -0.1579,    
 0000.958496, 000853,    -120, 0186, -200,    -117.89, 0184.43, -201.76,    -0.7972, 00.3879, -0.1691,    
 0000.968262, 000862,    -116, 0190, -201,    -120.95, 0186.32, -202.60,    -0.8143, 00.3984, -0.1738,    
 0000.978271, 000849,    -117, 0184, -202,    -115.47, 0184.49, -201.05,    -0.7836, 00.3882, -0.1651,    
 0000.988281, 000850,    -115, 0182, -207,    -118.29, 0185.52, -201.56,    -0.7994, 00.3940, -0.1680,    
 0000.998291, 000857,    -118, 0183, -203,    -116.31, 0187.03, -202.28,    -0.7883, 00.4024, -0.1721,    
 0001.008301, 000848,    -115, 0182, -202,    -116.57, 0183.30, -202.72,    -0.7897, 00.3815, -0.1745,    
 0001.018311, 000850,    -120, 0186, -197,    -116.18, 0182.78, -204.18,    -0.7875, 00.3787, -0.1828,    
 0001.028320, 000850,    -117, 0186, -207,    -117.76, 0183.80, -202.72,    -0.7964, 00.3844, -0.1745,    
 0001.038330, 000848,    -118, 0183, -201,    -116.36, 0183.19, -201.95,    -0.7885, 00.3809, -0.1702,    
 0001.048340, 000857,    -122, 0182, -207,    -119.71, 0184.92, -200.38,    -0.8074, 00.3906, -0.1612,    
 0001.058350, 000850,    -118, 0185, -206,    -117.98, 0184.93, -206.14,    -0.7976, 00.3907, -0.1940,    
 0001.068359, 000851,    -116, 0185, -203,    -118.13, 0183.50, -202.72,    -0.7985, 00.3827, -0.1746,    
 0001.078369, 000847,    -115, 0184, -200,    -119.54, 0183.10, -205.16,    -0.8064, 00.3804, -0.1884,    
 0001.088379, 000850,    -117, 0184, -200,    -117.19, 0184.69, -203.82,    -0.7932, 00.3894, -0.1808,    
 0001.098389, 000854,    -115, 0175, -202,    -115.86, 0183.08, -202.07,    -0.7857, 00.3803, -0.1708,    
 0001.108398, 000849,    -117, 0184, -202,    -115.56, 0182.75, -200.61,    -0.7841, 00.3785, -0.1626,    
 0001.118408, 000849,    -115, 0188, -200,    -116.44, 0183.62, -200.51,    -0.7890, 00.3834, -0.1620,    
 0001.128418, 000851,    -114, 0178, -201,    -115.06, 0178.35, -201.56,    -0.7813, 00.3539, -0.1679,    
 0001.138428, 000847,    -115, 0186, -204,    -116.02, 0183.96, -201.96,    -0.7866, 00.3853, -0.1702,    
 0001.148438, 000851,    -116, 0185, -206,    -115.05, 0186.06, -201.67,    -0.7812, 00.3970, -0.1686,    
 0001.158447, 000847,    -116, 0178, -206,    -114.73, 0179.90, -202.88,    -0.7794, 00.3626, -0.1754,    
 0001.168457, 000849,    -121, 0190, -203,    -116.25, 0185.44, -204.34,    -0.7879, 00.3935, -0.1838,    
 0001.178467, 000847,    -123, 0183, -201,    -117.86, 0184.55, -204.75,    -0.7970, 00.3886, -0.1861,    
 0001.188477, 000851,    -118, 0183, -201,    -117.88, 0180.92, -204.12,    -0.7971, 00.3682, -0.1825,    
 0001.198486, 000854,    -117, 0182, -204,    -120.15, 0186.88, -202.66,    -0.8098, 00.4016, -0.1742,    
 0001.208496, 000849,    -113, 0186, -207,    -119.92, 0183.36, -202.42,    -0.8085, 00.3819, -0.1728,    
 0001.218262, 000848,    -121, 0183, -208,    -117.69, 0183.30, -203.35,    -0.7960, 00.3816, -0.1781,    
 0001.228271, 000850,    -116, 0180, -198,    -116.93, 0182.27, -203.90,    -0.7917, 00.3758, -0.1813,    
 0001.238281, 000848,    -118, 0185, -198,    -115.18, 0184.65, -204.37,    -0.7819, 00.3891, -0.1839,    
 0001.248291, 000849,    -116, 0187, -198,    -119.17, 0183.60, -203.79,    -0.8043, 00.3832, -0.1806,    
 0001.258301, 000850,    -118, 0190, -201,    -116.56, 0183.22, -198.50,    -0.7897, 00.3811, -0.1506,    
