 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,      Gax1,      Gay1,      Gaz1   
 0001.639130, 000990,  0.099, _,    -00031, 000077, -00035,    -00034.62, 000075.77, -00032.00,    
 0001.649139, 000991,  0.099, _,    -00037, 000079, -00036,    -00034.86, 000076.45, -00032.94,    
 0001.659149, 000991,  0.099, _,    -00035, 000073, -00039,    -00035.12, 000075.86, -00034.25,    
 0001.669159, 000991,  0.099, _,    -00035, 000070, -00034,    -00034.81, 000074.39, -00034.44,    
 0001.679138, 000992,  0.099, _,    -00034, 000079, -00028,    -00034.75, 000075.25, -00032.89,    
 0001.689148, 000992,  0.099, _,    -00034, 000075, -00042,    -00034.42, 000075.48, -00034.62,    
 0001.699158, 000995,  0.100, _,    -00035, 000078, -00029,    -00034.62, 000075.78, -00033.91,    
 0001.709137, 001001,  0.100, _,    -00034, 000073, -00029,    -00034.47, 000075.47, -00032.34,    
 0001.719147, 000994,  0.099, _,    -00042, 000068, -00037,    -00035.98, 000073.70, -00033.59,    
 0001.729156, 000990,  0.099, _,    -00032, 000080, -00030,    -00035.52, 000074.92, -00032.95,    
 0001.739136, 000991,  0.099, _,    -00039, 000071, -00029,    -00035.80, 000074.34, -00032.05,    
 0001.749146, 000992,  0.099, _,    -00038, 000082, -00036,    -00036.72, 000075.50, -00032.78,    
 0001.759155, 000991,  0.099, _,    -00032, 000073, -00044,    -00035.55, 000075.58, -00035.22,    
 0001.769135, 000989,  0.099, _,    -00037, 000079, -00031,    -00035.88, 000075.69, -00034.64,    
 0001.779144, 000990,  0.099, _,    -00037, 000079, -00031,    -00036.12, 000076.98, -00033.48,    
 0001.789154, 000993,  0.099, _,    -00030, 000077, -00035,    -00034.94, 000076.70, -00033.91,    
 0001.799133, 000988,  0.099, _,    -00033, 000077, -00032,    -00034.30, 000077.02, -00033.55,    
 0001.809143, 000988,  0.099, _,    -00033, 000083, -00033,    -00034.17, 000078.03, -00033.36,    
 0001.819153, 000997,  0.100, _,    -00032, 000077, -00037,    -00033.55, 000078.28, -00034.06,    
 0001.829132, 000993,  0.099, _,    -00038, 000067, -00033,    -00034.50, 000075.66, -00034.09,    
 0001.839142, 000991,  0.099, _,    -00031, 000072, -00031,    -00033.83, 000074.88, -00033.31,    
 0001.849152, 000990,  0.099, _,    -00043, 000074, -00032,    -00035.44, 000074.61, -00033.08,    
 0001.859161, 001016,  0.102, _,    -00041, 000077, -00031,    -00037.12, 000075.12, -00032.59,    
 0001.869141, 000996,  0.100, _,    -00033, 000074, -00037,    -00036.02, 000074.92, -00033.44,    
 0001.879150, 000994,  0.099, _,    -00030, 000079, -00027,    -00034.86, 000075.59, -00032.22,    
 0001.889160, 000993,  0.099, _,    -00034, 000080, -00032,    -00034.42, 000076.77, -00031.75,    
 0001.899139, 000992,  0.099, _,    -00030, 000077, -00036,    -00033.69, 000076.73, -00032.97,    
 0001.909149, 000991,  0.099, _,    -00033, 000077, -00038,    -00033.27, 000076.80, -00033.88,    
 0001.919159, 000990,  0.099, _,    -00030, 000081, -00043,    -00032.83, 000077.59, -00036.00,    
 0001.929138, 000989,  0.099, _,    -00036, 000077, -00030,    -00033.16, 000077.66, -00034.94,    
 0001.939148, 000991,  0.099, _,    -00042, 000071, -00031,    -00035.38, 000076.14, -00033.80,    
 0001.949158, 000990,  0.099, _,    -00032, 000075, -00034,    -00034.67, 000075.89, -00033.98,    
 0001.959137, 000990,  0.099, _,    -00032, 000070, -00032,    -00033.95, 000074.80, -00033.53,    
 0001.969147, 000992,  0.099, _,    -00043, 000071, -00031,    -00035.75, 000073.78, -00033.00,    
 0001.979156, 000990,  0.099, _,    -00042, 000088, -00038,    -00037.30, 000076.69, -00033.95,    
 0001.989136, 000992,  0.099, _,    -00042, 000073, -00035,    -00038.28, 000076.44, -00034.44,    
 0001.999146, 000994,  0.099, _,    -00038, 000074, -00021,    -00038.50, 000075.39, -00031.61,    
 0002.009155, 000991,  0.099, _,    -00035, 000067, -00032,    -00037.70, 000073.97, -00031.30,    
 0002.019135, 000997,  0.100, _,    -00031, 000069, -00030,    -00036.47, 000072.31, -00031.25,    
 0002.029144, 000997,  0.100, _,    -00032, 000075, -00031,    -00035.34, 000073.09, -00030.84,    
 0002.039154, 000995,  0.100, _,    -00041, 000072, -00028,    -00036.53, 000072.64, -00030.36,    
 0002.049133, 000993,  0.099, _,    -00036, 000069, -00032,    -00036.66, 000071.89, -00030.36,    
 0002.059143, 000991,  0.099, _,    -00041, 000068, -00031,    -00037.33, 000070.95, -00030.83,    
 0002.069153, 000991,  0.099, _,    -00036, 000079, -00033,    -00037.41, 000072.58, -00031.02,    
 0002.079132, 000991,  0.099, _,    -00033, 000080, -00034,    -00036.27, 000074.36, -00031.83,    
 0002.089142, 000993,  0.099, _,    -00034, 000069, -00034,    -00035.80, 000073.33, -00032.16,    
 0002.099152, 000993,  0.099, _,    -00038, 000085, -00037,    -00036.00, 000075.30, -00033.30,    
 0002.109131, 000990,  0.099, _,    -00040, 000080, -00026,    -00036.95, 000076.94, -00031.84,    
 0002.119141, 000990,  0.099, _,    -00036, 000072, -00037,    -00036.75, 000075.69, -00032.67,    
 0002.129150, 000993,  0.099, _,    -00036, 000076, -00024,    -00036.61, 000075.88, -00031.41,    
 0002.139130, 000992,  0.099, _,    -00032, 000070, -00031,    -00035.72, 000074.72, -00030.62,    
 0002.149139, 000993,  0.099, _,    -00037, 000081, -00027,    -00035.86, 000075.84, -00030.45,    
 0002.159149, 000990,  0.099, _,    -00039, 000078, -00036,    -00036.61, 000076.75, -00031.00,    
 0002.169159, 000989,  0.099, _,    -00035, 000067, -00038,    -00036.23, 000074.58, -00033.12,    
 0002.179138, 000992,  0.099, _,    -00029, 000069, -00034,    -00034.70, 000073.33, -00033.02,    
 0002.189148, 000991,  0.099, _,    -00043, 000072, -00029,    -00036.12, 000072.98, -00032.47,    
 0002.199158, 000990,  0.099, _,    -00040, 000077, -00029,    -00037.48, 000073.69, -00031.36,    
 0002.209137, 000990,  0.099, _,    -00035, 000074, -00036,    -00036.72, 000073.91, -00032.47,    
 0002.219147, 000996,  0.100, _,    -00030, 000077, -00029,    -00035.45, 000074.31, -00031.73,    
 0002.229156, 000993,  0.099, _,    -00035, 000077, -00040,    -00034.95, 000075.00, -00033.30,    
