 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,   
 0001.651794, 000989,  0.099, _,    -00233, -00036, 008384,    -00192.25, -00015.09, 008358.36,    
 0001.661804, 000990,  0.099, _,    -00182, -00012, 008402,    -00192.98, -00016.34, 008366.59,    
 0001.671783, 000991,  0.099, _,    -00156, -00030, 008371,    -00182.34, -00017.89, 008368.91,    
 0001.681793, 000988,  0.099, _,    -00169, -00010, 008376,    -00180.23, -00017.91, 008369.33,    
 0001.691803, 000991,  0.099, _,    -00206, -00011, 008373,    -00184.45, -00014.73, 008372.17,    
 0001.701782, 001006,  0.101, _,    -00194, -00036, 008329,    -00188.16, -00019.69, 008362.56,    
 0001.711792, 000994,  0.099, _,    -00215, -00021, 008318,    -00191.97, -00019.83, 008353.31,    
 0001.721802, 000992,  0.099, _,    -00207, -00036, 008388,    -00196.89, -00023.34, 008359.55,    
 0001.731812, 000992,  0.099, _,    -00219, -00003, 008322,    -00200.47, -00020.00, 008354.92,    
 0001.741791, 000987,  0.099, _,    -00216, -00029, 008404,    -00205.53, -00021.17, 008362.00,    
 0001.751801, 000990,  0.099, _,    -00166, -00022, 008352,    -00196.98, -00022.66, 008364.69,    
 0001.761810, 000989,  0.099, _,    -00237, -00007, 008353,    -00204.59, -00018.55, 008357.64,    
 0001.771790, 000990,  0.099, _,    -00178, -00017, 008419,    -00201.50, -00018.28, 008372.59,    
 0001.781799, 000991,  0.099, _,    -00194, -00024, 008351,    -00197.28, -00019.22, 008367.95,    
 0001.791809, 000989,  0.099, _,    -00175, -00013, 008329,    -00195.28, -00018.44, 008358.89,    
 0001.801788, 000991,  0.099, _,    -00186, -00007, 008345,    -00191.14, -00015.47, 008355.30,    
 0001.811798, 000990,  0.099, _,    -00175, 000009, 008348,    -00189.48, -00010.59, 008353.81,    
 0001.821808, 000996,  0.100, _,    -00150, -00002, 008299,    -00179.28, -00007.53, 008342.59,    
 0001.831787, 000996,  0.100, _,    -00200, -00007, 008328,    -00183.09, -00007.80, 008338.02,    
 0001.841797, 000994,  0.099, _,    -00179, 000021, 008366,    -00182.64, -00001.17, 008343.97,    
 0001.851807, 001019,  0.102, _,    -00188, -00003, 008378,    -00182.73, -00000.59, 008351.45,    
 0001.861786, 000999,  0.100, _,    -00214, -00037, 008326,    -00189.27, -00008.50, 008346.97,    
 0001.871796, 000993,  0.099, _,    -00211, -00039, 008366,    -00194.48, -00015.33, 008348.34,    
 0001.881805, 000991,  0.099, _,    -00166, -00023, 008349,    -00188.77, -00017.44, 008350.88,    
 0001.891785, 000991,  0.099, _,    -00204, 000003, 008364,    -00190.41, -00013.09, 008351.12,    
 0001.901794, 000991,  0.099, _,    -00206, -00001, 008368,    -00195.38, -00009.91, 008356.34,    
 0001.911804, 000990,  0.099, _,    -00201, -00029, 008347,    -00195.91, -00013.94, 008353.72,    
 0001.921783, 000988,  0.099, _,    -00209, -00003, 008381,    -00199.75, -00012.42, 008360.03,    
 0001.931793, 000991,  0.099, _,    -00170, -00004, 008375,    -00193.62, -00009.88, 008364.12,    
 0001.941803, 000991,  0.099, _,    -00178, -00031, 008318,    -00190.12, -00014.89, 008355.31,    
 0001.951782, 000991,  0.099, _,    -00239, 000019, 008329,    -00200.23, -00008.69, 008348.45,    
 0001.961792, 000990,  0.099, _,    -00122, 000011, 008414,    -00186.14, -00003.25, 008362.08,    
 0001.971802, 000988,  0.099, _,    -00179, -00027, 008306,    -00180.16, -00008.52, 008352.80,    
 0001.981812, 000991,  0.099, _,    -00164, 000030, 008382,    -00179.91, -00000.78, 008354.94,    
 0001.991791, 000992,  0.099, _,    -00198, 000022, 008325,    -00180.00, 000006.05, 008353.08,    
 0002.001801, 000991,  0.099, _,    -00224, -00027, 008368,    -00192.33, -00000.91, 008351.48,    
 0002.011810, 000991,  0.099, _,    -00227, 000008, 008423,    -00198.12, 000000.14, 008370.42,    
 0002.021790, 000996,  0.100, _,    -00193, 000006, 008347,    -00199.06, 000002.27, 008364.64,    
 0002.031799, 000990,  0.099, _,    -00158, -00005, 008362,    -00189.02, 000000.66, 008363.91,    
 0002.041809, 000995,  0.100, _,    -00207, -00056, 008318,    -00192.41, -00010.50, 008354.81,    
 0002.051788, 000991,  0.099, _,    -00187, -00019, 008371,    -00192.03, -00014.84, 008356.12,    
 0002.061798, 000988,  0.099, _,    -00185, -00013, 008395,    -00190.14, -00012.70, 008366.34,    
 0002.071808, 000992,  0.099, _,    -00159, 000011, 008420,    -00183.70, -00009.22, 008377.48,    
 0002.081787, 000992,  0.099, _,    -00168, -00002, 008372,    -00179.67, -00006.39, 008378.25,    
 0002.091797, 000988,  0.099, _,    -00140, -00018, 008360,    -00172.55, -00009.91, 008373.39,    
 0002.101807, 000990,  0.099, _,    -00172, -00021, 008372,    -00170.14, -00011.80, 008374.30,    
 0002.111786, 000989,  0.099, _,    -00205, -00007, 008325,    -00178.44, -00012.12, 008363.56,    
 0002.121796, 000991,  0.099, _,    -00224, -00024, 008338,    -00187.09, -00013.66, 008357.23,    
 0002.131805, 000992,  0.099, _,    -00182, -00014, 008448,    -00187.58, -00015.20, 008374.78,    
 0002.141785, 000991,  0.099, _,    -00174, -00016, 008320,    -00182.97, -00014.55, 008367.75,    
 0002.151794, 000992,  0.099, _,    -00216, -00046, 008322,    -00190.77, -00021.70, 008353.66,    
 0002.161804, 000990,  0.099, _,    -00194, 000007, 008300,    -00191.95, -00016.14, 008345.17,    
 0002.171783, 000988,  0.099, _,    -00223, -00019, 008338,    -00197.84, -00015.12, 008339.53,    
 0002.181793, 000991,  0.099, _,    -00189, -00005, 008307,    -00197.72, -00014.62, 008335.09,    
 0002.191803, 000993,  0.099, _,    -00206, -00011, 008341,    -00198.45, -00012.56, 008331.59,    
 0002.201813, 000991,  0.099, _,    -00193, -00028, 008368,    -00199.55, -00016.95, 008341.39,    
 0002.211792, 000989,  0.099, _,    -00170, -00019, 008336,    -00192.55, -00017.02, 008339.39,    
 0002.221802, 000995,  0.100, _,    -00175, -00006, 008355,    -00189.19, -00015.08, 008342.89,    
 0002.231812, 000995,  0.100, _,    -00227, -00007, 008395,    -00195.97, -00012.86, 008353.22,    
 0002.241791, 000991,  0.099, _,    -00203, -00030, 008295,    -00199.33, -00016.50, 008343.59,    
 0002.251801, 001014,  0.101, _,    -00223, -00013, 008325,    -00202.78, -00016.12, 008335.03,    
 0002.261810, 000994,  0.099, _,    -00203, 000013, 008375,    -00205.22, -00009.77, 008345.53,    
 0002.271790, 000997,  0.100, _,    -00175, -00042, 008300,    -00197.31, -00015.17, 008336.42,    
 0002.281799, 000996,  0.100, _,    -00213, -00014, 008376,    -00200.73, -00017.03, 008343.34,    
 0002.291809, 000991,  0.099, _,    -00228, 000008, 008392,    -00206.47, -00010.53, 008356.09,    
 0002.301788, 000990,  0.099, _,    -00238, -00024, 008341,    -00213.61, -00013.38, 008353.09,    
 0002.311798, 000992,  0.099, _,    -00211, -00040, 008347,    -00214.06, -00019.17, 008351.98,    
 0002.321808, 000990,  0.099, _,    -00189, -00066, 008385,    -00208.61, -00029.45, 008358.30,    
 0002.331787, 000991,  0.099, _,    -00171, -00005, 008286,    -00201.02, -00025.80, 008345.03,    
 0002.341797, 000990,  0.099, _,    -00185, -00009, 008396,    -00196.94, -00020.55, 008351.64,    
