 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,         Acx1,    Acy1,    Acz1,   
 0000.610352, 000687,  3.435, X,    -00251, -00056, 008262,    -00251.00, -00056.00, 008262.00,    -0.0068, -0.0300, 01.0099,    
 0000.810547, 000562,  2.810, X,    -00230, -00016, 008317,    -00230.00, -00016.00, 008317.00,    -0.0019, -0.0274, 01.0165,    
 0000.811035, 000535,  2.675, X,    -00230, -00016, 008317,    -00230.00, -00016.00, 008317.00,    -0.0019, -0.0274, 01.0165,    
 0000.811768, 000532,  2.660, X,    -00230, -00016, 008317,    -00230.00, -00016.00, 008317.00,    -0.0019, -0.0274, 01.0165,    
 0000.812256, 000531,  2.655, X,    -00250, -00044, 008307,    -00250.00, -00044.00, 008307.00,    -0.0054, -0.0299, 01.0153,    
 0000.812988, 000530,  2.650, X,    -00250, -00044, 008307,    -00250.00, -00044.00, 008307.00,    -0.0054, -0.0299, 01.0153,    
 0000.813477, 000533,  2.665, X,    -00250, -00044, 008307,    -00250.00, -00044.00, 008307.00,    -0.0054, -0.0299, 01.0153,    
 0000.814209, 000531,  2.655, X,    -00250, -00044, 008307,    -00250.00, -00044.00, 008307.00,    -0.0054, -0.0299, 01.0153,    
 0000.814697, 000529,  2.645, X,    -00250, -00044, 008307,    -00250.00, -00044.00, 008307.00,    -0.0054, -0.0299, 01.0153,    
 0000.815430, 000531,  2.655, X,    -00250, -00044, 008307,    -00250.00, -00044.00, 008307.00,    -0.0054, -0.0299, 01.0153,    
 0000.815918, 000530,  2.650, X,    -00250, -00044, 008307,    -00250.00, -00044.00, 008307.00,    -0.0054, -0.0299, 01.0153,    
 0000.816406, 000531,  2.655, X,    -00250, -00044, 008307,    -00250.00, -00044.00, 008307.00,    -0.0054, -0.0299, 01.0153,    
 0000.817139, 000530,  2.650, X,    -00250, -00044, 008307,    -00250.00, -00044.00, 008307.00,    -0.0054, -0.0299, 01.0153,    
 0000.817627, 000531,  2.655, X,    -00220, -00044, 008292,    -00220.00, -00044.00, 008292.00,    -0.0054, -0.0262, 01.0135,    
 0000.818359, 000529,  2.645, X,    -00220, -00044, 008292,    -00220.00, -00044.00, 008292.00,    -0.0054, -0.0262, 01.0135,    
 0000.818848, 000531,  2.655, X,    -00220, -00044, 008292,    -00220.00, -00044.00, 008292.00,    -0.0054, -0.0262, 01.0135,    
 0000.819580, 000527,  2.635, X,    -00220, -00044, 008292,    -00220.00, -00044.00, 008292.00,    -0.0054, -0.0262, 01.0135,    
 0000.820068, 000532,  2.660, X,    -00220, -00044, 008292,    -00220.00, -00044.00, 008292.00,    -0.0054, -0.0262, 01.0135,    
 0000.820801, 000530,  2.650, X,    -00220, -00044, 008292,    -00220.00, -00044.00, 008292.00,    -0.0054, -0.0262, 01.0135,    
 0000.821289, 000531,  2.655, X,    -00220, -00044, 008292,    -00220.00, -00044.00, 008292.00,    -0.0054, -0.0262, 01.0135,    
 0000.822021, 000530,  2.650, X,    -00220, -00044, 008292,    -00220.00, -00044.00, 008292.00,    -0.0054, -0.0262, 01.0135,    
 0000.822510, 000531,  2.655, X,    -00258, -00030, 008288,    -00258.00, -00030.00, 008288.00,    -0.0037, -0.0309, 01.0130,    
 0000.822998, 000529,  2.645, X,    -00258, -00030, 008288,    -00258.00, -00030.00, 008288.00,    -0.0037, -0.0309, 01.0130,    
 0000.823730, 000531,  2.655, X,    -00258, -00030, 008288,    -00258.00, -00030.00, 008288.00,    -0.0037, -0.0309, 01.0130,    
 0000.824219, 000553,  2.765, X,    -00258, -00030, 008288,    -00258.00, -00030.00, 008288.00,    -0.0037, -0.0309, 01.0130,    
 0000.824951, 000540,  2.700, X,    -00258, -00030, 008288,    -00258.00, -00030.00, 008288.00,    -0.0037, -0.0309, 01.0130,    
 0000.825439, 000535,  2.675, X,    -00258, -00030, 008288,    -00258.00, -00030.00, 008288.00,    -0.0037, -0.0309, 01.0130,    
 0000.826172, 000538,  2.690, X,    -00258, -00030, 008288,    -00258.00, -00030.00, 008288.00,    -0.0037, -0.0309, 01.0130,    
 0000.826660, 000539,  2.695, X,    -00258, -00030, 008288,    -00258.00, -00030.00, 008288.00,    -0.0037, -0.0309, 01.0130,    
 0000.827393, 000538,  2.690, X,    -00233, -00040, 008325,    -00233.00, -00040.00, 008325.00,    -0.0049, -0.0278, 01.0174,    
 0000.827881, 000534,  2.670, X,    -00233, -00040, 008325,    -00233.00, -00040.00, 008325.00,    -0.0049, -0.0278, 01.0174,    
 0000.828857, 000549,  2.745, X,    -00233, -00040, 008325,    -00233.00, -00040.00, 008325.00,    -0.0049, -0.0278, 01.0174,    
 0000.829346, 000538,  2.690, X,    -00233, -00040, 008325,    -00233.00, -00040.00, 008325.00,    -0.0049, -0.0278, 01.0174,    
 0000.830078, 000540,  2.700, X,    -00233, -00040, 008325,    -00233.00, -00040.00, 008325.00,    -0.0049, -0.0278, 01.0174,    
 0000.830566, 000537,  2.685, X,    -00233, -00040, 008325,    -00233.00, -00040.00, 008325.00,    -0.0049, -0.0278, 01.0174,    
 0000.831299, 000538,  2.690, X,    -00233, -00040, 008325,    -00233.00, -00040.00, 008325.00,    -0.0049, -0.0278, 01.0174,    
 0000.831787, 000539,  2.695, X,    -00233, -00040, 008325,    -00233.00, -00040.00, 008325.00,    -0.0049, -0.0278, 01.0174,    
 0000.832520, 000536,  2.680, X,    -00224, -00046, 008270,    -00224.00, -00046.00, 008270.00,    -0.0056, -0.0267, 01.0108,    
 0000.833008, 000536,  2.680, X,    -00224, -00046, 008270,    -00224.00, -00046.00, 008270.00,    -0.0056, -0.0267, 01.0108,    
 0000.833740, 000537,  2.685, X,    -00224, -00046, 008270,    -00224.00, -00046.00, 008270.00,    -0.0056, -0.0267, 01.0108,    
 0000.834229, 000536,  2.680, X,    -00224, -00046, 008270,    -00224.00, -00046.00, 008270.00,    -0.0056, -0.0267, 01.0108,    
 0000.834961, 000536,  2.680, X,    -00224, -00046, 008270,    -00224.00, -00046.00, 008270.00,    -0.0056, -0.0267, 01.0108,    
 0000.835449, 000545,  2.725, X,    -00224, -00046, 008270,    -00224.00, -00046.00, 008270.00,    -0.0056, -0.0267, 01.0108,    
