 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0001.448975, 000078,    01.0000, 00.0002, -0.0006, -0.0001,    00.0000, 00.0000, 00.0000,    00.0039, 00.0125, -0.0060,    
 0001.648926, 000047,    01.0000, -0.0001, -0.0007, -0.0007,    00.0005, -0.0013, -0.0003,    00.0110, 00.0074, 00.0010,    
 0001.658936, 000020,    01.0000, -0.0006, -0.0009, -0.0013,    -0.0003, -0.0015, -0.0015,    00.0092, 00.0063, 00.0020,    
 0001.668945, 000017,    01.0000, -0.0009, -0.0008, -0.0019,    -0.0011, -0.0017, -0.0026,    00.0183, 00.0049, -0.0007,    
 0001.678955, 000018,    01.0000, -0.0013, -0.0009, -0.0025,    -0.0019, -0.0017, -0.0038,    00.0231, 00.0071, 00.0035,    
 0001.688965, 000019,    01.0000, -0.0016, -0.0010, -0.0030,    -0.0026, -0.0018, -0.0049,    00.0214, 00.0038, 00.0082,    
 0001.698975, 000028,    01.0000, -0.0021, -0.0010, -0.0035,    -0.0033, -0.0020, -0.0060,    00.0077, -0.0013, 00.0142,    
 0001.708984, 000020,    01.0000, -0.0025, -0.0012, -0.0041,    -0.0041, -0.0021, -0.0071,    00.0018, -0.0129, 00.0174,    
 0001.718994, 000023,    01.0000, -0.0029, -0.0014, -0.0046,    -0.0050, -0.0024, -0.0081,    00.0059, -0.0207, 00.0191,    
 0001.729004, 000018,    01.0000, -0.0033, -0.0015, -0.0051,    -0.0058, -0.0029, -0.0091,    00.0199, -0.0195, 00.0151,    
 0001.738770, 000017,    01.0000, -0.0036, -0.0018, -0.0056,    -0.0066, -0.0031, -0.0101,    00.0239, -0.0200, 00.0111,    
 0001.748779, 000017,    01.0000, -0.0041, -0.0019, -0.0061,    -0.0073, -0.0036, -0.0112,    00.0096, -0.0200, 00.0073,    
 0001.758789, 000019,    01.0000, -0.0046, -0.0020, -0.0067,    -0.0081, -0.0039, -0.0123,    -0.0041, -0.0158, 00.0067,    
 0001.768799, 000018,    01.0000, -0.0050, -0.0022, -0.0072,    -0.0091, -0.0041, -0.0134,    00.0020, -0.0138, 00.0080,    
