 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,     
 0002.617188, 002026,  0.101, _,    0106, 0146, -038,    
 0002.636719, 002035,  0.102, _,    0107, 0152, -032,    
 0002.658203, 002024,  0.101, _,    0106, 0146, -035,    
 0002.677734, 002026,  0.101, _,    0105, 0145, -027,    
 0002.697266, 002025,  0.101, _,    0104, 0144, -040,    
 0002.716797, 002028,  0.101, _,    0106, 0148, -038,    
 0002.738281, 002025,  0.101, _,    0111, 0150, -038,    
 0002.757812, 002023,  0.101, _,    0111, 0146, -040,    
 0002.777344, 002026,  0.101, _,    0106, 0146, -028,    
 0002.796875, 002026,  0.101, _,    0109, 0145, -039,    
 0002.816406, 002028,  0.101, _,    0111, 0153, -038,    
 0002.837891, 002025,  0.101, _,    0107, 0149, -034,    
 0002.857422, 002024,  0.101, _,    0103, 0152, -041,    
 0002.876953, 002022,  0.101, _,    0104, 0153, -038,    
 0002.896484, 002028,  0.101, _,    0107, 0149, -034,    
 0002.917969, 002026,  0.101, _,    0106, 0146, -035,    
 0002.937500, 002023,  0.101, _,    0103, 0147, -039,    
 0002.957031, 002026,  0.101, _,    0112, 0149, -039,    
 0002.976562, 002025,  0.101, _,    0111, 0148, -038,    
 0002.998047, 002024,  0.101, _,    0105, 0142, -036,    
 0003.017578, 002023,  0.101, _,    0106, 0150, -030,    
 0003.037109, 002024,  0.101, _,    0104, 0146, -033,    
 0003.056641, 002022,  0.101, _,    0106, 0146, -033,    
 0003.078125, 002022,  0.101, _,    0101, 0148, -035,    
 0003.097656, 002023,  0.101, _,    0109, 0149, -036,    
 0003.117188, 002022,  0.101, _,    0105, 0147, -036,    
 0003.136719, 002027,  0.101, _,    0111, 0150, -030,    
 0003.158203, 002108,  0.105, _,    0105, 0149, -041,    
 0003.177734, 002026,  0.101, _,    0104, 0148, -035,    
 0003.197266, 002024,  0.101, _,    0109, 0147, -036,    
 0003.216797, 002023,  0.101, _,    0101, 0148, -033,    
 0003.238281, 002024,  0.101, _,    0104, 0150, -035,    
 0003.257812, 002027,  0.101, _,    0107, 0149, -039,    
 0003.277344, 002025,  0.101, _,    0101, 0150, -042,    
 0003.296875, 002025,  0.101, _,    0101, 0150, -040,    
 0003.316406, 002024,  0.101, _,    0106, 0148, -038,    
 0003.337891, 002026,  0.101, _,    0107, 0145, -034,    
 0003.357422, 002022,  0.101, _,    0108, 0144, -040,    
 0003.376953, 002025,  0.101, _,    0100, 0149, -041,    
 0003.396484, 002026,  0.101, _,    0106, 0150, -040,    
 0003.417969, 002045,  0.102, _,    0104, 0150, -040,    
 0003.437500, 002026,  0.101, _,    0108, 0148, -047,    
 0003.457031, 002024,  0.101, _,    0109, 0147, -034,    
 0003.476562, 002024,  0.101, _,    0108, 0148, -045,    
 0003.498047, 002024,  0.101, _,    0108, 0146, -042,    
 0003.517578, 002026,  0.101, _,    0112, 0147, -039,    
 0003.537109, 002026,  0.101, _,    0107, 0142, -034,    
 0003.556641, 002026,  0.101, _,    0108, 0146, -038,    
 0003.578125, 002023,  0.101, _,    0114, 0154, -039,    
 0003.597656, 002023,  0.101, _,    0105, 0149, -039,    
 0003.617188, 002024,  0.101, _,    0105, 0147, -041,    
 0003.636719, 002026,  0.101, _,    0108, 0148, -038,    
 0003.658203, 002087,  0.104, _,    0112, 0145, -034,    
 0003.677734, 002030,  0.102, _,    0104, 0148, -035,    
 0003.697266, 002022,  0.101, _,    0106, 0153, -038,    
 0003.716797, 002023,  0.101, _,    0107, 0145, -034,    
 0003.738281, 002026,  0.101, _,    0109, 0147, -034,    
 0003.757812, 002025,  0.101, _,    0109, 0154, -041,    
 0003.777344, 002023,  0.101, _,    0099, 0141, -038,    
 0003.796875, 002024,  0.101, _,    0107, 0147, -036,    
 0003.816406, 002026,  0.101, _,    0107, 0149, -039,    
 0003.837891, 002024,  0.101, _,    0105, 0147, -041,    
 0003.857422, 002024,  0.101, _,    0106, 0155, -033,    
 0003.876953, 002022,  0.101, _,    0104, 0148, -035,    
 0003.896484, 002027,  0.101, _,    0104, 0150, -035,    
 0003.917969, 002034,  0.102, _,    0108, 0150, -038,    
 0003.937500, 002026,  0.101, _,    0109, 0145, -034,    
 0003.957031, 002025,  0.101, _,    0105, 0142, -034,    
 0003.976562, 002025,  0.101, _,    0109, 0147, -034,    
 0003.998047, 002023,  0.101, _,    0106, 0148, -040,    
 0004.017578, 002023,  0.101, _,    0104, 0144, -035,    
 0004.037109, 002023,  0.101, _,    0106, 0148, -030,    
 0004.056641, 002024,  0.101, _,    0104, 0144, -038,    
 0004.078125, 002024,  0.101, _,    0104, 0150, -038,    
 0004.097656, 002028,  0.101, _,    0105, 0145, -034,    
 0004.117188, 002026,  0.101, _,    0107, 0149, -032,    
 0004.136719, 002024,  0.101, _,    0106, 0144, -042,    
 0004.158203, 002025,  0.101, _,    0104, 0150, -035,    
 0004.177734, 002028,  0.101, _,    0106, 0148, -035,    
 0004.197266, 002028,  0.101, _,    0107, 0147, -046,    
 0004.216797, 002024,  0.101, _,    0105, 0147, -039,    
 0004.238281, 002024,  0.101, _,    0099, 0146, -033,    
 0004.257812, 002024,  0.101, _,    0107, 0149, -039,    
 0004.277344, 002023,  0.101, _,    0107, 0147, -039,    
 0004.296875, 002023,  0.101, _,    0108, 0146, -040,    
 0004.316406, 002023,  0.101, _,    0108, 0148, -035,    
 0004.337891, 002024,  0.101, _,    0113, 0144, -045,    
 0004.357422, 002023,  0.101, _,    0106, 0146, -038,    
 0004.376953, 002021,  0.101, _,    0106, 0148, -035,    
 0004.396484, 002026,  0.101, _,    0108, 0153, -045,    
 0004.417969, 002023,  0.101, _,    0105, 0149, -029,    
 0004.437500, 002085,  0.104, _,    0104, 0148, -038,    
 0004.457031, 002025,  0.101, _,    0103, 0152, -041,    
 0004.476562, 002023,  0.101, _,    0106, 0150, -038,    
 0004.498047, 002024,  0.101, _,    0116, 0145, -036,    
 0004.517578, 002025,  0.101, _,    0106, 0144, -038,    
 0004.537109, 002023,  0.101, _,    0105, 0152, -036,    
 0004.556641, 002026,  0.101, _,    0112, 0142, -032,    
 0004.578125, 002024,  0.101, _,    0100, 0147, -041,    
 0004.597656, 002024,  0.101, _,    0112, 0145, -036,    
 0004.617188, 002025,  0.101, _,    0101, 0146, -040,    
 0004.636719, 002026,  0.101, _,    0105, 0147, -032,    
 0004.658203, 002025,  0.101, _,    0107, 0149, -032,    
 0004.677734, 002027,  0.101, _,    0106, 0153, -033,    
