 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,     
 0009.457031, 002027,  0.101, _,    0109, 0147, -034,    
 0009.476562, 002029,  0.101, _,    0106, 0146, -035,    
 0009.498047, 002029,  0.101, _,    0108, 0146, -038,    
 0009.517578, 002026,  0.101, _,    0101, 0148, -033,    
 0009.537109, 002024,  0.101, _,    0104, 0148, -035,    
 0009.556641, 002091,  0.105, _,    0101, 0148, -040,    
 0009.578125, 002031,  0.102, _,    0103, 0152, -034,    
 0009.597656, 002026,  0.101, _,    0105, 0152, -034,    
 0009.617188, 002028,  0.101, _,    0106, 0146, -042,    
 0009.636719, 002026,  0.101, _,    0104, 0139, -035,    
 0009.658203, 002029,  0.101, _,    0107, 0147, -034,    
 0009.677734, 002025,  0.101, _,    0104, 0146, -033,    
 0009.697266, 002026,  0.101, _,    0104, 0153, -038,    
 0009.716797, 002026,  0.101, _,    0106, 0148, -040,    
 0009.738281, 002027,  0.101, _,    0106, 0146, -038,    
 0009.757812, 002026,  0.101, _,    0108, 0144, -040,    
 0009.777344, 002026,  0.101, _,    0109, 0149, -036,    
 0009.796875, 002027,  0.101, _,    0103, 0149, -041,    
 0009.816406, 002039,  0.102, _,    0105, 0145, -036,    
 0009.837891, 002027,  0.101, _,    0103, 0145, -032,    
 0009.857422, 002028,  0.101, _,    0101, 0148, -030,    
 0009.876953, 002028,  0.101, _,    0103, 0152, -039,    
 0009.896484, 002024,  0.101, _,    0101, 0146, -033,    
 0009.917969, 002030,  0.102, _,    0109, 0154, -039,    
 0009.937500, 002024,  0.101, _,    0108, 0148, -033,    
 0009.957031, 002030,  0.102, _,    0101, 0146, -028,    
 0009.976562, 002026,  0.101, _,    0105, 0149, -036,    
 0009.998047, 002026,  0.101, _,    0101, 0146, -035,    
 0010.017578, 002033,  0.102, _,    0104, 0153, -040,    
 0010.037109, 002078,  0.104, _,    0109, 0147, -036,    
 0010.056641, 002096,  0.105, _,    0106, 0150, -038,    
 0010.078125, 002037,  0.102, _,    0108, 0148, -035,    
 0010.097656, 002034,  0.102, _,    0107, 0145, -034,    
 0010.117188, 002031,  0.102, _,    0108, 0150, -045,    
 0010.136719, 002034,  0.102, _,    0108, 0148, -033,    
 0010.158203, 002031,  0.102, _,    0107, 0145, -041,    
 0010.177734, 002034,  0.102, _,    0104, 0150, -038,    
 0010.197266, 002030,  0.102, _,    0108, 0146, -040,    
 0010.216797, 002030,  0.102, _,    0111, 0144, -040,    
 0010.238281, 002033,  0.102, _,    0106, 0153, -035,    
 0010.257812, 002029,  0.101, _,    0104, 0150, -040,    
 0010.277344, 002032,  0.102, _,    0104, 0150, -030,    
 0010.296875, 002029,  0.101, _,    0105, 0147, -036,    
 0010.316406, 002069,  0.103, _,    0106, 0148, -033,    
 0010.337891, 002039,  0.102, _,    0107, 0145, -036,    
 0010.357422, 002031,  0.102, _,    0109, 0152, -036,    
 0010.376953, 002032,  0.102, _,    0107, 0149, -039,    
 0010.396484, 002031,  0.102, _,    0111, 0150, -035,    
 0010.417969, 002032,  0.102, _,    0107, 0138, -036,    
 0010.437500, 002033,  0.102, _,    0104, 0144, -038,    
 0010.457031, 002033,  0.102, _,    0105, 0147, -039,    
 0010.476562, 002032,  0.102, _,    0108, 0146, -035,    
 0010.498047, 002033,  0.102, _,    0106, 0146, -035,    
 0010.517578, 002031,  0.102, _,    0105, 0147, -036,    
 0010.537109, 002029,  0.101, _,    0111, 0148, -035,    
 0010.556641, 002030,  0.102, _,    0107, 0149, -036,    
 0010.578125, 002034,  0.102, _,    0107, 0147, -036,    
 0010.597656, 002036,  0.102, _,    0105, 0152, -036,    
 0010.617188, 002035,  0.102, _,    0107, 0147, -041,    
 0010.636719, 002029,  0.101, _,    0107, 0147, -039,    
 0010.658203, 002031,  0.102, _,    0107, 0147, -032,    
 0010.677734, 002031,  0.102, _,    0105, 0145, -036,    
 0010.697266, 002034,  0.102, _,    0105, 0145, -039,    
 0010.716797, 002029,  0.101, _,    0107, 0149, -036,    
 0010.738281, 002028,  0.101, _,    0105, 0149, -039,    
 0010.757812, 002030,  0.102, _,    0108, 0148, -035,    
 0010.777344, 002033,  0.102, _,    0105, 0145, -036,    
 0010.796875, 002031,  0.102, _,    0111, 0150, -040,    
 0010.816406, 002033,  0.102, _,    0107, 0152, -034,    
 0010.837891, 002099,  0.105, _,    0104, 0153, -033,    
 0010.857422, 002033,  0.102, _,    0108, 0157, -035,    
 0010.876953, 002031,  0.102, _,    0104, 0153, -035,    
 0010.896484, 002033,  0.102, _,    0106, 0150, -040,    
 0010.917969, 002034,  0.102, _,    0111, 0148, -038,    
 0010.937500, 002034,  0.102, _,    0103, 0142, -046,    
 0010.957031, 002026,  0.101, _,    0106, 0148, -035,    
 0010.976562, 002032,  0.102, _,    0104, 0144, -035,    
 0010.998047, 002031,  0.102, _,    0107, 0149, -036,    
 0011.017578, 002032,  0.102, _,    0099, 0148, -033,    
 0011.037109, 002032,  0.102, _,    0105, 0142, -039,    
 0011.056641, 002030,  0.102, _,    0109, 0149, -029,    
 0011.078125, 002032,  0.102, _,    0106, 0148, -033,    
 0011.097656, 002056,  0.103, _,    0107, 0149, -034,    
 0011.117188, 002028,  0.101, _,    0105, 0147, -034,    
 0011.136719, 002032,  0.102, _,    0106, 0144, -033,    
 0011.158203, 002030,  0.102, _,    0105, 0145, -034,    
 0011.177734, 002031,  0.102, _,    0108, 0150, -028,    
 0011.197266, 002031,  0.102, _,    0109, 0149, -041,    
 0011.216797, 002031,  0.102, _,    0107, 0145, -036,    
 0011.238281, 002032,  0.102, _,    0104, 0144, -038,    
 0011.257812, 002030,  0.102, _,    0101, 0148, -033,    
 0011.277344, 002031,  0.102, _,    0105, 0147, -036,    
 0011.296875, 002031,  0.102, _,    0107, 0147, -039,    
 0011.316406, 002031,  0.102, _,    0109, 0145, -036,    
 0011.337891, 002090,  0.104, _,    0100, 0142, -034,    
 0011.357422, 002039,  0.102, _,    0108, 0153, -033,    
 0011.376953, 002033,  0.102, _,    0111, 0150, -033,    
 0011.396484, 002033,  0.102, _,    0106, 0144, -035,    
 0011.417969, 002032,  0.102, _,    0105, 0142, -036,    
 0011.437500, 002027,  0.101, _,    0106, 0148, -035,    
 0011.457031, 002027,  0.101, _,    0106, 0146, -035,    
 0011.476562, 002030,  0.102, _,    0108, 0146, -035,    
