 Atime,       Adur,    Aperc, A,    Arx1,   Ary1,   Arz1,    Aax1,   Aay1,   Aaz1,
 0001.156036, 000984,  0.098, _,    -00212, -00016, 008378,    -00186.45, -00024.81, 008352.38,    
 0001.166046, 000985,  0.099, _,    -00194, 000044, 008367,    -00188.52, -00009.08, 008356.33,    
 0001.176056, 000987,  0.099, _,    -00189, -00004, 008324,    -00187.47, -00006.34, 008350.03,    
 0001.186035, 000986,  0.099, _,    -00134, -00027, 008385,    -00177.27, -00010.91, 008355.80,    
 0001.196045, 000985,  0.099, _,    -00173, -00004, 008391,    -00173.52, -00009.66, 008365.23,    
 0001.206055, 000986,  0.099, _,    -00186, 000007, 008352,    -00178.23, -00005.92, 008361.89,    
 0001.216034, 000984,  0.098, _,    -00208, -00019, 008345,    -00182.88, -00008.25, 008358.33,    
 0001.226044, 000989,  0.099, _,    -00213, -00002, 008345,    -00190.78, -00007.42, 008354.84,    
 0001.236053, 000989,  0.099, _,    -00173, -00023, 008356,    -00186.78, -00009.80, 008355.14,    
 0001.246063, 000986,  0.099, _,    -00177, 000003, 008349,    -00184.78, -00007.86, 008354.23,    
 0001.256042, 000985,  0.099, _,    -00173, 000013, 008298,    -00182.48, -00001.73, 008342.83,    
 0001.266052, 000985,  0.099, _,    -00201, -00027, 008372,    -00185.88, -00007.38, 008346.75,    
 0001.276062, 000984,  0.098, _,    -00144, -00013, 008352,    -00178.03, -00008.98, 008350.42,    
 0001.286041, 000988,  0.099, _,    -00237, 000000, 008362,    -00187.48, -00007.33, 008350.50,    
 0001.296051, 000987,  0.099, _,    -00171, -00027, 008345,    -00188.55, -00011.27, 008351.42,    
 0001.306061, 000984,  0.098, _,    -00211, -00014, 008377,    -00189.61, -00012.59, 008354.47,    
 0001.316040, 000984,  0.098, _,    -00210, -00029, 008397,    -00198.09, -00015.45, 008365.28,    
 0001.326050, 000985,  0.099, _,    -00187, -00038, 008331,    -00193.20, -00021.36, 008358.12,    
