 Gtime,       Gdur,    Gperc, G,    Grx1,   Gry1,   Grz1,    Gax1,   Gay1,   Gaz1
 0001.143463, 000988,  0.099, _,    -00031, 000079, -00027,    -00033.61, 000077.50, -00029.84,    
 0001.153442, 000985,  0.099, _,    -00031, 000073, -00031,    -00032.91, 000076.94, -00030.19,    
 0001.163452, 000987,  0.099, _,    -00037, 000080, -00030,    -00033.80, 000077.25, -00029.92,    
 0001.173462, 000986,  0.099, _,    -00034, 000080, -00034,    -00033.89, 000078.27, -00030.75,    
 0001.183441, 000985,  0.099, _,    -00032, 000075, -00029,    -00033.36, 000077.36, -00030.38,    
 0001.193451, 000987,  0.099, _,    -00037, 000072, -00026,    -00034.03, 000076.34, -00029.30,    
 0001.203461, 000986,  0.099, _,    -00035, 000079, -00040,    -00034.42, 000076.61, -00031.41,    
 0001.213440, 000986,  0.099, _,    -00036, 000077, -00035,    -00034.67, 000077.06, -00032.62,    
 0001.223450, 000995,  0.100, _,    -00036, 000080, -00029,    -00035.06, 000077.44, -00031.64,    
 0001.233459, 000987,  0.099, _,    -00039, 000068, -00039,    -00035.78, 000075.77, -00033.22,    
 0001.243439, 000988,  0.099, _,    -00035, 000080, -00030,    -00035.88, 000076.02, -00032.88,    
 0001.253448, 000986,  0.099, _,    -00036, 000082, -00036,    -00035.77, 000077.86, -00033.25,    
 0001.263458, 000987,  0.099, _,    -00029, 000071, -00033,    -00034.58, 000076.16, -00033.66,    
 0001.273438, 000986,  0.099, _,    -00034, 000079, -00027,    -00034.12, 000076.69, -00031.98,    
 0001.283447, 000987,  0.099, _,    -00037, 000069, -00030,    -00034.98, 000075.25, -00031.64,    
 0001.293457, 000986,  0.099, _,    -00038, 000081, -00036,    -00035.47, 000075.98, -00032.45,    
 0001.303436, 000985,  0.099, _,    -00034, 000078, -00034,    -00035.42, 000076.95, -00033.00,    
 0001.313446, 000984,  0.098, _,    -00041, 000079, -00029,    -00036.31, 000077.02, -00032.12,    
 0001.323456, 000985,  0.099, _,    -00037, 000073, -00033,    -00036.88, 000076.56, -00032.19,    
 0001.333435, 000985,  0.099, _,    -00029, 000073, -00036,    -00034.98, 000075.41, -00032.98,    
 0001.343445, 000986,  0.099, _,    -00041, 000077, -00036,    -00036.11, 000075.92, -00033.75,    
 0001.353455, 000985,  0.099, _,    -00035, 000076, -00029,    -00036.14, 000075.84, -00032.75,    
 0001.363464, 000994,  0.099, _,    -00039, 000075, -00038,    -00036.48, 000075.77, -00033.59,    
 0001.373444, 001011,  0.101, _,    -00027, 000075, -00037,    -00034.91, 000075.39, -00034.70,    
 0001.383453, 000989,  0.099, _,    -00039, 000072, -00035,    -00035.14, 000074.86, -00034.61,    
 0001.393463, 000986,  0.099, _,    -00035, 000072, -00037,    -00035.83, 000074.05, -00035.31,    
 0001.403442, 000991,  0.099, _,    -00031, 000075, -00037,    -00034.28, 000074.30, -00035.67,    
 0001.413452, 000986,  0.099, _,    -00032, 000075, -00023,    -00034.00, 000074.38, -00033.23,    
 0001.423462, 000992,  0.099, _,    -00036, 000068, -00023,    -00034.09, 000073.05, -00030.58,    
 0001.433441, 000988,  0.099, _,    -00043, 000085, -00031,    -00036.20, 000075.17, -00030.72,    
 0001.443451, 000986,  0.099, _,    -00044, 000073, -00036,    -00037.83, 000075.41, -00031.73,    
 0001.453461, 000985,  0.099, _,    -00039, 000070, -00033,    -00038.38, 000073.72, -00032.19,    
 0001.463440, 000986,  0.099, _,    -00031, 000071, -00038,    -00036.72, 000073.41, -00033.16,    
 0001.473450, 000986,  0.099, _,    -00037, 000076, -00030,    -00036.66, 000073.56, -00032.89,    
 0001.483459, 000986,  0.099, _,    -00030, 000072, -00029,    -00035.44, 000073.62, -00031.69,    
 0001.493439, 000986,  0.099, _,    -00042, 000082, -00025,    -00036.44, 000074.94, -00030.39,    
 0001.503448, 000986,  0.099, _,    -00034, 000073, -00038,    -00036.52, 000075.17, -00031.45,    
 0001.513458, 000985,  0.099, _,    -00041, 000071, -00029,    -00036.89, 000073.81, -00031.53,    
 0001.523438, 000986,  0.099, _,    -00033, 000069, -00038,    -00036.83, 000073.16, -00032.23,    
 0001.533447, 000986,  0.099, _,    -00033, 000079, -00043,    -00035.42, 000073.84, -00035.23,    
 0001.543457, 000986,  0.099, _,    -00044, 000063, -00035,    -00037.52, 000072.27, -00035.17,    
 0001.553436, 000986,  0.099, _,    -00040, 000077, -00031,    -00037.97, 000072.23, -00034.50,    
 0001.563446, 000987,  0.099, _,    -00038, 000081, -00032,    -00038.00, 000074.88, -00033.69,    
 0001.573456, 000986,  0.099, _,    -00032, 000059, -00035,    -00036.70, 000071.36, -00034.08,    
 0001.583435, 000986,  0.099, _,    -00039, 000082, -00030,    -00037.08, 000073.20, -00033.20,    
 0001.593445, 000986,  0.099, _,    -00043, 000076, -00035,    -00038.53, 000074.38, -00033.47,    
 0001.603455, 000986,  0.099, _,    -00031, 000073, -00040,    -00037.11, 000073.69, -00035.02,    
 0001.613464, 000986,  0.099, _,    -00035, 000071, -00033,    -00036.30, 000073.38, -00034.86,    
 0001.623444, 000991,  0.099, _,    -00036, 000077, -00038,    -00036.44, 000073.73, -00035.31,    
 0001.633453, 000987,  0.099, _,    -00034, 000075, -00033,    -00035.81, 000074.47, -00035.09,    
 0001.643463, 000986,  0.099, _,    -00036, 000067, -00028,    -00035.84, 000072.75, -00033.36,    
 0001.653442, 000986,  0.099, _,    -00040, 000082, -00040,    -00036.69, 000074.48, -00034.56,    
 0001.663452, 000985,  0.099, _,    -00047, 000077, -00036,    -00038.88, 000075.47, -00035.14,    
 0001.673462, 000986,  0.099, _,    -00040, 000085, -00031,    -00039.39, 000077.28, -00034.16,    
 0001.683441, 000985,  0.099, _,    -00045, 000065, -00034,    -00040.36, 000075.23, -00034.16,    
 0001.693451, 000985,  0.099, _,    -00033, 000072, -00028,    -00039.28, 000073.81, -00032.91,    
 0001.703461, 000986,  0.099, _,    -00046, 000083, -00027,    -00040.12, 000076.27, -00031.48,    
 0001.713440, 000986,  0.099, _,    -00042, 000080, -00032,    -00041.20, 000076.88, -00031.52,    
 0001.723450, 000987,  0.099, _,    -00028, 000073, -00040,    -00038.11, 000076.38, -00033.16,    
 0001.733459, 000987,  0.099, _,    -00030, 000069, -00035,    -00036.42, 000074.55, -00033.83,    
 0001.743439, 000987,  0.099, _,    -00036, 000075, -00028,    -00036.12, 000074.70, -00032.47,    
 0001.753448, 000988,  0.099, _,    -00034, 000077, -00031,    -00035.91, 000075.17, -00032.03,    
 0001.763458, 000985,  0.099, _,    -00032, 000078, -00024,    -00034.84, 000075.88, -00030.47,    
 0001.773438, 000994,  0.099, _,    -00036, 000076, -00035,    -00035.02, 000075.83, -00030.97,    
 0001.783447, 000995,  0.100, _,    -00038, 000075, -00029,    -00035.52, 000075.66, -00030.91,    
 0001.793457, 000986,  0.099, _,    -00038, 000074, -00034,    -00036.09, 000075.28, -00031.11,    
 0001.803436, 000986,  0.099, _,    -00034, 000080, -00029,    -00035.55, 000076.22, -00031.16,    
 0001.813446, 000987,  0.099, _,    -00034, 000072, -00031,    -00035.09, 000075.64, -00030.70,    
 0001.823456, 000995,  0.100, _,    -00027, 000081, -00029,    -00033.42, 000076.28, -00030.73,    
 0001.833435, 000989,  0.099, _,    -00037, 000077, -00031,    -00033.72, 000076.92, -00030.39,    
 0001.843445, 000990,  0.099, _,    -00032, 000073, -00030,    -00033.83, 000075.80, -00030.52,    
 0001.853455, 000986,  0.099, _,    -00027, 000084, -00042,    -00032.08, 000077.69, -00032.53,    
 0001.863464, 000986,  0.099, _,    -00045, 000075, -00024,    -00034.73, 000077.36, -00031.53,    
 0001.873444, 000988,  0.099, _,    -00029, 000068, -00040,    -00034.03, 000075.20, -00032.39,    
 0001.883453, 000988,  0.099, _,    -00042, 000070, -00033,    -00035.08, 000073.97, -00033.62,    
 0001.893463, 000985,  0.099, _,    -00036, 000073, -00031,    -00036.02, 000073.67, -00032.30,    
 0001.903442, 000999,  0.100, _,    -00034, 000073, -00034,    -00034.98, 000073.55, -00033.20,    
 0001.913452, 000989,  0.099, _,    -00039, 000074, -00034,    -00036.19, 000073.58, -00033.00,    
 0001.923462, 000986,  0.099, _,    -00033, 000071, -00031,    -00035.41, 000073.02, -00032.97,    
 0001.933441, 000991,  0.099, _,    -00037, 000070, -00042,    -00035.75, 000072.27, -00034.52,    
 0001.943451, 000988,  0.099, _,    -00035, 000074, -00035,    -00035.75, 000072.56, -00035.28,    
 0001.953461, 000986,  0.099, _,    -00041, 000079, -00036,    -00036.78, 000073.81, -00034.98,    
 0001.963440, 000985,  0.099, _,    -00040, 000080, -00023,    -00037.70, 000075.27, -00033.05,    
 0001.973450, 000985,  0.099, _,    -00033, 000080, -00027,    -00036.81, 000076.23, -00030.92,    
 0001.983459, 000986,  0.099, _,    -00034, 000081, -00038,    -00036.03, 000077.34, -00032.81,    
 0001.993439, 000986,  0.099, _,    -00036, 000068, -00028,    -00036.06, 000075.66, -00031.75,    
 0002.003448, 000986,  0.099, _,    -00038, 000078, -00030,    -00036.45, 000075.77, -00031.17,    
 0002.013458, 000987,  0.099, _,    -00039, 000076, -00024,    -00036.98, 000076.28, -00029.80,    
 0002.023438, 000994,  0.099, _,    -00043, 000073, -00031,    -00038.31, 000075.31, -00029.69,    
 0002.033447, 000985,  0.099, _,    -00036, 000083, -00034,    -00038.03, 000077.06, -00030.81,    
 0002.043457, 000988,  0.099, _,    -00038, 000081, -00038,    -00037.86, 000078.11, -00032.12,    
 0002.053436, 000984,  0.098, _,    -00034, 000075, -00034,    -00037.27, 000077.59, -00032.73,    
