 Mtime,       Mdur,    Mperc, M,    Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0021.646561, 000396,  0.020, _,    0086, 0170, -034,    0084.25, 0171.62, -034.59,    -0.3385, -0.3163, 00.7807,    
 0021.666550, 000395,  0.020, _,    0083, 0171, -038,    0084.19, 0171.50, -035.50,    -0.3381, -0.3156, 00.7756,    
 0021.686554, 000395,  0.020, _,    0090, 0169, -042,    0085.11, 0170.86, -036.77,    -0.3433, -0.3121, 00.7684,    
 0021.706558, 000403,  0.020, _,    0082, 0172, -032,    0084.86, 0171.06, -036.08,    -0.3419, -0.3132, 00.7723,    
 0021.726562, 000400,  0.020, _,    0080, 0170, -034,    0083.44, 0170.95, -035.19,    -0.3339, -0.3126, 00.7773,    
 0021.746552, 000398,  0.020, _,    0084, 0170, -032,    0083.70, 0170.66, -034.84,    -0.3354, -0.3109, 00.7793,    
 0021.766556, 000396,  0.020, _,    0085, 0169, -033,    0083.88, 0170.38, -034.14,    -0.3364, -0.3094, 00.7833,    
 0021.786560, 000396,  0.020, _,    0083, 0171, -030,    0083.89, 0170.36, -033.52,    -0.3365, -0.3093, 00.7868,    
 0021.806564, 000400,  0.020, _,    0085, 0171, -033,    0083.97, 0170.50, -033.08,    -0.3369, -0.3101, 00.7893,    
 0021.826553, 000395,  0.020, _,    0093, 0172, -036,    0085.95, 0170.67, -033.89,    -0.3481, -0.3110, 00.7847,    
 0021.846558, 000395,  0.020, _,    0084, 0170, -041,    0085.81, 0170.67, -035.25,    -0.3473, -0.3110, 00.7770,    
 0021.866562, 000398,  0.020, _,    0091, 0172, -034,    0086.62, 0170.83, -035.31,    -0.3518, -0.3119, 00.7766,    
 0021.886551, 000400,  0.020, _,    0088, 0169, -038,    0087.30, 0170.62, -035.53,    -0.3556, -0.3108, 00.7754,    
 0021.906555, 000403,  0.020, _,    0086, 0172, -034,    0086.81, 0170.70, -035.56,    -0.3529, -0.3112, 00.7752,    
 0021.926559, 000396,  0.020, _,    0088, 0174, -038,    0087.23, 0171.59, -035.66,    -0.3552, -0.3162, 00.7747,    
 0021.946548, 000394,  0.020, _,    0078, 0174, -038,    0085.30, 0172.05, -036.53,    -0.3444, -0.3187, 00.7697,    
 0021.966553, 000396,  0.020, _,    0085, 0176, -035,    0085.03, 0173.00, -036.05,    -0.3429, -0.3240, 00.7725,    
 0021.986557, 000393,  0.020, _,    0085, 0169, -033,    0085.27, 0172.28, -035.59,    -0.3442, -0.3200, 00.7750,    
 0022.006561, 000400,  0.020, _,    0091, 0170, -034,    0086.27, 0171.66, -035.12,    -0.3498, -0.3165, 00.7777,    
 0022.026550, 000402,  0.020, _,    0082, 0172, -034,    0085.77, 0171.81, -035.05,    -0.3470, -0.3174, 00.7781,    
 0022.046555, 000395,  0.020, _,    0090, 0171, -040,    0086.19, 0171.61, -035.94,    -0.3494, -0.3163, 00.7731,    
 0022.066559, 000396,  0.020, _,    0085, 0169, -038,    0086.41, 0171.08, -036.64,    -0.3506, -0.3133, 00.7691,    
 0022.086548, 000395,  0.020, _,    0091, 0165, -036,    0086.88, 0169.75, -036.31,    -0.3532, -0.3059, 00.7710,    
 0022.106552, 000408,  0.020, _,    0085, 0176, -042,    0087.02, 0170.86, -037.59,    -0.3540, -0.3121, 00.7637,    
 0022.126556, 000395,  0.020, _,    0082, 0172, -027,    0085.42, 0171.47, -035.59,    -0.3451, -0.3155, 00.7750,    
