 Atime,       Adur,      Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,         Acx1,    Acy1,    Acz1,   
 0000.278130, 000740,    -08154, 000338, 000026,    -00159.88, 000006.63, 000000.51,    -0.0008, 00.0195, 00.0001,    
 0000.478142, 000585,    -08159, 000386, 000042,    -00316.73, 000014.07, 000001.32,    -0.0017, 00.0386, 00.0002,    
 0000.479126, 000544,    -08173, 000391, 000018,    -00470.77, 000021.46, 000001.65,    -0.0026, 00.0574, 00.0002,    
 0000.480125, 000540,    -08162, 000389, 000021,    -00621.58, 000028.66, 000002.03,    -0.0035, 00.0758, 00.0002,    
 0000.481125, 000540,    -08166, 000385, 000059,    -00769.51, 000035.65, 000003.15,    -0.0043, 00.0938, 00.0004,    
 0000.482124, 000541,    -08165, 000401, 000028,    -00914.52, 000042.81, 000003.63,    -0.0052, 00.1115, 00.0004,    
 0000.483124, 000541,    -08143, 000388, 000035,    -01056.26, 000049.58, 000004.25,    -0.0060, 00.1288, 00.0005,    
 0000.484123, 000539,    -08145, 000346, 000090,    -01195.25, 000055.39, 000005.93,    -0.0068, 00.1458, 00.0007,    
 0000.485123, 000540,    -08190, 000334, 000103,    -01332.40, 000060.86, 000007.83,    -0.0074, 00.1625, 00.0010,    
 0000.486122, 000855,    -08201, 000334, 000106,    -08156.20, 000343.49, 000031.09,    -0.0419, 00.9947, 00.0038,    
 0000.487122, 000539,    -08166, 000350, 000102,    -08160.49, 000383.00, 000045.60,    -0.0467, 00.9952, 00.0056,    
 0000.488129, 000540,    -08161, 000364, 000078,    -08171.99, 000386.72, 000026.55,    -0.0472, 00.9966, 00.0032,    
 0000.489120, 000540,    -08181, 000339, 000065,    -08163.14, 000384.15, 000029.77,    -0.0468, 00.9955, 00.0036,    
 0000.490128, 000542,    -08178, 000318, 000082,    -08166.71, 000379.57, 000061.96,    -0.0463, 00.9959, 00.0076,    
 0000.491127, 000540,    -08179, 000329, 000073,    -08166.14, 000391.70, 000036.75,    -0.0478, 00.9959, 00.0045,    
 0000.492126, 000540,    -08182, 000360, 000021,    -08148.40, 000380.42, 000042.18,    -0.0464, 00.9937, 00.0051,    
 0000.493126, 000540,    -08168, 000372, 000047,    -08150.42, 000345.80, 000087.40,    -0.0422, 00.9940, 00.0107,    
 0000.494125, 000540,    -08138, 000372, 000116,    -08187.10, 000336.47, 000098.62,    -0.0410, 00.9984, 00.0120,    
 0000.495125, 000539,    -08121, 000399, 000116,    -08194.82, 000337.69, 000101.42,    -0.0412, 00.9994, 00.0124,    
 0000.496124, 000853,    -08143, 000442, 000080,    -08165.10, 000352.86, 000097.72,    -0.0430, 00.9957, 00.0119,    
 0000.497124, 000540,    -08161, 000441, 000057,    -08160.91, 000366.08, 000077.23,    -0.0446, 00.9952, 00.0094,    
 0000.498123, 000541,    -08146, 000427, 000035,    -08177.03, 000346.76, 000065.74,    -0.0423, 00.9972, 00.0080,    
 0000.499123, 000539,    -08117, 000435, 000060,    -08173.39, 000331.27, 000079.58,    -0.0404, 00.9968, 00.0097,    
 0000.500122, 000540,    -08131, 000435, 000077,    -08173.38, 000342.32, 000072.14,    -0.0417, 00.9968, 00.0088,    
 0000.501122, 000538,    -08117, 000456, 000031,    -08174.73, 000369.98, 000028.68,    -0.0451, 00.9969, 00.0035,    
 0000.502121, 000541,    -08091, 000474, 000034,    -08161.61, 000381.87, 000050.11,    -0.0466, 00.9953, 00.0061,    
 0000.503120, 000540,    -08122, 000453, 000092,    -08136.22, 000383.26, 000107.54,    -0.0467, 00.9922, 00.0131,    
 0000.504128, 000614,    -08133, 000436, 000106,    -08122.21, 000406.45, 000107.51,    -0.0496, 00.9905, 00.0131,    
 0000.505127, 000543,    -08138, 000447, 000078,    -08140.57, 000442.52, 000077.39,    -0.0540, 00.9928, 00.0094,    
 0000.506126, 000854,    -08156, 000446, 000113,    -08155.64, 000441.76, 000059.22,    -0.0539, 00.9946, 00.0072,    
 0000.507126, 000541,    -08159, 000436, 000124,    -08143.40, 000430.17, 000042.45,    -0.0525, 00.9931, 00.0052,    
 0000.508125, 000541,    -08177, 000442, 000062,    -08120.27, 000436.96, 000063.34,    -0.0533, 00.9903, 00.0077,    
 0000.509125, 000541,    -08172, 000430, 000052,    -08132.77, 000436.82, 000077.06,    -0.0533, 00.9918, 00.0094,    
 0000.510124, 000535,    -08142, 000402, 000053,    -08121.46, 000453.37, 000038.86,    -0.0553, 00.9904, 00.0047,    
 0000.511139, 000551,    -08132, 000395, 000075,    -08100.34, 000466.99, 000042.02,    -0.0570, 00.9878, 00.0051,    
 0000.512123, 000541,    -08137, 000396, 000133,    -08126.49, 000448.37, 000091.39,    -0.0547, 00.9910, 00.0111,    
 0000.513123, 000541,    -08123, 000363, 000118,    -08135.44, 000432.75, 000103.40,    -0.0528, 00.9921, 00.0126,    
 0000.514122, 000541,    -08132, 000320, 000081,    -08139.48, 000439.56, 000079.99,    -0.0536, 00.9926, 00.0098,    
 0000.515121, 000541,    -08147, 000295, 000021,    -08154.39, 000435.91, 000107.54,    -0.0532, 00.9944, 00.0131,    
