 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0000.792397, 000074,    01.0000, 00.0008, -0.0003, -0.0001,    00.0000, 00.0000, 00.0000,    00.0228, -0.0327, 00.0124,    
 0000.992416, 000037,    01.0000, 00.0015, -0.0004, -0.0007,    00.0017, -0.0006, -0.0002,    00.0204, -0.0087, -0.0023,    
 0001.002411, 000021,    01.0000, 00.0021, -0.0004, -0.0012,    00.0029, -0.0008, -0.0013,    00.0235, -0.0036, -0.0008,    
 0001.012413, 000018,    01.0000, 00.0027, -0.0004, -0.0018,    00.0042, -0.0008, -0.0024,    00.0208, 00.0030, -0.0016,    
 0001.022408, 000018,    01.0000, 00.0034, -0.0004, -0.0023,    00.0055, -0.0008, -0.0035,    00.0205, 00.0004, 00.0011,    
 0001.032410, 000021,    01.0000, 00.0040, -0.0005, -0.0028,    00.0067, -0.0009, -0.0046,    00.0217, -0.0108, 00.0068,    
 0001.042412, 000033,    01.0000, 00.0046, -0.0006, -0.0033,    00.0080, -0.0010, -0.0056,    00.0200, -0.0142, 00.0159,    
 0001.052414, 000019,    01.0000, 00.0053, -0.0007, -0.0037,    00.0093, -0.0012, -0.0065,    00.0197, -0.0182, 00.0137,    
 0001.062424, 000021,    01.0000, 00.0059, -0.0008, -0.0042,    00.0105, -0.0014, -0.0075,    00.0210, -0.0143, 00.0101,    
 0001.072411, 000020,    01.0000, 00.0066, -0.0009, -0.0047,    00.0118, -0.0016, -0.0084,    00.0227, -0.0134, 00.0151,    
 0001.082413, 000018,    01.0000, 00.0072, -0.0010, -0.0052,    00.0131, -0.0017, -0.0094,    00.0207, -0.0117, 00.0100,    
 0001.092415, 000017,    01.0000, 00.0078, -0.0011, -0.0057,    00.0144, -0.0019, -0.0103,    00.0222, -0.0062, 00.0009,    
 0001.102409, 000019,    00.9999, 00.0085, -0.0011, -0.0062,    00.0157, -0.0020, -0.0114,    00.0230, -0.0113, -0.0007,    
 0001.112411, 000018,    00.9999, 00.0091, -0.0012, -0.0068,    00.0169, -0.0022, -0.0125,    00.0210, -0.0143, 00.0044,    
 0001.122414, 000021,    00.9999, 00.0098, -0.0014, -0.0072,    00.0182, -0.0023, -0.0135,    00.0241, -0.0255, 00.0100,    
 0001.132416, 000021,    00.9999, 00.0104, -0.0015, -0.0077,    00.0195, -0.0026, -0.0145,    00.0239, -0.0294, 00.0142,    
 0001.142410, 000027,    00.9999, 00.0111, -0.0017, -0.0082,    00.0208, -0.0029, -0.0154,    00.0245, -0.0354, 00.0156,    
 0001.152412, 000019,    00.9999, 00.0117, -0.0020, -0.0087,    00.0222, -0.0033, -0.0164,    00.0248, -0.0547, 00.0036,    
 0001.162415, 000017,    00.9999, 00.0124, -0.0024, -0.0094,    00.0235, -0.0038, -0.0174,    00.0267, -0.0697, -0.0432,    
 0001.172417, 000020,    00.9999, 00.0131, -0.0027, -0.0103,    00.0248, -0.0045, -0.0189,    00.0275, -0.0673, -0.0594,    
 0001.182411, 000018,    00.9998, 00.0137, -0.0029, -0.0109,    00.0262, -0.0052, -0.0206,    00.0255, -0.0169, -0.0162,    
 0001.192413, 000017,    00.9998, 00.0144, -0.0027, -0.0114,    00.0275, -0.0055, -0.0218,    00.0194, 00.0352, 00.0077,    
 0001.202415, 000018,    00.9998, 00.0150, -0.0026, -0.0119,    00.0288, -0.0052, -0.0228,    00.0202, 00.0274, 00.0053,    
 0001.212410, 000017,    00.9998, 00.0156, -0.0025, -0.0123,    00.0300, -0.0049, -0.0238,    00.0191, 00.0237, 00.0145,    
 0001.222412, 000017,    00.9998, 00.0163, -0.0026, -0.0128,    00.0313, -0.0047, -0.0247,    00.0232, -0.0112, 00.0203,    
 0001.232414, 000017,    00.9998, 00.0169, -0.0027, -0.0132,    00.0326, -0.0048, -0.0256,    00.0233, -0.0205, 00.0165,    
 0001.242409, 000031,    00.9997, 00.0176, -0.0029, -0.0137,    00.0339, -0.0050, -0.0265,    00.0232, -0.0203, 00.0071,    
 0001.252411, 000019,    00.9997, 00.0182, -0.0031, -0.0142,    00.0352, -0.0053, -0.0275,    00.0255, -0.0298, 00.0089,    
