 time, start,  dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0000.513278, 001115,  1.115, X,    -00037, 000077, -00034,    
 0000.713286, 001029,  1.029, X,    -00038, 000075, -00031,    
 0000.714345, 000986,  0.986, _,    -00037, 000074, -00030,    
 0000.715357, 000980,  0.980, _,    -00039, 000072, -00035,    
 0000.716360, 000979,  0.979, _,    -00036, 000067, -00042,    
 0000.717363, 000977,  0.977, _,    -00037, 000066, -00043,    
 0000.718363, 000976,  0.976, _,    -00032, 000072, -00033,    
 0000.719362, 000981,  0.981, _,    -00027, 000079, -00031,    
 0000.720367, 000980,  0.980, _,    -00034, 000082, -00035,    
 0000.721371, 000976,  0.976, _,    -00041, 000083, -00040,    
 0000.722371, 000976,  0.976, _,    -00040, 000080, -00040,    
 0000.723371, 000975,  0.975, _,    -00036, 000077, -00037,    
 0000.724369, 000977,  0.977, _,    -00036, 000074, -00034,    
 0000.725369, 000975,  0.975, _,    -00038, 000075, -00032,    
 0000.726368, 000977,  0.977, _,    -00041, 000077, -00036,    
 0000.727368, 000977,  0.977, _,    -00039, 000082, -00037,    
 0000.728368, 000977,  0.977, _,    -00038, 000086, -00035,    
 0000.729367, 000977,  0.977, _,    -00039, 000087, -00029,    
 0000.730367, 000976,  0.976, _,    -00039, 000085, -00029,    
 0000.731367, 000976,  0.976, _,    -00034, 000079, -00034,    
 0000.732366, 000976,  0.976, _,    -00031, 000073, -00037,    
 0000.733365, 000976,  0.976, _,    -00034, 000073, -00038,    
 0000.734364, 000977,  0.977, _,    -00039, 000080, -00040,    
 0000.735364, 000977,  0.977, _,    -00043, 000083, -00042,    
 0000.736364, 000976,  0.976, _,    -00044, 000082, -00036,    
 0000.737363, 000977,  0.977, _,    -00041, 000080, -00034,    
 0000.738363, 000976,  0.976, _,    -00038, 000081, -00041,    
 0000.739361, 000977,  0.977, _,    -00037, 000084, -00044,    
 0000.740361, 000977,  0.977, _,    -00038, 000081, -00037,    
 0000.741361, 000977,  0.977, _,    -00039, 000079, -00027,    
 0000.742361, 000976,  0.976, _,    -00040, 000081, -00030,    
 0000.743360, 000976,  0.976, _,    -00038, 000075, -00034,    
 0000.744360, 000978,  0.978, _,    -00035, 000073, -00036,    
 0000.745361, 000976,  0.976, _,    -00033, 000077, -00037,    
 0000.746361, 000976,  0.976, _,    -00032, 000080, -00032,    
 0000.747360, 000976,  0.976, _,    -00037, 000077, -00028,    
 0000.748359, 000977,  0.977, _,    -00040, 000076, -00029,    
 0000.749358, 000978,  0.978, _,    -00041, 000074, -00031,    
 0000.750359, 000976,  0.976, _,    -00039, 000073, -00034,    
 0000.751358, 000976,  0.976, _,    -00039, 000075, -00036,    
 0000.752357, 000977,  0.977, _,    -00040, 000077, -00040,    
 0000.753357, 000976,  0.976, _,    -00041, 000072, -00042,    
 0000.754357, 000976,  0.976, _,    -00042, 000069, -00041,    
 0000.755356, 000976,  0.976, _,    -00038, 000075, -00038,    
 0000.756356, 000977,  0.977, _,    -00034, 000079, -00034,    
 0000.757356, 000978,  0.978, _,    -00039, 000079, -00035,    
