 timestamp,   dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0001.388184, 000975,  0.975, _,    -00033, 000074, -00038,    
 0001.389160, 000976,  0.976, _,    -00037, 000072, -00036,    
 0001.390137, 000977,  0.977, _,    -00041, 000074, -00033,    
 0001.391113, 000976,  0.976, _,    -00045, 000074, -00032,    
 0001.392090, 000975,  0.975, _,    -00042, 000073, -00034,    
 0001.393066, 000975,  0.975, _,    -00036, 000074, -00038,    
 0001.394531, 000975,  0.975, _,    -00035, 000074, -00036,    
 0001.395508, 000975,  0.975, _,    -00037, 000076, -00032,    
 0001.396484, 000976,  0.976, _,    -00038, 000075, -00032,    
 0001.397461, 000974,  0.974, _,    -00041, 000074, -00033,    
 0001.398438, 000974,  0.974, _,    -00042, 000076, -00032,    
 0001.399414, 000977,  0.977, _,    -00039, 000074, -00030,    
 0001.400391, 000975,  0.975, _,    -00035, 000075, -00033,    
 0001.401367, 000975,  0.975, _,    -00035, 000076, -00039,    
 0001.402344, 000975,  0.975, _,    -00037, 000075, -00036,    
 0001.403320, 000976,  0.976, _,    -00037, 000073, -00030,    
 0001.404297, 000976,  0.976, _,    -00037, 000074, -00031,    
 0001.405273, 000975,  0.975, _,    -00041, 000075, -00033,    
 0001.406250, 000975,  0.975, _,    -00042, 000078, -00035,    
 0001.407227, 000974,  0.974, _,    -00039, 000080, -00032,    
 0001.408203, 000975,  0.975, _,    -00036, 000076, -00025,    
 0001.409180, 000977,  0.977, _,    -00037, 000073, -00026,    
 0001.410156, 000975,  0.975, _,    -00041, 000076, -00031,    
 0001.411133, 000976,  0.976, _,    -00039, 000079, -00036,    
 0001.412109, 000975,  0.975, _,    -00034, 000079, -00041,    
 0001.413086, 000975,  0.975, _,    -00032, 000078, -00039,    
 0001.414062, 000976,  0.976, _,    -00030, 000076, -00033,    
 0001.415039, 000976,  0.976, _,    -00029, 000073, -00032,    
 0001.416016, 000975,  0.975, _,    -00034, 000072, -00031,    
 0001.417480, 000975,  0.975, _,    -00036, 000069, -00035,    
 0001.418457, 000976,  0.976, _,    -00035, 000070, -00037,    
 0001.419434, 000976,  0.976, _,    -00040, 000075, -00036,    
 0001.420410, 000976,  0.976, _,    -00041, 000075, -00032,    
 0001.421387, 000991,  0.991, _,    -00040, 000072, -00029,    
 0001.422363, 000979,  0.979, _,    -00038, 000071, -00029,    
 0001.423340, 000977,  0.977, _,    -00036, 000076, -00032,    
 0001.424316, 000977,  0.977, _,    -00034, 000080, -00028,    
 0001.425293, 000976,  0.976, _,    -00031, 000078, -00026,    
 0001.426270, 000975,  0.975, _,    -00033, 000072, -00030,    
 0001.427246, 000974,  0.974, _,    -00040, 000073, -00037,    
 0001.428223, 000975,  0.975, _,    -00043, 000080, -00042,    
 0001.429199, 000976,  0.976, _,    -00042, 000082, -00043,    
 0001.430176, 000976,  0.976, _,    -00039, 000079, -00037,    
 0001.431152, 000975,  0.975, _,    -00039, 000077, -00033,    
 0001.432129, 000975,  0.975, _,    -00038, 000078, -00033,    
 0001.433105, 000974,  0.974, _,    -00034, 000078, -00030,    
 0001.434082, 000975,  0.975, _,    -00032, 000077, -00028,    
 0001.435547, 000975,  0.975, _,    -00039, 000076, -00031,    
 0001.436523, 000974,  0.974, _,    -00044, 000072, -00037,    
 0001.437500, 000974,  0.974, _,    -00046, 000071, -00037,    
 0001.438477, 000975,  0.975, _,    -00048, 000074, -00038,    
 0001.439453, 000978,  0.978, _,    -00048, 000079, -00041,    
 0001.440430, 000978,  0.978, _,    -00042, 000081, -00037,    
 0001.441406, 000975,  0.975, _,    -00037, 000077, -00036,    
 0001.442383, 000974,  0.974, _,    -00038, 000076, -00036,    
 0001.443359, 000975,  0.975, _,    -00043, 000075, -00035,    
 0001.444336, 000974,  0.974, _,    -00047, 000079, -00031,    
 0001.445312, 000975,  0.975, _,    -00039, 000081, -00029,    
 0001.446289, 000975,  0.975, _,    -00034, 000084, -00030,    
 0001.447266, 000974,  0.974, _,    -00037, 000086, -00031,    
 0001.448242, 000976,  0.976, _,    -00039, 000081, -00034,    
