 time, start,  dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 8498, 689277, 001118,  1.118, X,    -00033, 000081, -00047,    
 8498, 889282, 001031,  1.031, X,    -00046, 000085, -00029,    
 8498, 890342, 000988,  0.988, _,    -00046, 000084, -00025,    
 8498, 891356, 000982,  0.982, _,    -00040, 000081, -00025,    
 8498, 892360, 000982,  0.982, _,    -00038, 000073, -00029,    
 8498, 893364, 000980,  0.980, _,    -00036, 000070, -00032,    
 8498, 894366, 000977,  0.977, _,    -00034, 000072, -00033,    
 8498, 895365, 000977,  0.977, _,    -00033, 000081, -00032,    
 8498, 896364, 000978,  0.978, _,    -00031, 000088, -00031,    
 8498, 897363, 000977,  0.977, _,    -00030, 000085, -00027,    
 8498, 898362, 000977,  0.977, _,    -00032, 000079, -00027,    
 8498, 899360, 000981,  0.981, _,    -00038, 000078, -00028,    
 8498, 900364, 000979,  0.979, _,    -00038, 000079, -00029,    
 8498, 901365, 000977,  0.977, _,    -00036, 000078, -00034,    
 8498, 902364, 000980,  0.980, _,    -00038, 000077, -00038,    
 8498, 903365, 000977,  0.977, _,    -00043, 000077, -00030,    
 8498, 904364, 000976,  0.976, _,    -00046, 000078, -00024,    
 8498, 905361, 000978,  0.978, _,    -00039, 000079, -00027,    
 8498, 906360, 000978,  0.978, _,    -00035, 000079, -00030,    
 8498, 907359, 000979,  0.979, _,    -00038, 000080, -00028,    
 8498, 908360, 000977,  0.977, _,    -00039, 000079, -00030,    
 8498, 909358, 000979,  0.979, _,    -00038, 000076, -00035,    
 8498, 910359, 000978,  0.978, _,    -00035, 000072, -00040,    
 8498, 911360, 000978,  0.978, _,    -00038, 000068, -00042,    
 8498, 912359, 000979,  0.979, _,    -00041, 000070, -00044,    
 8498, 913360, 000978,  0.978, _,    -00041, 000079, -00043,    
 8498, 914360, 000976,  0.976, _,    -00039, 000082, -00037,    
 8498, 915358, 000976,  0.976, _,    -00035, 000077, -00032,    
 8498, 916356, 000977,  0.977, _,    -00033, 000074, -00035,    
 8498, 917354, 000976,  0.976, _,    -00035, 000074, -00035,    
 8498, 918351, 000977,  0.977, _,    -00040, 000076, -00030,    
 8498, 919349, 000978,  0.978, _,    -00044, 000081, -00027,    
 8498, 920349, 000980,  0.980, _,    -00043, 000078, -00029,    
 8498, 921350, 000977,  0.977, _,    -00039, 000072, -00032,    
 8498, 922349, 000976,  0.976, _,    -00036, 000075, -00037,    
 8498, 923347, 000976,  0.976, _,    -00036, 000085, -00041,    
 8498, 924345, 000978,  0.978, _,    -00035, 000086, -00036,    
 8498, 925344, 000977,  0.977, _,    -00034, 000080, -00031,    
 8498, 926343, 000978,  0.978, _,    -00035, 000075, -00035,    
 8498, 927342, 000978,  0.978, _,    -00037, 000075, -00037,    
 8498, 928343, 000976,  0.976, _,    -00037, 000079, -00032,    
 8498, 929340, 000982,  0.982, _,    -00034, 000080, -00031,    
 8498, 930344, 000977,  0.977, _,    -00027, 000079, -00037,    
 8498, 931343, 000979,  0.979, _,    -00035, 000078, -00037,    
 8498, 932343, 000977,  0.977, _,    -00035, 000079, -00032,    
 8498, 933342, 000978,  0.978, _,    -00032, 000078, -00029,    
 8498, 934342, 000979,  0.979, _,    -00031, 000079, -00032,    
 8498, 935342, 000978,  0.978, _,    -00037, 000080, -00035,    
 8498, 936341, 000979,  0.979, _,    -00040, 000076, -00038,    
 8498, 937341, 000979,  0.979, _,    -00039, 000074, -00037,    
 8498, 938341, 000979,  0.979, _,    -00036, 000074, -00036,    
 8498, 939340, 000982,  0.982, _,    -00031, 000072, -00036,    
 8498, 940344, 000977,  0.977, _,    -00031, 000075, -00041,    
 8498, 941343, 000979,  0.979, _,    -00035, 000075, -00039,    
 8498, 942344, 000977,  0.977, _,    -00035, 000078, -00033,    
 8498, 943342, 000978,  0.978, _,    -00034, 000082, -00030,    
 8498, 944341, 000979,  0.979, _,    -00030, 000081, -00031,    
 8498, 945341, 000980,  0.980, _,    -00030, 000078, -00038,    
 8498, 946343, 000977,  0.977, _,    -00031, 000077, -00043,    
 8498, 947341, 000978,  0.978, _,    -00029, 000074, -00036,    
 8498, 948341, 000978,  0.978, _,    -00028, 000075, -00029,    
 8498, 949340, 000982,  0.982, _,    -00026, 000077, -00031,    
 8498, 950344, 000977,  0.977, _,    -00028, 000078, -00034,    
 8498, 951516, 001226,  1.226, X,    -00034, 000077, -00035,    
 8498, 952785, 001006,  1.006, X,    -00038, 000078, -00034,    
 8498, 953817, 000986,  0.986, _,    -00038, 000076, -00032,    
 8498, 954827, 000980,  0.980, _,    -00037, 000075, -00031,    
 8498, 955829, 000978,  0.978, _,    -00039, 000079, -00032,    
 8498, 956829, 000977,  0.977, _,    -00041, 000085, -00037,    
 8498, 957828, 000978,  0.978, _,    -00044, 000086, -00040,    
 8498, 958827, 000976,  0.976, _,    -00044, 000078, -00038,    
 8498, 959824, 000983,  0.983, _,    -00036, 000072, -00033,    
 8498, 960829, 000979,  0.979, _,    -00032, 000074, -00033,    
 8498, 961830, 000977,  0.977, _,    -00032, 000080, -00033,    
 8498, 962829, 000979,  0.979, _,    -00034, 000081, -00032,    
 8498, 963830, 000979,  0.979, _,    -00037, 000078, -00031,    
 8498, 964831, 000979,  0.979, _,    -00039, 000076, -00031,    
 8498, 965831, 000977,  0.977, _,    -00039, 000080, -00031,    
 8498, 966830, 000977,  0.977, _,    -00037, 000083, -00032,    
 8498, 967829, 000976,  0.976, _,    -00033, 000082, -00036,    
 8498, 968827, 000976,  0.976, _,    -00032, 000077, -00037,    
 8498, 969824, 000979,  0.979, _,    -00034, 000076, -00033,    
 8498, 970825, 000979,  0.979, _,    -00037, 000075, -00029,    
 8498, 971826, 000977,  0.977, _,    -00038, 000073, -00030,    
 8498, 972824, 000979,  0.979, _,    -00036, 000073, -00031,    
 8498, 973825, 001024,  1.024, X,    -00028, 000072, -00033,    
 8498, 974882, 001025,  1.025, X,    -00028, 000070, -00036,    
 8498, 975941, 000994,  0.994, _,    -00035, 000070, -00036,    
 8498, 976960, 000984,  0.984, _,    -00041, 000074, -00033,    
 8498, 977967, 000977,  0.977, _,    -00044, 000077, -00030,    
 8498, 978967, 000976,  0.976, _,    -00043, 000082, -00032,    
 8498, 979964, 001025,  1.025, X,    -00043, 000083, -00034,    
 8498, 981011, 000986,  0.986, _,    -00036, 000082, -00036,    
 8498, 982020, 000978,  0.978, _,    -00029, 000081, -00034,    
 8498, 983019, 000979,  0.979, _,    -00023, 000080, -00033,    
 8498, 984019, 000977,  0.977, _,    -00022, 000082, -00030,    
 8498, 985017, 000979,  0.979, _,    -00028, 000081, -00033,    
 8498, 986018, 000979,  0.979, _,    -00034, 000075, -00035,    
 8498, 987019, 000978,  0.978, _,    -00037, 000073, -00034,    
 8498, 988018, 000981,  0.981, _,    -00039, 000074, -00035,    
 8498, 989021, 000976,  0.976, _,    -00036, 000079, -00035,    
 8498, 990038, 000981,  0.981, _,    -00034, 000079, -00031,    
 8498, 991041, 000975,  0.975, _,    -00036, 000076, -00030,    
 8498, 992037, 000976,  0.976, _,    -00034, 000077, -00032,    
 8498, 993035, 000975,  0.975, _,    -00029, 000079, -00029,    
 8498, 994032, 000975,  0.975, _,    -00029, 000079, -00029,    
 8498, 995029, 000974,  0.974, _,    -00031, 000076, -00034,    
 8498, 996025, 000975,  0.975, _,    -00031, 000073, -00034,    
 8498, 997021, 000977,  0.977, _,    -00037, 000074, -00033,    
 8498, 998019, 000976,  0.976, _,    -00041, 000077, -00033,    
 8498, 999017, 000980,  0.980, _,    -00039, 000079, -00031,    
 8499, 000043, 000981,  0.981, _,    -00035, 000082, -00029,    
 8499, 001046, 000977,  0.977, _,    -00032, 000080, -00030,    
 8499, 002044, 000976,  0.976, _,    -00034, 000076, -00031,    
 8499, 003042, 000976,  0.976, _,    -00035, 000073, -00031,    
 8499, 004039, 000976,  0.976, _,    -00039, 000073, -00029,    
 8499, 005036, 000975,  0.975, _,    -00044, 000077, -00027,    
 8499, 006033, 000975,  0.975, _,    -00046, 000077, -00028,    
 8499, 007030, 000976,  0.976, _,    -00041, 000078, -00029,    
 8499, 008028, 000975,  0.975, _,    -00034, 000078, -00031,    
 8499, 009024, 000974,  0.974, _,    -00029, 000080, -00032,    
 8499, 010035, 000979,  0.979, _,    -00032, 000084, -00032,    
 8499, 011035, 000976,  0.976, _,    -00035, 000082, -00032,    
 8499, 012032, 000977,  0.977, _,    -00036, 000077, -00033,    
 8499, 013030, 000976,  0.976, _,    -00039, 000074, -00035,    
 8499, 014028, 000975,  0.975, _,    -00042, 000071, -00042,    
 8499, 015141, 001002,  1.002, X,    -00043, 000074, -00040,    
 8499, 016166, 000981,  0.981, _,    -00041, 000076, -00032,    
 8499, 017169, 000982,  0.982, _,    -00034, 000083, -00033,    
 8499, 018173, 000978,  0.978, _,    -00036, 000084, -00032,    
 8499, 019174, 000981,  0.981, _,    -00040, 000082, -00030,    
 8499, 020178, 000977,  0.977, _,    -00038, 000083, -00027,    
 8499, 021177, 000978,  0.978, _,    -00032, 000081, -00024,    
 8499, 022177, 000976,  0.976, _,    -00031, 000079, -00028,    
 8499, 023174, 000977,  0.977, _,    -00032, 000080, -00031,    
 8499, 024172, 000976,  0.976, _,    -00035, 000080, -00029,    
 8499, 025170, 000973,  0.973, _,    -00036, 000084, -00028,    
 8499, 026165, 000976,  0.976, _,    -00036, 000093, -00028,    
 8499, 027163, 000977,  0.977, _,    -00038, 000094, -00029,    
 8499, 028161, 000977,  0.977, _,    -00040, 000086, -00030,    
 8499, 029159, 000977,  0.977, _,    -00037, 000075, -00028,    
 8499, 030157, 000977,  0.977, _,    -00032, 000072, -00029,    
 8499, 031155, 000976,  0.976, _,    -00034, 000076, -00028,    
 8499, 032152, 000977,  0.977, _,    -00039, 000076, -00030,    
 8499, 033150, 000977,  0.977, _,    -00046, 000072, -00034,    
 8499, 034148, 000976,  0.976, _,    -00049, 000068, -00038,    
 8499, 035146, 000976,  0.976, _,    -00046, 000070, -00038,    
 8499, 036144, 000975,  0.975, _,    -00040, 000078, -00035,    
 8499, 037141, 000976,  0.976, _,    -00034, 000082, -00035,    
 8499, 038138, 000976,  0.976, _,    -00030, 000079, -00033,    
 8499, 039136, 000979,  0.979, _,    -00029, 000073, -00030,    
 8499, 040137, 000977,  0.977, _,    -00034, 000070, -00032,    
 8499, 041136, 000976,  0.976, _,    -00038, 000073, -00034,    
 8499, 042133, 000977,  0.977, _,    -00037, 000079, -00033,    
 8499, 043131, 000975,  0.975, _,    -00033, 000084, -00030,    
 8499, 044127, 000975,  0.975, _,    -00033, 000084, -00035,    
 8499, 045123, 000976,  0.976, _,    -00034, 000082, -00035,    
 8499, 046120, 000975,  0.975, _,    -00035, 000079, -00028,    
 8499, 047117, 000975,  0.975, _,    -00038, 000079, -00026,    
 8499, 048113, 000975,  0.975, _,    -00043, 000082, -00025,    
 8499, 049109, 000978,  0.978, _,    -00039, 000083, -00027,    
 8499, 050109, 000976,  0.976, _,    -00035, 000082, -00031,    
 8499, 051107, 000977,  0.977, _,    -00036, 000080, -00032,    
 8499, 052105, 000977,  0.977, _,    -00038, 000075, -00034,    
