 time, start,  dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 9435, 039469, 001120,  1.120, X,    -00032, 000079, -00029,    
 9435, 239473, 001032,  1.032, X,    -00041, 000080, -00034,    
 9435, 240534, 000989,  0.989, _,    -00041, 000073, -00033,    
 9435, 241551, 000986,  0.986, _,    -00039, 000074, -00032,    
 9435, 242561, 000980,  0.980, _,    -00039, 000080, -00033,    
 9435, 243563, 000979,  0.979, _,    -00039, 000082, -00034,    
 9435, 244565, 000980,  0.980, _,    -00038, 000080, -00037,    
 9435, 245566, 000978,  0.978, _,    -00037, 000079, -00038,    
 9435, 246565, 000978,  0.978, _,    -00037, 000082, -00038,    
 9435, 247564, 000977,  0.977, _,    -00036, 000081, -00032,    
 9435, 248564, 000978,  0.978, _,    -00038, 000079, -00030,    
 9435, 249563, 000980,  0.980, _,    -00036, 000078, -00029,    
 9435, 250567, 000979,  0.979, _,    -00032, 000074, -00031,    
 9435, 251568, 000978,  0.978, _,    -00034, 000075, -00033,    
 9435, 252568, 000977,  0.977, _,    -00039, 000080, -00034,    
 9435, 253567, 000978,  0.978, _,    -00038, 000080, -00034,    
 9435, 254566, 000978,  0.978, _,    -00033, 000076, -00033,    
 9435, 255566, 000978,  0.978, _,    -00035, 000075, -00032,    
 9435, 256566, 000978,  0.978, _,    -00037, 000077, -00034,    
 9435, 257565, 000978,  0.978, _,    -00035, 000079, -00035,    
 9435, 258565, 000977,  0.977, _,    -00036, 000083, -00035,    
 9435, 259562, 000981,  0.981, _,    -00039, 000084, -00031,    
 9435, 260564, 000980,  0.980, _,    -00041, 000082, -00029,    
 9435, 261565, 000978,  0.978, _,    -00036, 000080, -00033,    
 9435, 262565, 000976,  0.976, _,    -00030, 000080, -00035,    
 9435, 263563, 000977,  0.977, _,    -00031, 000080, -00032,    
 9435, 264562, 000978,  0.978, _,    -00036, 000078, -00032,    
 9435, 265561, 000977,  0.977, _,    -00034, 000077, -00029,    
 9435, 266560, 000978,  0.978, _,    -00031, 000074, -00029,    
 9435, 267560, 000977,  0.977, _,    -00031, 000073, -00031,    
 9435, 268559, 000978,  0.978, _,    -00038, 000077, -00033,    
 9435, 269557, 000980,  0.980, _,    -00044, 000085, -00032,    
 9435, 270559, 000978,  0.978, _,    -00041, 000087, -00028,    
 9435, 271559, 000978,  0.978, _,    -00035, 000079, -00026,    
 9435, 272558, 000979,  0.979, _,    -00038, 000074, -00033,    
 9435, 273558, 000979,  0.979, _,    -00044, 000071, -00040,    
 9435, 274559, 000978,  0.978, _,    -00044, 000070, -00043,    
 9435, 275558, 000978,  0.978, _,    -00040, 000073, -00039,    
 9435, 276557, 000978,  0.978, _,    -00038, 000079, -00036,    
 9435, 277557, 000978,  0.978, _,    -00037, 000083, -00032,    
 9435, 278556, 000979,  0.979, _,    -00035, 000085, -00029,    
 9435, 279555, 000977,  0.977, _,    -00032, 000081, -00029,    
 9435, 280554, 000978,  0.978, _,    -00030, 000074, -00031,    
 9435, 281553, 000980,  0.980, _,    -00036, 000075, -00038,    
 9435, 282555, 000979,  0.979, _,    -00038, 000074, -00036,    
 9435, 283556, 000977,  0.977, _,    -00040, 000077, -00031,    
 9435, 284555, 000976,  0.976, _,    -00039, 000079, -00030,    
 9435, 285552, 000977,  0.977, _,    -00037, 000078, -00034,    
 9435, 286551, 000981,  0.981, _,    -00038, 000080, -00039,    
 9435, 287554, 000980,  0.980, _,    -00036, 000083, -00040,    
 9435, 288556, 000979,  0.979, _,    -00037, 000084, -00038,    
 9435, 289556, 000980,  0.980, _,    -00037, 000080, -00032,    
 9435, 290558, 000978,  0.978, _,    -00035, 000076, -00031,    
 9435, 291558, 000977,  0.977, _,    -00034, 000073, -00034,    
 9435, 292556, 000978,  0.978, _,    -00034, 000075, -00034,    
 9435, 293556, 000978,  0.978, _,    -00033, 000078, -00031,    
 9435, 294555, 000978,  0.978, _,    -00033, 000082, -00034,    
 9435, 295555, 000979,  0.979, _,    -00033, 000086, -00034,    
 9435, 296556, 000979,  0.979, _,    -00035, 000082, -00033,    
 9435, 297556, 000978,  0.978, _,    -00038, 000071, -00033,    
 9435, 298555, 000979,  0.979, _,    -00037, 000067, -00035,    
 9435, 299554, 000980,  0.980, _,    -00033, 000073, -00037,    
 9435, 300556, 000979,  0.979, _,    -00031, 000076, -00034,    
 9435, 301725, 001016,  1.016, X,    -00034, 000074, -00029,    
 9435, 302768, 000985,  0.985, _,    -00039, 000073, -00023,    
 9435, 303776, 000981,  0.981, _,    -00035, 000075, -00022,    
 9435, 304779, 000981,  0.981, _,    -00030, 000077, -00026,    
 9435, 305783, 000979,  0.979, _,    -00034, 000078, -00029,    
 9435, 306783, 000979,  0.979, _,    -00036, 000082, -00035,    
 9435, 307784, 000975,  0.975, _,    -00037, 000082, -00035,    
 9435, 308781, 000976,  0.976, _,    -00039, 000076, -00029,    
 9435, 309779, 000981,  0.981, _,    -00039, 000072, -00033,    
 9435, 310782, 000981,  0.981, _,    -00035, 000077, -00033,    
 9435, 311784, 000983,  0.983, _,    -00032, 000082, -00032,    
 9435, 312789, 000979,  0.979, _,    -00033, 000084, -00032,    
 9435, 313789, 000978,  0.978, _,    -00037, 000082, -00032,    
 9435, 314789, 000978,  0.978, _,    -00040, 000079, -00035,    
 9435, 315788, 000978,  0.978, _,    -00041, 000075, -00035,    
