 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      
 8824, 630309, 002950,  2.950, X,    0086, 0152, -024,    -00204, -00010, 008395,    -00039, 000075, -00029,    
 8824, 633287, 002953,  2.953, X,    0096, 0154, -029,    -00216, -00027, 008331,    -00042, 000076, -00034,    
 8824, 636268, 002952,  2.952, X,    0096, 0154, -029,    -00223, -00001, 008379,    -00039, 000073, -00026,    
 8824, 639248, 002955,  2.955, X,    0096, 0154, -029,    -00193, 000011, 008371,    -00033, 000075, -00034,    
 8824, 642231, 002954,  2.954, X,    0092, 0157, -023,    -00232, -00006, 008403,    -00041, 000075, -00032,    
 8824, 645214, 002952,  2.952, X,    0092, 0157, -023,    -00180, 000016, 008418,    -00044, 000082, -00031,    
 8824, 648194, 002955,  2.955, X,    0092, 0157, -023,    -00166, -00001, 008370,    -00033, 000084, -00033,    
 8824, 651177, 002952,  2.952, X,    0092, 0157, -023,    -00203, 000024, 008362,    -00031, 000082, -00036,    
 8824, 654157, 002954,  2.954, X,    0094, 0155, -028,    -00223, -00021, 008395,    -00033, 000078, -00034,    
 8824, 657138, 002955,  2.955, X,    0094, 0155, -028,    -00191, -00063, 008400,    -00033, 000081, -00034,    
 8824, 660121, 002952,  2.952, X,    0094, 0155, -028,    -00227, -00031, 008452,    -00039, 000079, -00028,    
 8824, 663101, 002952,  2.952, X,    0094, 0155, -023,    -00211, -00031, 008373,    -00034, 000081, -00030,    
 8824, 666082, 002950,  2.950, X,    0094, 0155, -023,    -00205, 000003, 008381,    -00036, 000077, -00030,    
 8824, 669060, 002968,  2.968, X,    0094, 0155, -023,    -00197, -00033, 008359,    -00038, 000075, -00029,    
 8824, 672056, 002953,  2.953, X,    0094, 0162, -023,    -00197, -00056, 008421,    -00031, 000091, -00027,    
 8824, 675036, 002953,  2.953, X,    0094, 0162, -026,    -00188, -00009, 008392,    -00025, 000075, -00036,    
 8824, 678016, 002955,  2.955, X,    0094, 0162, -026,    -00227, -00030, 008387,    -00032, 000079, -00035,    
