 time, start,  dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 8625, 624283, 001876,  1.876, X,    -00030, 000080, -00029,    
 8625, 626181, 001874,  1.874, X,    -00032, 000081, -00025,    
 8625, 628077, 001877,  1.877, X,    -00027, 000067, -00032,    
 8625, 629975, 001894,  1.894, X,    -00036, 000077, -00030,    
 8625, 631891, 001875,  1.875, X,    -00035, 000071, -00028,    
 8625, 633788, 001874,  1.874, X,    -00035, 000072, -00034,    
 8625, 635683, 001877,  1.877, X,    -00040, 000078, -00032,    
 8625, 637581, 001874,  1.874, X,    -00039, 000080, -00037,    
 8625, 639477, 001882,  1.882, X,    -00033, 000082, -00038,    
 8625, 641382, 001876,  1.876, X,    -00037, 000073, -00036,    
 8625, 643281, 001875,  1.875, X,    -00037, 000072, -00036,    
 8625, 645178, 001874,  1.874, X,    -00031, 000080, -00032,    
 8625, 647074, 001876,  1.876, X,    -00035, 000075, -00030,    
 8625, 648971, 001879,  1.879, X,    -00031, 000085, -00030,    
 8625, 650872, 001876,  1.876, X,    -00024, 000080, -00038,    
 8625, 652770, 001874,  1.874, X,    -00035, 000072, -00041,    
 8625, 654665, 001875,  1.875, X,    -00033, 000080, -00034,    
 8625, 656562, 001875,  1.875, X,    -00026, 000084, -00038,    
 8625, 658458, 001878,  1.878, X,    -00027, 000079, -00034,    
 8625, 660358, 001877,  1.877, X,    -00035, 000074, -00024,    
 8625, 662257, 001875,  1.875, X,    -00037, 000083, -00038,    
 8625, 664154, 001875,  1.875, X,    -00040, 000076, -00036,    
 8625, 666050, 001875,  1.875, X,    -00037, 000069, -00027,    
 8625, 667947, 001875,  1.875, X,    -00037, 000077, -00036,    
 8625, 669843, 001877,  1.877, X,    -00038, 000075, -00035,    
 8625, 671748, 001874,  1.874, X,    -00032, 000083, -00029,    
 8625, 673644, 001873,  1.873, X,    -00041, 000085, -00040,    
 8625, 675539, 001875,  1.875, X,    -00034, 000081, -00036,    
 8625, 677435, 001875,  1.875, X,    -00036, 000081, -00034,    
 8625, 679332, 001877,  1.877, X,    -00040, 000073, -00032,    
 8625, 681231, 001878,  1.878, X,    -00034, 000079, -00033,    
 8625, 683131, 001877,  1.877, X,    -00032, 000081, -00034,    
 8625, 685029, 001876,  1.876, X,    -00039, 000075, -00037,    
 8625, 687040, 001903,  1.903, X,    -00041, 000075, -00027,    
 8625, 688968, 001899,  1.899, X,    -00037, 000078, -00031,    
 8625, 690893, 001885,  1.885, X,    -00032, 000080, -00037,    
 8625, 692802, 001882,  1.882, X,    -00038, 000087, -00036,    
 8625, 694706, 001887,  1.887, X,    -00033, 000083, -00037,    
 8625, 696615, 001877,  1.877, X,    -00036, 000083, -00027,    
 8625, 698513, 001878,  1.878, X,    -00035, 000082, -00027,    
 8625, 700413, 001877,  1.877, X,    -00036, 000078, -00028,    
 8625, 702311, 001875,  1.875, X,    -00034, 000078, -00032,    
 8625, 704207, 001876,  1.876, X,    -00034, 000078, -00036,    
 8625, 706104, 001874,  1.874, X,    -00031, 000084, -00034,    
 8625, 708000, 001876,  1.876, X,    -00035, 000074, -00035,    
 8625, 709896, 001879,  1.879, X,    -00033, 000073, -00035,    
 8625, 711797, 001876,  1.876, X,    -00040, 000069, -00038,    
 8625, 713694, 001874,  1.874, X,    -00034, 000074, -00029,    
 8625, 715590, 001874,  1.874, X,    -00039, 000077, -00030,    
 8625, 717485, 001880,  1.880, X,    -00033, 000072, -00034,    
 8625, 719387, 001878,  1.878, X,    -00033, 000069, -00034,    
 8625, 721287, 001876,  1.876, X,    -00033, 000077, -00035,    
 8625, 723185, 001874,  1.874, X,    -00030, 000078, -00032,    
 8625, 725080, 001875,  1.875, X,    -00034, 000077, -00029,    
 8625, 726977, 001876,  1.876, X,    -00032, 000084, -00035,    
 8625, 728875, 001879,  1.879, X,    -00034, 000080, -00031,    
 8625, 730776, 001877,  1.877, X,    -00028, 000077, -00030,    
 8625, 732674, 001875,  1.875, X,    -00037, 000081, -00029,    
 8625, 734571, 001876,  1.876, X,    -00038, 000076, -00039,    
 8625, 736468, 001875,  1.875, X,    -00038, 000073, -00033,    
 8625, 738364, 001876,  1.876, X,    -00031, 000078, -00034,    
 8625, 740262, 001875,  1.875, X,    -00034, 000085, -00033,    
 8625, 742158, 001875,  1.875, X,    -00039, 000081, -00029,    
 8625, 744055, 001874,  1.874, X,    -00034, 000073, -00030,    
 8625, 745950, 001875,  1.875, X,    -00035, 000076, -00033,    
 8625, 747846, 001876,  1.876, X,    -00037, 000069, -00032,    
 8625, 749748, 001889,  1.889, X,    -00032, 000076, -00031,    
 8625, 751659, 001876,  1.876, X,    -00035, 000080, -00030,    
 8625, 753556, 001877,  1.877, X,    -00033, 000079, -00030,    
 8625, 755454, 001874,  1.874, X,    -00031, 000086, -00028,    
 8625, 757349, 001875,  1.875, X,    -00028, 000075, -00041,    
 8625, 759245, 001877,  1.877, X,    -00031, 000070, -00041,    
 8625, 761144, 001878,  1.878, X,    -00035, 000078, -00027,    
 8625, 763044, 001876,  1.876, X,    -00027, 000071, -00028,    
 8625, 764942, 001874,  1.874, X,    -00035, 000077, -00027,    
 8625, 766838, 001875,  1.875, X,    -00032, 000083, -00034,    
 8625, 768734, 001892,  1.892, X,    -00036, 000075, -00030,    
 8625, 770650, 001882,  1.882, X,    -00037, 000076, -00022,    
 8625, 772555, 001876,  1.876, X,    -00036, 000075, -00031,    
 8625, 774453, 001875,  1.875, X,    -00038, 000084, -00032,    
 8625, 776351, 001877,  1.877, X,    -00040, 000084, -00033,    
 8625, 778250, 001878,  1.878, X,    -00034, 000085, -00035,    
 8625, 780150, 001875,  1.875, X,    -00032, 000084, -00032,    
 8625, 782047, 001878,  1.878, X,    -00037, 000080, -00031,    
 8625, 783947, 001875,  1.875, X,    -00044, 000073, -00036,    
 8625, 785844, 001876,  1.876, X,    -00033, 000079, -00029,    
 8625, 787747, 001878,  1.878, X,    -00035, 000078, -00028,    
 8625, 789646, 001877,  1.877, X,    -00041, 000080, -00030,    
 8625, 791545, 001874,  1.874, X,    -00034, 000081, -00031,    
 8625, 793441, 001875,  1.875, X,    -00032, 000072, -00034,    
 8625, 795338, 001875,  1.875, X,    -00037, 000066, -00029,    
 8625, 797234, 001874,  1.874, X,    -00032, 000079, -00037,    
 8625, 799129, 001877,  1.877, X,    -00035, 000083, -00032,    
 8625, 801028, 001879,  1.879, X,    -00030, 000081, -00032,    
 8625, 802928, 001877,  1.877, X,    -00030, 000077, -00029,    
 8625, 804826, 001877,  1.877, X,    -00032, 000079, -00030,    
 8625, 806797, 001903,  1.903, X,    -00042, 000078, -00029,    
 8625, 808725, 001889,  1.889, X,    -00043, 000074, -00031,    
 8625, 810637, 001877,  1.877, X,    -00034, 000072, -00035,    
 8625, 812536, 001876,  1.876, X,    -00032, 000081, -00038,    
 8625, 814433, 001879,  1.879, X,    -00035, 000077, -00029,    
 8625, 816334, 001875,  1.875, X,    -00037, 000074, -00021,    
 8625, 818231, 001877,  1.877, X,    -00035, 000076, -00035,    
 8625, 820131, 001876,  1.876, X,    -00033, 000080, -00032,    
 8625, 822029, 001875,  1.875, X,    -00037, 000079, -00031,    
 8625, 823926, 001874,  1.874, X,    -00038, 000076, -00034,    
 8625, 825822, 001875,  1.875, X,    -00043, 000070, -00032,    
 8625, 827718, 001883,  1.883, X,    -00035, 000081, -00031,    
 8625, 829623, 001878,  1.878, X,    -00040, 000075, -00031,    
 8625, 831524, 001876,  1.876, X,    -00039, 000080, -00028,    
 8625, 833421, 001875,  1.875, X,    -00031, 000080, -00034,    
 8625, 835318, 001875,  1.875, X,    -00027, 000083, -00039,    
 8625, 837215, 001874,  1.874, X,    -00030, 000074, -00032,    
 8625, 839111, 001876,  1.876, X,    -00031, 000077, -00036,    
 8625, 841009, 001875,  1.875, X,    -00036, 000079, -00038,    
 8625, 842906, 001874,  1.874, X,    -00040, 000079, -00033,    
 8625, 844802, 001881,  1.881, X,    -00036, 000083, -00036,    
 8625, 846704, 001880,  1.880, X,    -00035, 000078, -00034,    
 8625, 848605, 001877,  1.877, X,    -00034, 000077, -00035,    
 8625, 850505, 001875,  1.875, X,    -00039, 000081, -00033,    
 8625, 852401, 001875,  1.875, X,    -00037, 000083, -00036,    
 8625, 854297, 001875,  1.875, X,    -00037, 000081, -00031,    
 8625, 856194, 001874,  1.874, X,    -00033, 000076, -00038,    
 8625, 858089, 001873,  1.873, X,    -00033, 000072, -00036,    
 8625, 859983, 001897,  1.897, X,    -00031, 000081, -00032,    
 8625, 861902, 001877,  1.877, X,    -00031, 000081, -00042,    
 8625, 863801, 001880,  1.880, X,    -00035, 000077, -00034,    
 8625, 865702, 001880,  1.880, X,    -00039, 000078, -00032,    
 8625, 867604, 001875,  1.875, X,    -00039, 000073, -00034,    
 8625, 869500, 001877,  1.877, X,    -00036, 000079, -00030,    
