 time,    start,     dur,        perc,  X,    R1,     R2,     R3,     R4,     R5,     R6,        M1,     M2,     M3,     M4,         rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      rQo1,         rQx1,         rQy1,         rQz1,            aMx1,     aMy1,     aMz1,        aAx1,     aAy1,     aAz1,        aGx1,     aGy1,     aGz1,        nMx1,    nMy1,    nMz1,       nAx1,    nAy1,    nAz1,       nGx1,    nGy1,    nGz1,       bx1,       by1,       bz1,          fx1,     fz1,        Qo1,     Qx1,     Qy1,     Qz1,        dQo1,    dQx1,    dQy1,    dQz1,       Ex1,     Ey1,     Ez1,        dEx1,    dEy1,    dEz1,      
 006.490, 495075026, 007356959,  0.736, _,    0981.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -026, 0085, -005,    -00550, 000129, 008203,    -00023, 000074, -00025,    001060598203, -00018692362, 000144984365, -00081750151,      -26.19,    82.73,   -10.55,     -541.55,   118.55,  8234.98,      -21.19,    76.45,   -24.70,     0.2820,  0.1803,  0.9173,     0.0144, -0.0654,  1.0066,    -0.0204,  0.0056,  0.0066,     0.000056,  0.003569,  0.018800,     0.3212,  0.9470,     0.7840, -0.0262, -0.0106, -0.6202,    -0.0101, -0.0744,  0.0025,  0.0290,     0.0413, -0.0308, -1.3382,    -0.0204,  0.0021, -0.0122,    
 006.500, 505075735, 007379666,  0.738, _,    0981.8, 2020.8, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -026, 0082, -010,    -00566, 000113, 008256,    -00024, 000077, -00024,    001060586009, -00018693740, 000145008951, -00081864349,      -26.34,    82.86,   -10.06,     -546.94,   117.06,  8238.02,      -22.11,    76.34,   -24.52,     0.2828,  0.1796,  0.9201,     0.0143, -0.0661,  1.0070,    -0.0203,  0.0059,  0.0065,     0.000095,  0.003606,  0.018781,     0.3206,  0.9472,     0.7841, -0.0270, -0.0106, -0.6200,    -0.0098, -0.0743,  0.0016,  0.0289,     0.0401, -0.0317, -1.3378,    -0.0204,  0.0023, -0.0123,    
 006.510, 515083651, 007473584,  0.747, _,    0981.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -028, 0082, -010,    -00533, 000094, 008180,    -00022, 000074, -00021,    001060573283, -00018695689, 000145045394, -00081964157,      -26.58,    82.47,   -10.34,     -545.00,   112.56,  8228.61,      -21.91,    76.03,   -23.88,     0.2841,  0.1817,  0.9185,     0.0137, -0.0659,  1.0058,    -0.0202,  0.0058,  0.0064,     0.000133,  0.003644,  0.018762,     0.3234,  0.9463,     0.7841, -0.0277, -0.0106, -0.6199,    -0.0097, -0.0741,  0.0002,  0.0292,     0.0389, -0.0326, -1.3375,    -0.0204,  0.0022, -0.0124,    
 006.520, 525087276, 007407542,  0.741, _,    0981.8, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -031, 0081, -009,    -00531, 000101, 008239,    -00026, 000079, -00027,    001060555574, -00018712169, 000145104639, -00082084586,      -27.59,    82.33,    -9.81,     -541.27,   109.02,  8226.59,      -22.89,    76.41,   -24.39,     0.2899,  0.1825,  0.9215,     0.0133, -0.0654,  1.0056,    -0.0203,  0.0061,  0.0065,     0.000171,  0.003683,  0.018742,     0.3268,  0.9451,     0.7842, -0.0285, -0.0106, -0.6197,    -0.0098, -0.0737, -0.0000,  0.0298,     0.0377, -0.0336, -1.3371,    -0.0205,  0.0024, -0.0122,    
 006.530, 535084901, 007382084,  0.738, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -027, 0079, -006,    -00523, 000124, 008224,    -00024, 000079, -00022,    001060539740, -00018725151, 000145157551, -00082192579,      -27.47,    81.44,    -9.17,     -537.94,   112.52,  8229.52,      -23.14,    77.25,   -24.23,     0.2892,  0.1875,  0.9252,     0.0137, -0.0650,  1.0060,    -0.0206,  0.0062,  0.0065,     0.000209,  0.003721,  0.018723,     0.3283,  0.9446,     0.7843, -0.0292, -0.0106, -0.6196,    -0.0099, -0.0735,  0.0003,  0.0303,     0.0365, -0.0345, -1.3367,    -0.0208,  0.0024, -0.0123,    
 006.540, 545073360, 007370333,  0.737, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -029, 0091, -011,    -00524, 000118, 008193,    -00023, 000078, -00024,    001060525836, -00018721730, 000145197978, -00082301285,      -27.69,    83.39,    -9.28,     -534.23,   113.92,  8219.20,      -23.14,    77.28,   -23.89,     0.2904,  0.1766,  0.9245,     0.0139, -0.0645,  1.0047,    -0.0206,  0.0062,  0.0064,     0.000248,  0.003757,  0.018703,     0.3227,  0.9465,     0.7844, -0.0300, -0.0106, -0.6194,    -0.0104, -0.0737,  0.0028,  0.0303,     0.0353, -0.0354, -1.3363,    -0.0208,  0.0024, -0.0123,    
 006.550, 555071818, 007341625,  0.734, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -029, 0084, -011,    -00508, 000148, 008239,    -00023, 000077, -00024,    001060510453, -00018735794, 000145243119, -00082416570,      -28.11,    83.88,    -9.95,     -529.16,   121.00,  8224.28,      -23.11,    77.36,   -24.17,     0.2927,  0.1739,  0.9207,     0.0147, -0.0639,  1.0053,    -0.0206,  0.0062,  0.0064,     0.000286,  0.003796,  0.018684,     0.3241,  0.9460,     0.7845, -0.0307, -0.0106, -0.6193,    -0.0100, -0.0736, -0.0000,  0.0302,     0.0341, -0.0363, -1.3359,    -0.0209,  0.0024, -0.0122,    
 006.560, 565073110, 007402708,  0.740, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -030, 0087, -010,    -00578, 000159, 008234,    -00020, 000083, -00018,    001060496516, -00018716616, 000145297795, -00082503836,      -28.53,    84.28,    -9.77,     -537.75,   130.11,  8226.12,      -22.50,    78.39,   -22.72,     0.2951,  0.1716,  0.9218,     0.0158, -0.0650,  1.0055,    -0.0209,  0.0060,  0.0061,     0.000324,  0.003834,  0.018664,     0.3240,  0.9461,     0.7846, -0.0314, -0.0106, -0.6191,    -0.0102, -0.0738,  0.0004,  0.0301,     0.0329, -0.0372, -1.3355,    -0.0212,  0.0022, -0.0126,    
 006.570, 575074110, 007403333,  0.740, _,    0981.8, 2020.9, 1502.7, 0980.1, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -028, 0082, -015,    -00520, 000115, 008261,    -00024, 000080, -00018,    001060481350, -00018720001, 000145355276, -00082596713,      -28.59,    84.14,   -10.95,     -537.12,   127.69,  8233.23,      -22.70,    79.05,   -21.62,     0.2955,  0.1724,  0.9150,     0.0156, -0.0649,  1.0064,    -0.0211,  0.0060,  0.0058,     0.000362,  0.003872,  0.018644,     0.3270,  0.9450,     0.7847, -0.0322, -0.0106, -0.6190,    -0.0102, -0.0736, -0.0008,  0.0304,     0.0318, -0.0381, -1.3351,    -0.0214,  0.0022, -0.0129,    
 006.580, 585075443, 007386500,  0.739, _,    0981.9, 2020.9, 1502.7, 0980.0, 1260.9, 1846.7,    1000.0, 1000.0, 1000.0, 1000.0,    -026, 0080, -012,    -00560, 000099, 008262,    -00025, 000074, -00018,    001060470304, -00018726552, 000145385409, -00082683975,      -27.98,    82.97,   -11.19,     -538.81,   120.95,  8239.91,      -23.38,    77.86,   -20.73,     0.2920,  0.1789,  0.9137,     0.0147, -0.0651,  1.0072,    -0.0207,  0.0062,  0.0055,     0.000399,  0.003911,  0.018624,     0.3292,  0.9443,     0.7848, -0.0329, -0.0106, -0.6188,    -0.0103, -0.0731, -0.0006,  0.0310,     0.0306, -0.0390, -1.3347,    -0.0211,  0.0023, -0.0131,    
