 time, start,  dur,     perc,  X,    rGx1,   rGy1,   rGz1,      
 0000.615402, 001102,  1.102, X,    -00033, 000078, -00030,    
 0000.815411, 001030,  1.030, X,    -00041, 000078, -00034,    
 0000.816471, 000996,  0.996, _,    -00037, 000077, -00033,    
 0000.817493, 000981,  0.981, _,    -00039, 000084, -00035,    
 0000.818497, 000980,  0.980, _,    -00034, 000085, -00037,    
 0000.819499, 000982,  0.982, _,    -00035, 000078, -00037,    
 0000.820504, 000977,  0.977, _,    -00036, 000077, -00038,    
 0000.821504, 000978,  0.978, _,    -00036, 000077, -00038,    
 0000.822505, 000976,  0.976, _,    -00040, 000077, -00034,    
 0000.823504, 000975,  0.975, _,    -00038, 000077, -00030,    
 0000.824503, 000975,  0.975, _,    -00035, 000078, -00034,    
 0000.825501, 000975,  0.975, _,    -00038, 000076, -00035,    
 0000.826499, 000976,  0.976, _,    -00038, 000075, -00033,    
 0000.827498, 000975,  0.975, _,    -00036, 000078, -00034,    
 0000.828496, 000977,  0.977, _,    -00040, 000082, -00039,    
 0000.829495, 000979,  0.979, _,    -00044, 000082, -00043,    
 0000.830497, 000977,  0.977, _,    -00041, 000081, -00038,    
 0000.831497, 000976,  0.976, _,    -00038, 000084, -00034,    
 0000.832496, 000976,  0.976, _,    -00038, 000080, -00034,    
 0000.833495, 000975,  0.975, _,    -00037, 000072, -00037,    
 0000.834492, 000976,  0.976, _,    -00038, 000069, -00038,    
 0000.835490, 000975,  0.975, _,    -00039, 000072, -00038,    
 0000.836488, 000976,  0.976, _,    -00037, 000076, -00038,    
 0000.837487, 000975,  0.975, _,    -00036, 000077, -00036,    
 0000.838485, 000975,  0.975, _,    -00034, 000079, -00039,    
 0000.839482, 000978,  0.978, _,    -00032, 000084, -00044,    
 0000.840483, 000976,  0.976, _,    -00033, 000086, -00041,    
 0000.841482, 000976,  0.976, _,    -00033, 000082, -00035,    
 0000.842481, 000975,  0.975, _,    -00038, 000075, -00032,    
 0000.843479, 000975,  0.975, _,    -00039, 000074, -00029,    
 0000.844477, 000976,  0.976, _,    -00035, 000074, -00031,    
 0000.845476, 000975,  0.975, _,    -00031, 000076, -00033,    
 0000.846474, 000976,  0.976, _,    -00028, 000082, -00038,    
 0000.847473, 000976,  0.976, _,    -00029, 000079, -00038,    
 0000.848471, 000977,  0.977, _,    -00032, 000071, -00031,    
 0000.849470, 000980,  0.980, _,    -00033, 000068, -00027,    
 0000.850473, 000977,  0.977, _,    -00036, 000071, -00032,    
 0000.851473, 000976,  0.976, _,    -00040, 000073, -00037,    
 0000.852472, 000977,  0.977, _,    -00040, 000080, -00039,    
 0000.853471, 000980,  0.980, _,    -00036, 000086, -00041,    
 0000.854474, 000975,  0.975, _,    -00036, 000086, -00039,    
 0000.855472, 000977,  0.977, _,    -00041, 000087, -00037,    
 0000.856472, 000976,  0.976, _,    -00042, 000089, -00036,    
 0000.857471, 000978,  0.978, _,    -00041, 000086, -00033,    
 0000.858471, 000978,  0.978, _,    -00040, 000084, -00028,    
 0000.859471, 000979,  0.979, _,    -00043, 000084, -00029,    
 0000.860474, 000977,  0.977, _,    -00044, 000084, -00035,    
 0000.861474, 000975,  0.975, _,    -00040, 000082, -00036,    
 0000.862472, 000977,  0.977, _,    -00035, 000081, -00032,    
 0000.863472, 000977,  0.977, _,    -00033, 000078, -00029,    
 0000.864472, 000977,  0.977, _,    -00034, 000075, -00032,    
 0000.865472, 000978,  0.978, _,    -00034, 000072, -00035,    
 0000.866472, 000977,  0.977, _,    -00034, 000074, -00038,    
 0000.867472, 000977,  0.977, _,    -00038, 000077, -00038,    
 0000.868472, 000977,  0.977, _,    -00042, 000081, -00040,    
 0000.869471, 000979,  0.979, _,    -00037, 000081, -00042,    
 0000.870473, 000976,  0.976, _,    -00036, 000076, -00041,    
 0000.871472, 000977,  0.977, _,    -00044, 000078, -00039,    
 0000.872472, 000977,  0.977, _,    -00046, 000078, -00039,    
 0000.873472, 000977,  0.977, _,    -00043, 000077, -00038,    
 0000.874472, 000977,  0.977, _,    -00041, 000079, -00036,    
 0000.875472, 000977,  0.977, _,    -00037, 000079, -00039,    
 0000.876472, 000977,  0.977, _,    -00032, 000075, -00044,    
 0000.877472, 000977,  0.977, _,    -00035, 000074, -00040,    
 0000.878636, 001013,  1.013, X,    -00039, 000075, -00032,    
 0000.879675, 000985,  0.985, _,    -00040, 000074, -00036,    
 0000.880685, 000980,  0.980, _,    -00040, 000075, -00045,    
 0000.881688, 000978,  0.978, _,    -00040, 000077, -00046,    
 0000.882689, 000976,  0.976, _,    -00045, 000077, -00040,    
 0000.883688, 000975,  0.975, _,    -00043, 000078, -00034,    
 0000.884686, 000976,  0.976, _,    -00038, 000078, -00030,    
 0000.885684, 000976,  0.976, _,    -00038, 000074, -00030,    
 0000.886683, 000975,  0.975, _,    -00040, 000075, -00032,    
 0000.887681, 000975,  0.975, _,    -00035, 000081, -00031,    
 0000.888679, 000976,  0.976, _,    -00028, 000083, -00028,    
 0000.889676, 000978,  0.978, _,    -00027, 000081, -00026,    
 0000.890677, 000978,  0.978, _,    -00034, 000080, -00031,    
 0000.891678, 000976,  0.976, _,    -00038, 000076, -00036,    
