 time, start,  dur,     perc,  X,    rMx1, rMy1, rMz1,    rAx1,   rAy1,   rAz1,      rGx1,   rGy1,   rGz1,      
 9275, 977690, 001110,  1.110, X,    -00039, 000074, -00032,    
 9276, 177694, 001046,  1.046, X,    -00037, 000075, -00033,    
 9276, 178772, 000986,  0.986, _,    -00034, 000078, -00033,    
 9276, 179783, 000990,  0.990, _,    -00033, 000084, -00034,    
 9276, 180795, 000982,  0.982, _,    -00035, 000083, -00035,    
 9276, 181799, 000978,  0.978, _,    -00037, 000080, -00032,    
 9276, 182799, 000976,  0.976, _,    -00035, 000083, -00027,    
 9276, 183796, 000977,  0.977, _,    -00035, 000082, -00028,    
 9276, 184794, 000978,  0.978, _,    -00038, 000079, -00032,    
 9276, 185793, 000978,  0.978, _,    -00040, 000078, -00040,    
 9276, 186792, 000977,  0.977, _,    -00040, 000080, -00040,    
 9276, 187790, 000979,  0.979, _,    -00036, 000084, -00034,    
 9276, 188791, 000976,  0.976, _,    -00031, 000084, -00031,    
 9276, 189787, 000980,  0.980, _,    -00032, 000078, -00034,    
 9276, 190789, 000982,  0.982, _,    -00039, 000074, -00031,    
 9276, 191793, 000979,  0.979, _,    -00041, 000075, -00029,    
 9276, 192794, 000978,  0.978, _,    -00036, 000077, -00027,    
 9276, 193794, 000977,  0.977, _,    -00033, 000074, -00029,    
 9276, 194793, 000978,  0.978, _,    -00031, 000076, -00034,    
 9276, 195793, 000976,  0.976, _,    -00031, 000080, -00038,    
 9276, 196791, 000976,  0.976, _,    -00032, 000080, -00039,    
 9276, 197788, 000979,  0.979, _,    -00033, 000079, -00036,    
 9276, 198789, 000976,  0.976, _,    -00032, 000076, -00032,    
 9276, 199785, 000979,  0.979, _,    -00036, 000076, -00031,    
 9276, 200786, 000979,  0.979, _,    -00042, 000077, -00029,    
 9276, 201787, 000977,  0.977, _,    -00049, 000078, -00027,    
 9276, 202785, 000980,  0.980, _,    -00045, 000078, -00025,    
 9276, 203787, 000977,  0.977, _,    -00038, 000075, -00032,    
 9276, 204786, 000978,  0.978, _,    -00041, 000074, -00039,    
 9276, 205786, 000976,  0.976, _,    -00040, 000081, -00039,    
 9276, 206784, 000975,  0.975, _,    -00035, 000081, -00035,    
 9276, 207781, 000975,  0.975, _,    -00034, 000078, -00032,    
 9276, 208778, 000979,  0.979, _,    -00038, 000076, -00034,    
 9276, 209777, 000979,  0.979, _,    -00040, 000080, -00033,    
