 time,    start,     dur,        perc,  X,    
 001.320, 980844545, 000001417,  0.000, _,    
 001.330, 990845129, 000001458,  0.000, _,    
 001.340, 000844504, 000001000,  0.000, _,    
 001.350, 010845337, 000001208,  0.000, _,    
 001.360, 020844712, 000001208,  0.000, _,    
 001.370, 030844087, 000001000,  0.000, _,    
 001.380, 040843420, 000000959,  0.000, _,    
 001.390, 050844795, 000000959,  0.000, _,    
 001.400, 060843879, 000001208,  0.000, _,    
 001.410, 070845712, 000000958,  0.000, _,    
 001.420, 080846087, 000001208,  0.000, _,    
 001.430, 090844420, 000001167,  0.000, _,    
 001.440, 100844337, 000001167,  0.000, _,    
 001.450, 110844420, 000001417,  0.000, _,    
 001.460, 120844087, 000001667,  0.000, _,    
 001.470, 130845212, 000001208,  0.000, _,    
 001.480, 140844420, 000001167,  0.000, _,    
 001.490, 150844337, 000001375,  0.000, _,    
 001.500, 160844295, 000001417,  0.000, _,    
 001.510, 170844212, 000001417,  0.000, _,    
 001.520, 180844379, 000001208,  0.000, _,    
 001.530, 190844379, 000001208,  0.000, _,    
 001.540, 200844337, 000001042,  0.000, _,    
 001.550, 210844170, 000001167,  0.000, _,    
 001.560, 220844045, 000001000,  0.000, _,    
 001.570, 230844629, 000001208,  0.000, _,    
 001.580, 240844545, 000001209,  0.000, _,    
 001.590, 250844712, 000001208,  0.000, _,    
 001.600, 260844504, 000000958,  0.000, _,    
 001.610, 270844795, 000001542,  0.000, _,    
 001.620, 280844295, 000001500,  0.000, _,    
 001.630, 290845045, 000001459,  0.000, _,    
 001.640, 300845879, 000001166,  0.000, _,    
 001.650, 310845212, 000001167,  0.000, _,    
 001.660, 320843962, 000001167,  0.000, _,    
 001.670, 330845129, 000001166,  0.000, _,    
 001.680, 340844045, 000001000,  0.000, _,    
 001.690, 350844295, 000000959,  0.000, _,    
 001.700, 360844629, 000001208,  0.000, _,    
 001.710, 370845045, 000001167,  0.000, _,    
 001.720, 380844462, 000001167,  0.000, _,    
 001.730, 390844212, 000001167,  0.000, _,    
 001.740, 400848045, 000001667,  0.000, _,    
 001.750, 410846462, 000001750,  0.000, _,    
 001.760, 420845087, 000000958,  0.000, _,    
 001.770, 430844545, 000001459,  0.000, _,    
 001.780, 440844337, 000001208,  0.000, _,    
 001.790, 450844295, 000001209,  0.000, _,    
 001.800, 460845879, 000001125,  0.000, _,    
