 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0000.799042, 000048,    00.9684, -0.0150, 00.0014, 00.2491,    -0.0292, 00.0110, 00.5042,    00.0131, -0.0055, 00.0229,    
 0000.808990, 000046,    00.9684, -0.0149, 00.0007, 00.2489,    -0.0283, 00.0103, 00.5034,    00.0138, -0.0062, 00.0219,    
 0000.818985, 000044,    00.9684, -0.0145, 00.0013, 00.2488,    -0.0285, 00.0089, 00.5031,    00.0146, -0.0081, 00.0208,    
 0000.828979, 000041,    00.9685, -0.0148, 00.0008, 00.2486,    -0.0274, 00.0098, 00.5028,    00.0131, -0.0082, 00.0215,    
 0000.838989, 000043,    00.9685, -0.0154, 00.0009, 00.2484,    -0.0284, 00.0089, 00.5024,    00.0119, -0.0079, 00.0221,    
 0000.848984, 000044,    00.9686, -0.0154, 00.0013, 00.2480,    -0.0294, 00.0095, 00.5020,    00.0128, -0.0067, 00.0209,    
 0000.858978, 000042,    00.9685, -0.0159, 00.0015, 00.2484,    -0.0293, 00.0102, 00.5011,    00.0135, -0.0077, 00.0207,    
 0000.868988, 000042,    00.9685, -0.0163, 00.0009, 00.2486,    -0.0301, 00.0109, 00.5020,    00.0120, -0.0075, 00.0210,    
 0000.878983, 000041,    00.9685, -0.0165, 00.0003, 00.2485,    -0.0312, 00.0100, 00.5024,    00.0120, -0.0056, 00.0217,    
 0000.889008, 000054,    00.9685, -0.0165, 00.0010, 00.2484,    -0.0318, 00.0087, 00.5021,    00.0137, -0.0060, 00.0200,    
 0000.898987, 000047,    00.9685, -0.0170, 00.0005, 00.2486,    -0.0315, 00.0101, 00.5021,    00.0135, -0.0063, 00.0215,    
 0000.908981, 000042,    00.9685, -0.0164, 00.0008, 00.2483,    -0.0327, 00.0093, 00.5023,    00.0132, -0.0073, 00.0185,    
 0000.918991, 000044,    00.9685, -0.0168, 00.0002, 00.2485,    -0.0314, 00.0098, 00.5018,    00.0116, -0.0089, 00.0222,    
 0000.928986, 000040,    00.9685, -0.0169, -0.0004, 00.2483,    -0.0325, 00.0088, 00.5022,    00.0139, -0.0073, 00.0214,    
 0000.938980, 000042,    00.9685, -0.0167, 00.0003, 00.2483,    -0.0330, 00.0076, 00.5018,    00.0139, -0.0073, 00.0217,    
 0000.948990, 000042,    00.9686, -0.0169, -0.0003, 00.2481,    -0.0322, 00.0089, 00.5018,    00.0144, -0.0069, 00.0207,    
 0000.958984, 000049,    00.9685, -0.0170, 00.0004, 00.2484,    -0.0328, 00.0077, 00.5013,    00.0146, -0.0060, 00.0222,    
 0000.968979, 000039,    00.9685, -0.0175, -0.0002, 00.2486,    -0.0328, 00.0091, 00.5019,    00.0132, -0.0078, 00.0220,    
 0000.978989, 000044,    00.9685, -0.0173, 00.0005, 00.2484,    -0.0339, 00.0084, 00.5024,    00.0123, -0.0076, 00.0209,    
 0000.988998, 000048,    00.9686, -0.0172, -0.0002, 00.2481,    -0.0333, 00.0095, 00.5020,    00.0123, -0.0083, 00.0211,    
 0000.998993, 000046,    00.9686, -0.0172, 00.0006, 00.2481,    -0.0334, 00.0082, 00.5013,    00.0139, -0.0081, 00.0184,    
 0001.008987, 000045,    00.9686, -0.0166, 00.0009, 00.2479,    -0.0330, 00.0096, 00.5014,    00.0119, -0.0067, 00.0203,    
 0001.018982, 000044,    00.9686, -0.0172, 00.0006, 00.2479,    -0.0318, 00.0101, 00.5009,    00.0153, -0.0051, 00.0220,    
 0001.028992, 000041,    00.9688, -0.0167, 00.0007, 00.2475,    -0.0331, 00.0097, 00.5008,    00.0120, -0.0058, 00.0230,    
 0001.038986, 000039,    00.9689, -0.0163, 00.0003, 00.2470,    -0.0320, 00.0095, 00.5000,    00.0125, -0.0075, 00.0210,    
 0001.048981, 000043,    00.9688, -0.0169, -0.0001, 00.2472,    -0.0315, 00.0087, 00.4992,    00.0122, -0.0083, 00.0218,    
 0001.058990, 000043,    00.9688, -0.0168, 00.0006, 00.2474,    -0.0328, 00.0082, 00.4996,    00.0108, -0.0080, 00.0222,    
 0001.068985, 000044,    00.9687, -0.0171, -0.0001, 00.2475,    -0.0323, 00.0095, 00.4998,    00.0117, -0.0062, 00.0205,    
 0001.078979, 000045,    00.9688, -0.0175, -0.0006, 00.2472,    -0.0331, 00.0083, 00.5001,    00.0148, -0.0073, 00.0208,    
 0001.088989, 000044,    00.9688, -0.0171, 00.0001, 00.2472,    -0.0342, 00.0076, 00.4996,    00.0143, -0.0050, 00.0217,    
 0001.098984, 000045,    00.9688, -0.0175, -0.0005, 00.2474,    -0.0331, 00.0086, 00.4995,    00.0143, -0.0061, 00.0235,    
 0001.108994, 000044,    00.9687, -0.0178, -0.0011, 00.2475,    -0.0341, 00.0076, 00.5000,    00.0113, -0.0057, 00.0217,    
 0001.118988, 000043,    00.9687, -0.0177, -0.0004, 00.2476,    -0.0351, 00.0066, 00.5002,    00.0131, -0.0048, 00.0194,    
 0001.128983, 000044,    00.9687, -0.0177, 00.0003, 00.2478,    -0.0345, 00.0080, 00.5004,    00.0118, -0.0062, 00.0212,    
 0001.138992, 000041,    00.9688, -0.0176, -0.0001, 00.2473,    -0.0342, 00.0094, 00.5006,    00.0109, -0.0078, 00.0201,    
 0001.148987, 000045,    00.9689, -0.0176, 00.0001, 00.2468,    -0.0342, 00.0084, 00.4998,    00.0122, -0.0050, 00.0193,    
 0001.158981, 000042,    00.9689, -0.0175, -0.0007, 00.2467,    -0.0341, 00.0089, 00.4987,    00.0138, -0.0071, 00.0199,    
 0001.168991, 000043,    00.9690, -0.0173, -0.0000, 00.2466,    -0.0343, 00.0074, 00.4986,    00.0140, -0.0063, 00.0221,    
 0001.178986, 000048,    00.9690, -0.0172, -0.0007, 00.2463,    -0.0335, 00.0085, 00.4983,    00.0155, -0.0059, 00.0211,    
 0001.188995, 000045,    00.9691, -0.0170, -0.0000, 00.2463,    -0.0338, 00.0072, 00.4978,    00.0127, -0.0066, 00.0211,    
 0001.198990, 000047,    00.9690, -0.0171, 00.0007, 00.2465,    -0.0330, 00.0084, 00.4976,    00.0132, -0.0074, 00.0206,    
 0001.208984, 000026,    00.9691, -0.0168, 00.0001, 00.2463,    -0.0328, 00.0098, 00.4981,    00.0122, -0.0068, 00.0221,    
 0001.218979, 000026,    00.9690, -0.0166, 00.0008, 00.2464,    -0.0325, 00.0084, 00.4976,    00.0145, -0.0068, 00.0222,    
 0001.228973, 000019,    00.9691, -0.0163, 00.0015, 00.2463,    -0.0318, 00.0098, 00.4979,    00.0127, -0.0070, 00.0206,    
 0001.238983, 000023,    00.9690, -0.0166, 00.0008, 00.2464,    -0.0309, 00.0109, 00.4976,    00.0133, -0.0058, 00.0193,    
 0001.248978, 000020,    00.9689, -0.0171, 00.0008, 00.2469,    -0.0317, 00.0096, 00.4978,    00.0116, -0.0064, 00.0223,    
 0001.258987, 000018,    00.9688, -0.0172, 00.0015, 00.2472,    -0.0327, 00.0101, 00.4988,    00.0138, -0.0067, 00.0211,    
 0001.268982, 000018,    00.9689, -0.0171, 00.0008, 00.2470,    -0.0326, 00.0114, 00.4994,    00.0142, -0.0075, 00.0203,    
 0001.278976, 000018,    00.9690, -0.0169, 00.0009, 00.2465,    -0.0328, 00.0100, 00.4991,    00.0128, -0.0057, 00.0195,    
 0001.288986, 000033,    00.9689, -0.0172, 00.0016, 00.2467,    -0.0324, 00.0101, 00.4980,    00.0115, -0.0074, 00.0191,    
 0001.298981, 000026,    00.9688, -0.0177, 00.0012, 00.2471,    -0.0326, 00.0115, 00.4985,    00.0121, -0.0036, 00.0215,    
 0001.308975, 000019,    00.9688, -0.0178, 00.0019, 00.2471,    -0.0337, 00.0110, 00.4992,    00.0123, -0.0053, 00.0215,    
 0001.318985, 000026,    00.9689, -0.0175, 00.0013, 00.2469,    -0.0336, 00.0125, 00.4993,    00.0137, -0.0079, 00.0222,    
 0001.328979, 000026,    00.9688, -0.0176, 00.0019, 00.2473,    -0.0333, 00.0111, 00.4988,    00.0127, -0.0054, 00.0215,    
 0001.338974, 000019,    00.9689, -0.0173, 00.0014, 00.2470,    -0.0332, 00.0124, 00.4996,    00.0131, -0.0048, 00.0198,    
 0001.348984, 000019,    00.9689, -0.0172, 00.0006, 00.2469,    -0.0328, 00.0112, 00.4990,    00.0118, -0.0091, 00.0202,    
 0001.358978, 000024,    00.9690, -0.0169, 00.0001, 00.2466,    -0.0331, 00.0097, 00.4990,    00.0129, -0.0074, 00.0219,    
 0001.368973, 000018,    00.9689, -0.0168, 00.0008, 00.2468,    -0.0327, 00.0085, 00.4983,    00.0139, -0.0066, 00.0226,    
 0001.378983, 000021,    00.9690, -0.0162, 00.0009, 00.2465,    -0.0322, 00.0099, 00.4987,    00.0150, -0.0074, 00.0204,    
