 Mtime,       Mdur,      Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0000.689529, 000857,    0178, 0057, -200,    0029.67, 0009.50, -033.33,    00.0318, -0.5894, 00.7879,    
 0000.699532, 000854,    0184, 0054, -198,    0055.39, 0016.92, -060.78,    00.1763, -0.5480, 00.6319,    
 0000.709534, 000855,    0175, 0051, -203,    0075.32, 0022.60, -084.48,    00.2883, -0.5162, 00.4973,    
 0000.719528, 000850,    0173, 0055, -200,    0177.44, 0055.49, -200.19,    00.8620, -0.3325, -0.1601,    
 0000.729530, 000855,    0179, 0061, -203,    0180.60, 0054.96, -199.69,    00.8798, -0.3354, -0.1573,    
 0000.739532, 000855,    0178, 0055, -202,    0175.82, 0053.52, -202.49,    00.8529, -0.3435, -0.1732,    
 0000.749535, 000848,    0176, 0057, -202,    0174.89, 0056.03, -200.96,    00.8477, -0.3295, -0.1645,    
 0000.759529, 000847,    0168, 0058, -203,    0176.63, 0059.25, -202.75,    00.8575, -0.3115, -0.1747,    
 0000.769531, 000854,    0183, 0053, -204,    0177.21, 0055.31, -202.47,    00.8607, -0.3334, -0.1731,    
 0000.779533, 000854,    0173, 0057, -202,    0175.55, 0056.56, -202.39,    00.8514, -0.3265, -0.1727,    
 0000.789528, 000853,    0181, 0056, -206,    0172.60, 0056.95, -203.48,    00.8348, -0.3243, -0.1788,    
 0000.799530, 000855,    0180, 0057, -200,    0181.06, 0054.55, -203.38,    00.8824, -0.3377, -0.1783,    
 0000.809532, 000855,    0178, 0050, -204,    0175.73, 0055.72, -202.52,    00.8524, -0.3312, -0.1734,    
 0000.819534, 000855,    0177, 0054, -203,    0179.80, 0054.95, -204.53,    00.8753, -0.3355, -0.1848,    
 0000.829529, 000853,    0180, 0057, -207,    0179.35, 0055.77, -202.05,    00.8728, -0.3309, -0.1707,    
 0000.839531, 000855,    0177, 0051, -201,    0178.00, 0051.60, -203.80,    00.8651, -0.3542, -0.1807,    
 0000.849533, 000854,    0177, 0051, -203,    0177.35, 0053.43, -203.19,    00.8615, -0.3440, -0.1772,    
 0000.859528, 000854,    0181, 0056, -203,    0179.40, 0055.31, -205.08,    00.8730, -0.3335, -0.1880,    
 0000.869530, 000848,    0176, 0057, -207,    0177.39, 0052.69, -202.51,    00.8617, -0.3481, -0.1733,    
 0000.879532, 000853,    0178, 0048, -202,    0177.49, 0051.91, -203.39,    00.8623, -0.3524, -0.1783,    
 0000.889534, 000855,    0184, 0054, -203,    0180.50, 0054.67, -203.32,    00.8792, -0.3370, -0.1780,    
 0000.899529, 000851,    0173, 0053, -197,    0176.84, 0054.88, -204.20,    00.8587, -0.3359, -0.1829,    
