 Atime,       Adur,      Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,         Acx1,    Acy1,    Acz1,   
 0001.629883, 000541,    -00613, -08184, 000327,    -00561.99, -08196.93, 000196.60,    00.9984, 00.0691, 00.0405,    
 0001.630859, 000541,    -00606, -08215, 000330,    -00574.34, -08184.16, 000218.09,    00.9969, 00.0707, 00.0430,    
 0001.631836, 000540,    -00601, -08199, 000349,    -00585.53, -08183.63, 000251.83,    00.9968, 00.0720, 00.0471,    
 0001.632812, 000598,    -00641, -08207, 000300,    -00583.33, -08182.45, 000251.13,    00.9966, 00.0717, 00.0470,    
 0001.633789, 000543,    -00681, -08204, 000235,    -00581.97, -08198.46, 000276.24,    00.9986, 00.0716, 00.0500,    
 0001.634766, 000541,    -00673, -08183, 000263,    -00610.00, -08219.48, 000312.08,    01.0012, 00.0750, 00.0543,    
 0001.635742, 000541,    -00649, -08197, 000287,    -00609.13, -08210.02, 000307.49,    01.0000, 00.0749, 00.0538,    
 0001.636963, 000982,    -00627, -08190, 000271,    -00575.84, -08196.50, 000298.57,    00.9984, 00.0708, 00.0527,    
 0001.637939, 000541,    -00630, -08188, 000259,    -00590.85, -08170.08, 000311.74,    00.9951, 00.0727, 00.0543,    
 0001.638916, 000541,    -00665, -08226, 000265,    -00617.74, -08186.77, 000319.85,    00.9972, 00.0759, 00.0553,    
 0001.639893, 000544,    -00656, -08233, 000278,    -00612.74, -08213.10, 000321.49,    01.0004, 00.0753, 00.0555,    
 0001.640869, 000542,    -00611, -08215, 000262,    -00608.61, -08200.02, 000335.91,    00.9988, 00.0748, 00.0572,    
 0001.641846, 000540,    -00628, -08209, 000264,    -00641.80, -08206.75, 000294.30,    00.9996, 00.0789, 00.0522,    
 0001.642822, 000599,    -00646, -08236, 000270,    -00674.70, -08204.87, 000240.50,    00.9994, 00.0829, 00.0457,    
 0001.643799, 000542,    -00646, -08224, 000262,    -00667.57, -08188.01, 000263.89,    00.9973, 00.0820, 00.0485,    
 0001.644775, 000541,    -00644, -08188, 000250,    -00647.42, -08199.50, 000283.31,    00.9987, 00.0796, 00.0509,    
 0001.645752, 000541,    -00623, -08190, 000251,    -00628.90, -08193.57, 000269.55,    00.9980, 00.0773, 00.0492,    
 0001.646729, 000856,    -00622, -08192, 000271,    -00631.22, -08191.90, 000259.73,    00.9978, 00.0776, 00.0480,    
 0001.647949, 000543,    -00639, -08173, 000317,    -00660.09, -08222.70, 000265.78,    01.0015, 00.0811, 00.0488,    
 0001.648926, 000541,    -00644, -08178, 000346,    -00652.39, -08227.57, 000278.01,    01.0021, 00.0802, 00.0502,    
 0001.649902, 000542,    -00617, -08203, 000290,    -00614.78, -08212.32, 000265.12,    01.0003, 00.0756, 00.0487,    
 0001.650879, 000541,    -00596, -08209, 000268,    -00628.36, -08207.33, 000266.82,    00.9997, 00.0772, 00.0489,    
 0001.651855, 000540,    -00592, -08201, 000283,    -00642.41, -08229.36, 000272.06,    01.0024, 00.0790, 00.0495,    
 0001.652832, 000593,    -00582, -08186, 000263,    -00641.22, -08218.66, 000265.32,    01.0011, 00.0788, 00.0487,    
 0001.653809, 000541,    -00589, -08172, 000259,    -00638.56, -08188.22, 000255.35,    00.9973, 00.0785, 00.0475,    
 0001.654785, 000541,    -00587, -08169, 000282,    -00620.32, -08189.48, 000256.69,    00.9975, 00.0763, 00.0477,    
 0001.655762, 000540,    -00569, -08183, 000236,    -00618.49, -08190.99, 000272.70,    00.9977, 00.0760, 00.0496,    
 0001.656738, 000890,    -00565, -08189, 000216,    -00631.39, -08175.37, 000309.32,    00.9958, 00.0776, 00.0540,    
 0001.657959, 000542,    -00588, -08181, 000253,    -00634.64, -08179.58, 000332.01,    00.9963, 00.0780, 00.0567,    
 0001.658936, 000540,    -00589, -08174, 000246,    -00611.60, -08199.98, 000284.38,    00.9988, 00.0752, 00.0510,    
 0001.659912, 000543,    -00558, -08174, 000241,    -00593.32, -08204.39, 000265.48,    00.9993, 00.0730, 00.0487,    
 0001.660889, 000542,    -00530, -08157, 000265,    -00588.80, -08196.90, 000277.78,    00.9984, 00.0724, 00.0502,    
 0001.661865, 000543,    -00510, -08133, 000297,    -00579.05, -08183.34, 000261.75,    00.9968, 00.0712, 00.0483,    
 0001.662842, 000597,    -00520, -08126, 000271,    -00583.63, -08170.73, 000258.65,    00.9952, 00.0718, 00.0479,    
 0001.663818, 000540,    -00524, -08145, 000248,    -00580.82, -08167.77, 000277.31,    00.9949, 00.0714, 00.0502,    
 0001.664795, 000541,    -00486, -08161, 000259,    -00564.20, -08179.12, 000239.21,    00.9962, 00.0694, 00.0456,    
 0001.665771, 000541,    -00468, -08161, 000264,    -00559.03, -08183.69, 000223.29,    00.9968, 00.0688, 00.0437,    
 0001.666748, 000857,    -00500, -08167, 000274,    -00576.74, -08176.80, 000254.64,    00.9960, 00.0709, 00.0474,    
 0001.667969, 000543,    -00508, -08145, 000276,    -00576.21, -08170.43, 000249.31,    00.9952, 00.0709, 00.0468,    
 0001.668945, 000541,    -00496, -08117, 000253,    -00549.21, -08169.38, 000245.29,    00.9951, 00.0676, 00.0463,    
 0001.669922, 000538,    -00501, -08131, 000229,    -00525.29, -08154.68, 000264.65,    00.9933, 00.0647, 00.0486,    
 0001.670898, 000541,    -00494, -08152, 000236,    -00508.27, -08134.94, 000290.34,    00.9909, 00.0626, 00.0517,    
 0001.671875, 000540,    -00499, -08160, 000229,    -00516.30, -08129.69, 000267.81,    00.9902, 00.0636, 00.0490,    
 0001.672852, 000593,    -00509, -08154, 000195,    -00519.43, -08145.75, 000247.52,    00.9922, 00.0640, 00.0466,    
 0001.673828, 000541,    -00525, -08144, 000175,    -00488.37, -08158.85, 000255.12,    00.9938, 00.0602, 00.0475,    
 0001.674805, 000540,    -00517, -08159, 000184,    -00474.16, -08158.85, 000257.83,    00.9938, 00.0584, 00.0478,    
 0001.675781, 000540,    -00475, -08163, 000178,    -00500.43, -08163.85, 000264.46,    00.9944, 00.0616, 00.0486,    
 0001.676758, 000891,    -00477, -08119, 000227,    -00506.54, -08144.93, 000265.37,    00.9921, 00.0624, 00.0487,    
 0001.677734, 000541,    -00492, -08088, 000301,    -00496.41, -08120.84, 000247.20,    00.9891, 00.0611, 00.0465,    
 0001.678955, 000541,    -00486, -08083, 000301,    -00500.30, -08131.58, 000228.57,    00.9904, 00.0616, 00.0443,    
 0001.679932, 000543,    -00461, -08114, 000262,    -00493.79, -08148.46, 000234.96,    00.9925, 00.0608, 00.0451,    
 0001.680908, 000541,    -00465, -08182, 000224,    -00497.33, -08155.69, 000229.01,    00.9934, 00.0613, 00.0444,    
 0001.681885, 000540,    -00509, -08199, 000200,    -00505.76, -08151.61, 000200.55,    00.9929, 00.0623, 00.0409,    
 0001.682861, 000592,    -00519, -08172, 000196,    -00519.15, -08143.81, 000184.05,    00.9919, 00.0639, 00.0389,    
 0001.683838, 000541,    -00514, -08169, 000226,    -00512.48, -08156.61, 000192.26,    00.9935, 00.0631, 00.0399,    
 0001.684814, 000565,    -00513, -08190, 000228,    -00478.04, -08160.54, 000188.04,    00.9940, 00.0589, 00.0394,    
 0001.685791, 000543,    -00499, -08185, 000190,    -00480.09, -08124.93, 000228.27,    00.9896, 00.0592, 00.0443,    
 0001.686768, 000857,    -00492, -08169, 000228,    -00492.63, -08100.36, 000288.97,    00.9866, 00.0607, 00.0516,    
 0001.687744, 000542,    -00519, -08173, 000260,    -00488.22, -08097.68, 000288.40,    00.9863, 00.0601, 00.0515,    
 0001.688965, 000540,    -00551, -08165, 000225,    -00468.95, -08124.44, 000255.17,    00.9896, 00.0578, 00.0475,    
 0001.689941, 000544,    -00538, -08146, 000247,    -00473.58, -08180.64, 000223.83,    00.9964, 00.0584, 00.0437,    
 0001.690918, 000541,    -00536, -08135, 000293,    -00510.90, -08193.69, 000205.50,    00.9980, 00.0629, 00.0415,    
 0001.691895, 000540,    -00531, -08132, 000285,    -00519.50, -08170.33, 000203.78,    00.9952, 00.0640, 00.0413,    
 0001.692871, 000592,    -00511, -08142, 000290,    -00515.23, -08167.32, 000230.08,    00.9948, 00.0634, 00.0445,    
 0001.693848, 000542,    -00510, -08150, 000309,    -00514.31, -08184.20, 000233.27,    00.9969, 00.0633, 00.0449,    
 0001.694824, 000540,    -00531, -08149, 000238,    -00503.15, -08179.41, 000202.19,    00.9963, 00.0620, 00.0411,    
 0001.695801, 000541,    -00539, -08163, 000192,    -00498.11, -08165.97, 000233.16,    00.9946, 00.0614, 00.0449,    
 0001.696777, 000854,    -00517, -08162, 000253,    -00520.63, -08169.17, 000259.80,    00.9950, 00.0641, 00.0481,    
 0001.697754, 000542,    -00502, -08134, 000301,    -00546.52, -08161.92, 000231.90,    00.9941, 00.0673, 00.0447,    
 0001.698730, 000541,    -00483, -08146, 000309,    -00534.61, -08146.02, 000251.46,    00.9922, 00.0658, 00.0470,    
 0001.699951, 000545,    -00445, -08182, 000300,    -00531.21, -08137.70, 000290.14,    00.9912, 00.0654, 00.0517,    
 0001.700928, 000541,    -00413, -08179, 000266,    -00524.79, -08136.05, 000283.11,    00.9910, 00.0646, 00.0509,    
 0001.701904, 000540,    -00428, -08153, 000250,    -00506.48, -08144.58, 000286.56,    00.9920, 00.0624, 00.0513,    
 0001.702881, 000595,    -00438, -08131, 000256,    -00504.32, -08150.88, 000301.55,    00.9928, 00.0621, 00.0531,    
 0001.703857, 000541,    -00433, -08122, 000276,    -00520.15, -08149.49, 000242.80,    00.9926, 00.0640, 00.0460,    
 0001.704834, 000540,    -00454, -08111, 000292,    -00525.41, -08160.22, 000206.03,    00.9939, 00.0647, 00.0416,    
 0001.705811, 000540,    -00480, -08101, 000282,    -00506.48, -08158.24, 000257.56,    00.9937, 00.0624, 00.0478,    
 0001.706787, 000852,    -00496, -08121, 000284,    -00493.97, -08134.54, 000297.46,    00.9908, 00.0608, 00.0526,    
 0001.707764, 000542,    -00491, -08132, 000285,    -00478.32, -08144.34, 000303.77,    00.9920, 00.0589, 00.0533,    
 0001.708740, 000541,    -00480, -08139, 000271,    -00447.18, -08173.76, 000295.75,    00.9956, 00.0551, 00.0524,    
 0001.709961, 000541,    -00493, -08117, 000259,    -00421.83, -08170.19, 000267.14,    00.9952, 00.0521, 00.0489,    
 0001.710938, 000542,    -00488, -08079, 000239,    -00435.43, -08147.07, 000253.46,    00.9923, 00.0537, 00.0473,    
 0001.711914, 000540,    -00486, -08105, 000277,    -00444.63, -08128.20, 000258.84,    00.9900, 00.0548, 00.0479,    
 0001.712891, 000593,    -00505, -08115, 000337,    -00441.71, -08120.56, 000276.78,    00.9891, 00.0545, 00.0501,    
 0001.713867, 000543,    -00507, -08110, 000371,    -00460.22, -08111.33, 000291.76,    00.9880, 00.0567, 00.0519,    
 0001.714844, 000540,    -00533, -08112, 000351,    -00482.97, -08103.14, 000284.71,    00.9870, 00.0595, 00.0510,    
 0001.715820, 000541,    -00545, -08102, 000292,    -00497.31, -08119.52, 000286.50,    00.9890, 00.0613, 00.0513,    
 0001.716797, 000891,    -00520, -08120, 000273,    -00493.66, -08128.56, 000287.05,    00.9901, 00.0608, 00.0513,    
 0001.717773, 000542,    -00512, -08143, 000289,    -00484.99, -08134.58, 000275.61,    00.9908, 00.0598, 00.0500,    
 0001.718750, 000541,    -00512, -08152, 000291,    -00496.19, -08116.88, 000266.06,    00.9887, 00.0611, 00.0488,    
 0001.719727, 000540,    -00507, -08150, 000246,    -00492.30, -08086.35, 000249.26,    00.9849, 00.0606, 00.0468,    
 0001.720947, 000541,    -00494, -08146, 000222,    -00490.69, -08108.85, 000279.90,    00.9877, 00.0604, 00.0505,    
 0001.721924, 000600,    -00489, -08152, 000260,    -00506.24, -08117.90, 000328.73,    00.9888, 00.0623, 00.0563,    
 0001.722900, 000594,    -00518, -08152, 000301,    -00508.11, -08114.47, 000356.08,    00.9884, 00.0626, 00.0596,    
 0001.723877, 000542,    -00536, -08158, 000254,    -00529.99, -08116.96, 000337.67,    00.9887, 00.0652, 00.0574,    
 0001.724854, 000541,    -00519, -08176, 000209,    -00539.62, -08109.92, 000286.75,    00.9878, 00.0664, 00.0513,    
 0001.725830, 000540,    -00516, -08177, 000255,    -00518.65, -08126.00, 000270.54,    00.9898, 00.0639, 00.0493,    
 0001.726807, 000859,    -00527, -08155, 000289,    -00512.25, -08145.43, 000284.03,    00.9921, 00.0631, 00.0510,    
 0001.727783, 000542,    -00559, -08176, 000249,    -00513.16, -08153.42, 000284.98,    00.9931, 00.0632, 00.0511,    
 0001.728760, 000541,    -00581, -08199, 000267,    -00510.39, -08152.67, 000247.71,    00.9930, 00.0629, 00.0466,    
 0001.729736, 000540,    -00563, -08177, 000302,    -00500.76, -08149.86, 000229.09,    00.9927, 00.0617, 00.0444,    
 0001.730957, 000544,    -00566, -08162, 000282,    -00497.94, -08155.02, 000261.30,    00.9933, 00.0613, 00.0482,    
 0001.731934, 000542,    -00548, -08170, 000267,    -00522.71, -08155.32, 000295.05,    00.9933, 00.0644, 00.0523,    
 0001.732910, 000607,    -00541, -08191, 000184,    -00537.83, -08160.94, 000254.31,    00.9940, 00.0662, 00.0474,    
 0001.733887, 000541,    -00569, -08184, 000128,    -00524.50, -08176.16, 000214.92,    00.9959, 00.0646, 00.0427,    
 0001.734863, 000542,    -00588, -08178, 000167,    -00523.28, -08177.01, 000251.72,    00.9960, 00.0644, 00.0471,    
 0001.735840, 000541,    -00600, -08203, 000232,    -00533.81, -08159.48, 000279.22,    00.9938, 00.0657, 00.0504,    
 0001.736816, 000892,    -00596, -08180, 000312,    -00561.28, -08177.11, 000247.05,    00.9960, 00.0691, 00.0465,    
 0001.737793, 000542,    -00585, -08140, 000322,    -00579.79, -08195.25, 000263.29,    00.9982, 00.0713, 00.0485,    
 0001.738770, 000540,    -00604, -08144, 000282,    -00565.50, -08176.19, 000292.37,    00.9959, 00.0696, 00.0520,    
 0001.739746, 000536,    -00623, -08151, 000287,    -00569.09, -08163.39, 000275.85,    00.9943, 00.0700, 00.0500,    
 0001.740967, 000541,    -00603, -08168, 000286,    -00554.99, -08170.05, 000263.75,    00.9951, 00.0683, 00.0485,    
 0001.741943, 000540,    -00601, -08200, 000309,    -00550.15, -08187.86, 000196.55,    00.9973, 00.0677, 00.0405,    
 0001.742920, 000594,    -00610, -08218, 000337,    -00574.29, -08182.71, 000153.36,    00.9967, 00.0706, 00.0353,    
