 Atime,       Adur,      Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,         Acx1,    Acy1,    Acz1,   
 0000.925293, 000729,    008072, 000891, 000010,    000158.27, 000017.47, 000000.20,    -0.0021, -0.0187, 00.0169,    
 0001.125244, 000584,    008050, 000971, -00024,    000313.01, 000036.17, -00000.28,    -0.0044, -0.0376, 00.0168,    
 0001.126221, 000546,    008046, 000948, -00052,    000464.64, 000054.05, -00001.29,    -0.0066, -0.0561, 00.0167,    
 0001.127197, 000541,    008062, 000979, -00037,    000613.61, 000072.18, -00001.99,    -0.0088, -0.0742, 00.0166,    
 0001.128174, 000541,    008056, 001018, -00008,    000759.54, 000090.73, -00002.11,    -0.0111, -0.0920, 00.0166,    
 0001.129395, 000540,    008024, 001011, 000043,    000901.98, 000108.77, -00001.23,    -0.0132, -0.1094, 00.0167,    
 0001.130371, 000543,    008025, 000996, 000077,    001041.65, 000126.17, 000000.31,    -0.0154, -0.1264, 00.0169,    
 0001.131348, 000541,    008060, 000987, -00026,    001179.26, 000143.05, -00000.21,    -0.0174, -0.1432, 00.0168,    
 0001.132324, 000541,    008068, 000972, -00052,    001314.33, 000159.30, -00001.22,    -0.0194, -0.1597, 00.0167,    
 0001.133301, 000853,    008046, 000988, -00001,    008068.18, 000906.48, 000006.98,    -0.1104, -0.9833, 00.0177,    
 0001.134277, 000541,    008021, 001001, 000001,    008049.21, 000973.96, -00021.02,    -0.1186, -0.9810, 00.0143,    
 0001.135254, 000540,    008029, 000976, 000008,    008045.53, 000955.13, -00043.43,    -0.1163, -0.9806, 00.0116,    
 0001.136230, 000543,    008058, 000991, 000008,    008058.90, 000981.27, -00030.11,    -0.1195, -0.9822, 00.0132,    
 0001.137207, 000541,    008059, 001001, -00048,    008053.98, 001013.65, -00006.67,    -0.1235, -0.9816, 00.0160,    
 0001.138184, 000541,    008023, 000971, -00076,    008027.12, 001007.07, 000033.81,    -0.1227, -0.9783, 00.0209,    
 0001.139160, 000540,    008009, 000970, -00046,    008027.58, 000994.04, 000060.13,    -0.1211, -0.9784, 00.0241,    
 0001.140381, 000538,    008036, 000975, -00024,    008056.46, 000986.28, -00026.01,    -0.1201, -0.9819, 00.0137,    
 0001.141357, 000541,    008048, 000972, 000018,    008062.86, 000973.70, -00046.48,    -0.1186, -0.9827, 00.0112,    
 0001.142334, 000541,    008067, 000990, 000039,    008044.89, 000987.14, -00002.96,    -0.1202, -0.9805, 00.0165,    
 0001.143311, 000852,    008083, 000977, 000001,    008025.13, 000997.61, -00001.25,    -0.1215, -0.9781, 00.0167,    
 0001.144287, 000541,    008088, 000963, -00008,    008032.93, 000976.42, 000004.36,    -0.1189, -0.9790, 00.0174,    
 0001.145264, 000540,    008051, 000995, 000013,    008057.07, 000989.09, 000004.53,    -0.1205, -0.9820, 00.0174,    
 0001.146240, 000540,    008007, 001002, -00010,    008056.91, 000997.55, -00041.69,    -0.1215, -0.9819, 00.0118,    
 0001.147217, 000540,    008013, 001005, 000001,    008026.52, 000973.08, -00063.82,    -0.1185, -0.9782, 00.0092,    
 0001.148193, 000540,    008027, 001020, 000030,    008015.04, 000973.18, -00037.37,    -0.1185, -0.9768, 00.0123,    
 0001.149170, 000540,    008040, 000992, 000013,    008037.68, 000977.65, -00018.34,    -0.1191, -0.9796, 00.0146,    
 0001.150391, 000542,    008051, 000965, 000004,    008047.79, 000974.94, 000016.55,    -0.1188, -0.9808, 00.0188,    
 0001.151367, 000569,    008050, 000957, 000007,    008063.42, 000989.36, 000033.59,    -0.1205, -0.9827, 00.0209,    
 0001.152344, 000542,    008062, 000948, 000007,    008076.51, 000977.88, 000001.90,    -0.1191, -0.9843, 00.0171,    
 0001.153320, 000850,    008061, 000947, 000010,    008080.31, 000965.79, -00005.33,    -0.1176, -0.9848, 00.0162,    
 0001.154297, 000540,    008029, 000963, 000001,    008048.95, 000991.99, 000012.03,    -0.1208, -0.9810, 00.0183,    
 0001.155273, 000541,    008043, 000976, 000001,    008012.74, 000997.42, -00007.06,    -0.1215, -0.9766, 00.0160,    
 0001.156250, 000543,    008066, 000999, 000011,    008018.71, 000999.91, 000002.32,    -0.1218, -0.9773, 00.0171,    
 0001.157227, 000540,    008069, 001025, 000031,    008031.18, 001012.71, 000026.67,    -0.1234, -0.9788, 00.0200,    
 0001.158203, 000551,    008062, 001022, 000050,    008042.45, 000989.92, 000013.18,    -0.1206, -0.9802, 00.0184,    
 0001.159180, 000541,    008061, 000998, 000030,    008051.83, 000967.93, 000006.13,    -0.1179, -0.9813, 00.0176,    
 0001.160156, 000539,    008074, 000986, 000007,    008051.45, 000961.72, 000008.61,    -0.1171, -0.9813, 00.0179,    
 0001.161377, 000541,    008064, 001001, -00027,    008061.54, 000955.11, 000007.91,    -0.1163, -0.9825, 00.0178,    
 0001.162354, 000540,    008025, 000994, -00044,    008060.00, 000955.05, 000009.35,    -0.1163, -0.9823, 00.0180,    
 0001.163330, 000853,    008012, 001014, -00036,    008032.81, 000969.33, 000001.08,    -0.1181, -0.9790, 00.0170,    
 0001.164307, 000541,    008044, 001058, 000029,    008044.51, 000981.73, 000001.63,    -0.1196, -0.9804, 00.0170,    
 0001.165283, 000540,    008041, 001039, 000088,    008063.31, 001001.72, 000011.53,    -0.1220, -0.9827, 00.0182,    
 0001.166260, 000541,    008035, 001028, -00006,    008065.22, 001023.57, 000027.59,    -0.1247, -0.9830, 00.0201,    
 0001.167236, 000540,    008044, 001031, -00092,    008059.06, 001021.25, 000040.83,    -0.1244, -0.9822, 00.0217,    
 0001.168213, 000540,    008055, 001003, -00045,    008058.16, 001001.21, 000022.74,    -0.1219, -0.9821, 00.0196,    
 0001.169189, 000541,    008057, 000993, -00008,    008068.80, 000991.20, 000003.27,    -0.1207, -0.9834, 00.0172,    
 0001.170166, 000542,    008058, 000991, -00009,    008060.39, 001003.50, -00024.86,    -0.1222, -0.9824, 00.0138,    
 0001.171387, 000541,    008055, 000995, 000009,    008028.29, 000997.59, -00038.14,    -0.1215, -0.9784, 00.0122,    
 0001.172363, 000540,    008058, 000990, 000026,    008018.20, 001013.85, -00030.32,    -0.1235, -0.9772, 00.0132,    
 0001.173340, 000850,    008076, 000978, 000021,    008045.59, 001049.24, 000024.01,    -0.1278, -0.9806, 00.0197,    
 0001.174316, 000540,    008058, 000969, -00010,    008043.37, 001032.08, 000071.74,    -0.1257, -0.9803, 00.0254,    
 0001.175293, 000541,    008062, 000965, -00001,    008038.81, 001021.75, -00006.80,    -0.1245, -0.9797, 00.0160,    
 0001.176270, 000540,    008096, 000984, 000019,    008047.32, 001023.47, -00076.84,    -0.1247, -0.9808, 00.0076,    
 0001.177246, 000540,    008106, 001026, 000002,    008057.49, 001000.55, -00036.74,    -0.1219, -0.9820, 00.0124,    
 0001.178223, 000540,    008073, 001046, -00014,    008059.44, 000993.23, -00005.94,    -0.1210, -0.9822, 00.0161,    
 0001.179199, 000540,    008063, 001005, -00014,    008060.33, 000991.82, -00006.92,    -0.1208, -0.9824, 00.0160,    
 0001.180176, 000541,    008076, 000959, 000006,    008058.17, 000994.46, 000008.10,    -0.1211, -0.9821, 00.0178,    
 0001.181396, 000541,    008069, 000946, 000009,    008060.85, 000989.41, 000022.06,    -0.1205, -0.9824, 00.0195,    
 0001.182373, 000540,    008082, 000955, -00011,    008076.03, 000978.89, 000017.31,    -0.1192, -0.9843, 00.0189,    
 0001.183350, 000851,    008092, 000974, 000009,    008061.58, 000971.41, -00008.28,    -0.1183, -0.9825, 00.0158,    
 0001.184326, 000541,    008094, 000976, 000012,    008065.49, 000968.22, -00000.50,    -0.1179, -0.9830, 00.0168,    
 0001.185303, 000540,    008065, 000973, -00022,    008093.38, 000983.90, 000015.48,    -0.1198, -0.9864, 00.0187,    
 0001.186279, 000540,    008053, 000971, -00023,    008100.79, 001018.10, 000000.78,    -0.1240, -0.9873, 00.0169,    
 0001.187256, 000540,    008060, 000960, -00035,    008072.92, 001033.37, -00013.04,    -0.1259, -0.9839, 00.0153,    
 0001.188232, 000540,    008063, 000952, -00065,    008064.52, 000998.14, -00014.06,    -0.1216, -0.9829, 00.0151,    
 0001.189209, 000540,    008068, 000933, -00020,    008075.25, 000959.13, 000002.23,    -0.1168, -0.9842, 00.0171,    
 0001.190186, 000542,    008030, 000914, 000052,    008068.62, 000947.58, 000005.67,    -0.1154, -0.9834, 00.0175,    
 0001.191162, 000541,    008025, 000907, 000086,    008078.43, 000954.17, -00009.17,    -0.1162, -0.9846, 00.0157,    
 0001.192383, 000544,    008025, 000918, 000046,    008085.59, 000969.04, 000008.32,    -0.1180, -0.9854, 00.0178,    
 0001.193359, 000854,    008026, 000917, -00006,    008086.06, 000969.66, 000010.50,    -0.1181, -0.9855, 00.0181,    
 0001.194336, 000540,    008060, 000886, 000009,    008061.76, 000965.56, -00017.42,    -0.1176, -0.9825, 00.0147,    
