 Gtime,       Gdur,    Gperc, G,        Grx1,   Gry1,   Grz1,           Gax1,   Gay1,   Gaz1        
 0001.525925, 000988,  0.099, _,    -00036, 000077, -00030,    -00034.67, 000075.02, -00034.56,    
 0001.535919, 000988,  0.099, _,    -00042, 000072, -00031,    -00036.27, 000074.67, -00033.52,    
 0001.545929, 000986,  0.099, _,    -00036, 000080, -00042,    -00036.39, 000075.42, -00035.23,    
 0001.555923, 000986,  0.099, _,    -00042, 000067, -00035,    -00037.38, 000074.23, -00035.45,    
 0001.565933, 000986,  0.099, _,    -00028, 000072, -00044,    -00035.84, 000073.02, -00036.94,    
 0001.575928, 000987,  0.099, _,    -00036, 000075, -00037,    -00035.28, 000073.92, -00037.44,    
 0001.585922, 000989,  0.099, _,    -00031, 000070, -00029,    -00034.94, 000072.86, -00035.39,    
 0001.595917, 000988,  0.099, _,    -00026, 000075, -00042,    -00032.47, 000073.38, -00036.86,    
 0001.605927, 000988,  0.099, _,    -00030, 000078, -00033,    -00032.05, 000074.34, -00036.30,    
 0001.615921, 000988,  0.099, _,    -00046, 000081, -00032,    -00034.61, 000075.88, -00035.12,    
 0001.625931, 000995,  0.100, _,    -00034, 000077, -00039,    -00035.27, 000076.20, -00036.05,    
 0001.635925, 000990,  0.099, _,    -00028, 000078, -00037,    -00033.20, 000076.50, -00036.27,    
 0001.645920, 000990,  0.099, _,    -00036, 000071, -00038,    -00033.92, 000075.48, -00036.67,    
 0001.655930, 000988,  0.099, _,    -00037, 000077, -00040,    -00034.41, 000075.55, -00037.48,    
 0001.665924, 000988,  0.099, _,    -00039, 000072, -00036,    -00035.50, 000075.11, -00037.17,    
 0001.675919, 000989,  0.099, _,    -00038, 000074, -00036,    -00035.95, 000074.55, -00036.84,    
 0001.685928, 000988,  0.099, _,    -00037, 000081, -00036,    -00036.28, 000076.20, -00036.69,    
 0001.695923, 000988,  0.099, _,    -00035, 000073, -00029,    -00036.12, 000075.59, -00035.00,    
 0001.705917, 000988,  0.099, _,    -00036, 000068, -00037,    -00036.11, 000073.97, -00035.25,    
 0001.715927, 000988,  0.099, _,    -00037, 000078, -00029,    -00036.39, 000074.58, -00034.20,    
