 Mtime,       Mdur,    Mperc, M,        Mrx1, Mry1, Mrz1,         Max1, May1, Maz1,     
 0004.161118, 001167,  0.023, _,    0111, 0155, -040,    0106.70, 0153.69, -036.44,    
 0004.211105, 001172,  0.023, _,    0105, 0154, -034,    0106.73, 0154.05, -036.44,    
 0004.261108, 001167,  0.023, _,    0100, 0149, -036,    0105.00, 0152.67, -035.94,    
 0004.311111, 001169,  0.023, _,    0103, 0154, -034,    0104.61, 0152.88, -035.91,    
 0004.361115, 001168,  0.023, _,    0106, 0160, -035,    0104.77, 0154.30, -035.36,    
 0004.411118, 001167,  0.023, _,    0100, 0156, -036,    0103.92, 0154.86, -035.77,    
 0004.461105, 001167,  0.023, _,    0111, 0153, -033,    0105.03, 0154.31, -034.98,    
 0004.511108, 001168,  0.023, _,    0106, 0153, -038,    0105.72, 0154.08, -035.61,    
 0004.561111, 001167,  0.023, _,    0105, 0161, -029,    0105.20, 0155.41, -034.31,    
 0004.611115, 001180,  0.024, _,    0104, 0160, -033,    0105.25, 0156.73, -033.70,    
 0004.661118, 001168,  0.023, _,    0108, 0150, -040,    0105.48, 0155.31, -035.11,    
 0004.711105, 001168,  0.023, _,    0107, 0159, -039,    0106.12, 0155.91, -036.02,    
 0004.761108, 001168,  0.023, _,    0106, 0153, -030,    0105.88, 0155.69, -034.86,    
 0004.811111, 001168,  0.023, _,    0101, 0155, -030,    0105.03, 0155.22, -033.55,    
 0004.861115, 001168,  0.023, _,    0107, 0156, -034,    0105.19, 0155.67, -033.70,    
 0004.911118, 001168,  0.023, _,    0107, 0156, -041,    0105.94, 0155.56, -035.14,    
 0004.961105, 001165,  0.023, _,    0103, 0154, -032,    0105.12, 0155.39, -034.81,    
 0005.011108, 001174,  0.023, _,    0107, 0159, -036,    0105.58, 0155.94, -034.62,    
 0005.061111, 001172,  0.023, _,    0105, 0156, -041,    0105.47, 0156.25, -036.33,    
 0005.111115, 001169,  0.023, _,    0108, 0160, -040,    0105.92, 0156.80, -037.06,    
 0005.161118, 001168,  0.023, _,    0100, 0149, -032,    0104.88, 0155.53, -036.25,    
 0005.211105, 001167,  0.023, _,    0108, 0155, -038,    0105.14, 0154.78, -036.28,    
 0005.261108, 001166,  0.023, _,    0105, 0152, -032,    0105.50, 0154.72, -035.73,    
 0005.311111, 001166,  0.023, _,    0107, 0152, -039,    0105.47, 0153.67, -035.97,    
 0005.361115, 001167,  0.023, _,    0108, 0155, -040,    0106.30, 0154.19, -037.31,    
 0005.411118, 001167,  0.023, _,    0107, 0154, -044,    0106.31, 0153.98, -038.50,    
 0005.461105, 001171,  0.023, _,    0104, 0155, -038,    0106.03, 0154.30, -038.92,    
 0005.511108, 001168,  0.023, _,    0105, 0154, -034,    0105.58, 0154.16, -037.55,    
 0005.561111, 001184,  0.024, _,    0105, 0159, -036,    0105.62, 0155.16, -037.38,    
 0005.611115, 001169,  0.023, _,    0100, 0152, -036,    0104.33, 0154.62, -036.97,    
 0005.661118, 001169,  0.023, _,    0115, 0153, -038,    0106.39, 0154.03, -037.20,    
 0005.711105, 001165,  0.023, _,    0104, 0155, -035,    0106.39, 0154.31, -036.70,    
 0005.761108, 001168,  0.023, _,    0100, 0156, -039,    0104.66, 0154.62, -037.16,    
 0005.811111, 001167,  0.023, _,    0106, 0155, -035,    0105.06, 0154.86, -036.89,    
 0005.861115, 001175,  0.024, _,    0107, 0152, -034,    0105.36, 0154.19, -036.12,    
 0005.911118, 001167,  0.023, _,    0106, 0153, -040,    0105.62, 0153.95, -036.92,    
 0005.961105, 001168,  0.023, _,    0109, 0161, -036,    0106.17, 0155.36, -036.78,    
 0006.011108, 001167,  0.023, _,    0105, 0159, -036,    0106.12, 0156.41, -036.45,    
 0006.061111, 001169,  0.023, _,    0108, 0153, -038,    0106.34, 0155.61, -036.80,    
 0006.111115, 001168,  0.023, _,    0105, 0152, -039,    0106.36, 0154.84, -037.30,    
 0006.161118, 001166,  0.023, _,    0107, 0152, -034,    0106.20, 0154.16, -036.72,    
 0006.211105, 001168,  0.023, _,    0104, 0157, -042,    0106.05, 0154.72, -037.61,    
 0006.261108, 001174,  0.023, _,    0108, 0155, -042,    0106.12, 0154.92, -038.84,    
 0006.311111, 001171,  0.023, _,    0105, 0156, -039,    0106.19, 0155.02, -038.81,    
 0006.361115, 001166,  0.023, _,    0101, 0153, -035,    0104.94, 0154.75, -038.16,    
 0006.411118, 001167,  0.023, _,    0105, 0152, -034,    0104.95, 0154.03, -037.09,    
 0006.461105, 001170,  0.023, _,    0101, 0148, -033,    0104.11, 0152.84, -036.34,    
 0006.511108, 001167,  0.023, _,    0109, 0156, -036,    0104.94, 0153.19, -036.06,    
 0006.561111, 001166,  0.023, _,    0104, 0155, -033,    0105.00, 0153.81, -035.55,    
 0006.611115, 001166,  0.023, _,    0112, 0154, -034,    0106.12, 0153.59, -035.00,    
 0006.661118, 001180,  0.024, _,    0111, 0153, -040,    0107.61, 0153.66, -036.12,    
 0006.711105, 001172,  0.023, _,    0106, 0155, -040,    0107.09, 0153.78, -036.97,    
 0006.761108, 001167,  0.023, _,    0108, 0155, -033,    0107.39, 0154.23, -036.23,    
 0006.811111, 001166,  0.023, _,    0106, 0153, -038,    0107.08, 0153.84, -036.31,    
 0006.861115, 001170,  0.023, _,    0105, 0156, -039,    0106.67, 0154.28, -037.03,    
 0006.911118, 001167,  0.023, _,    0108, 0153, -038,    0106.88, 0154.08, -037.14,    
 0006.961105, 001168,  0.023, _,    0107, 0152, -039,    0107.09, 0153.59, -037.64,    
 0007.011108, 001167,  0.023, _,    0105, 0154, -036,    0106.61, 0153.69, -037.33,    
 0007.061111, 001172,  0.023, _,    0100, 0156, -036,    0105.33, 0154.22, -037.08,    
 0007.111115, 001173,  0.023, _,    0105, 0154, -032,    0104.97, 0154.25, -036.08,    
 0007.161118, 001168,  0.023, _,    0104, 0153, -038,    0104.94, 0153.91, -036.28,    
 0007.211105, 001167,  0.023, _,    0105, 0156, -034,    0104.70, 0154.34, -036.06,    
 0007.261108, 001168,  0.023, _,    0112, 0152, -046,    0106.23, 0153.95, -037.78,    
 0007.311111, 001166,  0.023, _,    0106, 0162, -035,    0106.36, 0155.44, -037.80,    
 0007.361115, 001166,  0.023, _,    0105, 0159, -041,    0105.94, 0156.58, -037.89,    
 0007.411118, 001168,  0.023, _,    0104, 0155, -035,    0105.59, 0156.09, -037.92,    
 0007.461105, 001167,  0.023, _,    0108, 0155, -038,    0105.95, 0156.00, -037.31,    
 0007.511108, 001171,  0.023, _,    0111, 0157, -038,    0107.16, 0156.11, -037.94,    
 0007.561111, 001167,  0.023, _,    0105, 0156, -039,    0106.77, 0156.28, -037.77,    
 0007.611115, 001168,  0.023, _,    0099, 0155, -035,    0105.09, 0155.92, -037.58,    
 0007.661118, 001166,  0.023, _,    0099, 0153, -035,    0103.72, 0155.38, -036.70,    
 0007.711105, 001167,  0.023, _,    0103, 0156, -039,    0103.52, 0155.38, -037.44,    
 0007.761108, 001168,  0.023, _,    0104, 0160, -033,    0103.59, 0156.52, -036.44,    
 0007.811111, 001167,  0.023, _,    0103, 0152, -036,    0103.44, 0155.64, -036.25,    
 0007.861115, 001171,  0.023, _,    0103, 0154, -032,    0103.23, 0155.09, -035.36,    
 0007.911118, 001174,  0.023, _,    0103, 0154, -034,    0103.17, 0154.94, -034.84,    
 0007.961105, 001167,  0.023, _,    0106, 0155, -038,    0103.72, 0154.77, -035.58,    
 0008.011108, 001166,  0.023, _,    0105, 0156, -027,    0104.05, 0155.12, -033.81,    
 0008.061111, 001165,  0.023, _,    0107, 0156, -036,    0104.55, 0155.23, -033.88,    
 0008.111115, 001168,  0.023, _,    0106, 0153, -038,    0104.94, 0154.84, -035.02,    
 0008.161118, 001167,  0.023, _,    0107, 0156, -041,    0105.31, 0154.94, -036.08,    
 0008.211105, 001167,  0.023, _,    0106, 0155, -033,    0105.66, 0155.11, -035.77,    
