 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0001.065536, 000077,    01.0000, -0.0006, -0.0002, 00.0001,    00.0000, 00.0000, 00.0000,    00.0227, -0.0005, -0.0051,    
 0001.265564, 000042,    01.0000, -0.0011, -0.0002, 00.0006,    -0.0012, -0.0004, 00.0003,    00.0186, -0.0081, 00.0041,    
 0001.275558, 000024,    01.0000, -0.0016, -0.0002, 00.0012,    -0.0022, -0.0004, 00.0013,    00.0198, -0.0041, 00.0193,    
 0001.285553, 000022,    01.0000, -0.0021, -0.0002, 00.0018,    -0.0032, -0.0005, 00.0024,    00.0197, 00.0013, 00.0246,    
 0001.295547, 000021,    01.0000, -0.0026, -0.0002, 00.0023,    -0.0042, -0.0004, 00.0035,    00.0220, 00.0020, 00.0139,    
 0001.305557, 000024,    01.0000, -0.0031, -0.0002, 00.0028,    -0.0052, -0.0004, 00.0046,    00.0217, -0.0001, 00.0103,    
 0001.315552, 000027,    01.0000, -0.0036, -0.0001, 00.0033,    -0.0062, -0.0003, 00.0056,    00.0200, 00.0041, 00.0101,    
 0001.325546, 000022,    01.0000, -0.0041, -0.0001, 00.0039,    -0.0072, -0.0003, 00.0066,    00.0207, 00.0119, 00.0163,    
 0001.335556, 000023,    01.0000, -0.0046, 00.0000, 00.0044,    -0.0082, -0.0001, 00.0077,    00.0206, 00.0160, 00.0120,    
 0001.345551, 000022,    01.0000, -0.0051, 00.0001, 00.0049,    -0.0092, 00.0000, 00.0087,    00.0227, 00.0127, 00.0127,    
 0001.355545, 000021,    01.0000, -0.0056, 00.0001, 00.0054,    -0.0101, 00.0002, 00.0098,    00.0209, -0.0066, 00.0051,    
 0001.365555, 000021,    01.0000, -0.0061, -0.0000, 00.0059,    -0.0111, 00.0002, 00.0108,    00.0216, -0.0185, 00.0110,    
 0001.375549, 000022,    01.0000, -0.0065, -0.0001, 00.0065,    -0.0121, 00.0000, 00.0118,    00.0227, -0.0133, 00.0334,    
 0001.385559, 000021,    00.9999, -0.0071, -0.0001, 00.0072,    -0.0131, -0.0000, 00.0130,    00.0198, -0.0079, 00.0557,    
 0001.395554, 000021,    00.9999, -0.0075, -0.0002, 00.0078,    -0.0141, -0.0001, 00.0145,    00.0218, -0.0215, 00.0235,    
 0001.405548, 000023,    00.9999, -0.0081, -0.0002, 00.0082,    -0.0151, -0.0003, 00.0156,    00.0195, 00.0017, -0.0179,    
 0001.415558, 000027,    00.9999, -0.0086, -0.0002, 00.0086,    -0.0161, -0.0002, 00.0164,    00.0203, -0.0152, -0.0131,    
 0001.425552, 000022,    00.9999, -0.0091, -0.0003, 00.0090,    -0.0171, -0.0003, 00.0172,    00.0185, -0.0073, -0.0025,    
 0001.435547, 000022,    00.9999, -0.0096, -0.0003, 00.0095,    -0.0181, -0.0004, 00.0180,    00.0196, 00.0032, 00.0080,    
 0001.445557, 000025,    00.9999, -0.0101, -0.0002, 00.0100,    -0.0191, -0.0003, 00.0190,    00.0196, 00.0130, 00.0123,    
 0001.455551, 000022,    00.9999, -0.0106, -0.0001, 00.0105,    -0.0202, -0.0002, 00.0201,    00.0208, 00.0115, 00.0055,    
 0001.465546, 000021,    00.9999, -0.0111, -0.0001, 00.0109,    -0.0212, -0.0000, 00.0210,    00.0200, -0.0037, -0.0089,    
 0001.475555, 000025,    00.9999, -0.0116, -0.0002, 00.0113,    -0.0222, 00.0000, 00.0218,    00.0205, -0.0149, -0.0208,    
 0001.485550, 000022,    00.9999, -0.0121, -0.0003, 00.0116,    -0.0232, -0.0001, 00.0225,    00.0211, -0.0261, -0.0220,    
 0001.495560, 000023,    00.9998, -0.0126, -0.0004, 00.0119,    -0.0242, -0.0003, 00.0232,    00.0203, -0.0323, -0.0215,    
 0001.505768, 000027,    00.9998, -0.0131, -0.0006, 00.0123,    -0.0252, -0.0006, 00.0239,    00.0229, -0.0300, -0.0108,    
 0001.515564, 000031,    00.9998, -0.0136, -0.0007, 00.0128,    -0.0262, -0.0009, 00.0247,    00.0211, -0.0204, 00.0017,    
 0001.525558, 000023,    00.9998, -0.0141, -0.0008, 00.0133,    -0.0272, -0.0011, 00.0256,    00.0197, -0.0105, 00.0051,    
 0001.535553, 000021,    00.9998, -0.0146, -0.0008, 00.0137,    -0.0282, -0.0012, 00.0265,    00.0202, -0.0047, 00.0085,    
 0001.545563, 000026,    00.9998, -0.0151, -0.0008, 00.0142,    -0.0292, -0.0012, 00.0275,    00.0201, 00.0008, 00.0044,    
 0001.555557, 000023,    00.9998, -0.0156, -0.0008, 00.0147,    -0.0303, -0.0011, 00.0285,    00.0205, 00.0024, 00.0104,    
 0001.565552, 000023,    00.9998, -0.0161, -0.0007, 00.0152,    -0.0313, -0.0011, 00.0295,    00.0177, 00.0037, 00.0129,    
 0001.575546, 000022,    00.9997, -0.0167, -0.0007, 00.0158,    -0.0323, -0.0010, 00.0305,    00.0188, -0.0037, 00.0195,    
 0001.585556, 000024,    00.9997, -0.0172, -0.0008, 00.0163,    -0.0333, -0.0010, 00.0316,    00.0199, -0.0033, 00.0169,    
 0001.595551, 000021,    00.9997, -0.0177, -0.0008, 00.0168,    -0.0344, -0.0009, 00.0326,    00.0180, -0.0170, 00.0143,    
 0001.605560, 000021,    00.9997, -0.0182, -0.0009, 00.0173,    -0.0354, -0.0011, 00.0336,    00.0211, -0.0236, 00.0108,    
 0001.615555, 000027,    00.9997, -0.0187, -0.0010, 00.0178,    -0.0364, -0.0012, 00.0346,    00.0190, -0.0148, 00.0027,    
 0001.625549, 000023,    00.9996, -0.0192, -0.0011, 00.0182,    -0.0375, -0.0013, 00.0356,    00.0185, -0.0262, 00.0025,    
 0001.635559, 000021,    00.9996, -0.0197, -0.0012, 00.0187,    -0.0385, -0.0016, 00.0365,    00.0192, -0.0125, 00.0074,    
 0001.645554, 000024,    00.9996, -0.0203, -0.0012, 00.0192,    -0.0395, -0.0017, 00.0375,    00.0196, -0.0028, 00.0018,    
 0001.655548, 000022,    00.9996, -0.0208, -0.0012, 00.0196,    -0.0405, -0.0016, 00.0384,    00.0188, 00.0073, -0.0026,    
 0001.665558, 000021,    00.9996, -0.0213, -0.0011, 00.0200,    -0.0416, -0.0015, 00.0392,    00.0195, 00.0063, -0.0025,    
 0001.675552, 000022,    00.9996, -0.0218, -0.0011, 00.0205,    -0.0426, -0.0014, 00.0401,    00.0170, 00.0050, 00.0029,    
 0001.685562, 000023,    00.9995, -0.0223, -0.0011, 00.0210,    -0.0437, -0.0013, 00.0410,    00.0197, -0.0028, 00.0116,    
 0001.695557, 000021,    00.9995, -0.0228, -0.0011, 00.0215,    -0.0447, -0.0013, 00.0420,    00.0195, 00.0067, 00.0143,    
 0001.705551, 000022,    00.9995, -0.0234, -0.0011, 00.0220,    -0.0457, -0.0012, 00.0430,    00.0190, 00.0008, 00.0139,    
 0001.715561, 000036,    00.9995, -0.0239, -0.0011, 00.0225,    -0.0467, -0.0011, 00.0440,    00.0174, -0.0003, 00.0104,    
 0001.725555, 000022,    00.9994, -0.0244, -0.0011, 00.0230,    -0.0478, -0.0011, 00.0450,    00.0195, -0.0003, 00.0036,    
 0001.735550, 000022,    00.9994, -0.0249, -0.0011, 00.0234,    -0.0488, -0.0010, 00.0459,    00.0181, -0.0019, -0.0079,    
 0001.745544, 000021,    00.9994, -0.0254, -0.0012, 00.0238,    -0.0499, -0.0010, 00.0467,    00.0193, -0.0167, -0.0060,    
 0001.755554, 000025,    00.9994, -0.0259, -0.0012, 00.0242,    -0.0509, -0.0011, 00.0476,    00.0179, -0.0037, -0.0011,    
 0001.765549, 000021,    00.9993, -0.0265, -0.0012, 00.0246,    -0.0519, -0.0011, 00.0484,    00.0163, -0.0027, 00.0017,    
 0001.775558, 000021,    00.9993, -0.0270, -0.0012, 00.0251,    -0.0530, -0.0011, 00.0494,    00.0194, -0.0055, -0.0024,    
 0001.785553, 000022,    00.9993, -0.0275, -0.0013, 00.0255,    -0.0540, -0.0011, 00.0502,    00.0181, -0.0049, -0.0055,    
 0001.795547, 000022,    00.9993, -0.0280, -0.0013, 00.0259,    -0.0551, -0.0011, 00.0510,    00.0180, -0.0071, 00.0027,    
 0001.805557, 000021,    00.9992, -0.0286, -0.0013, 00.0264,    -0.0561, -0.0011, 00.0520,    00.0181, -0.0020, 00.0040,    
 0001.815552, 000024,    00.9992, -0.0291, -0.0013, 00.0269,    -0.0572, -0.0011, 00.0529,    00.0161, -0.0077, 00.0052,    
 0001.825546, 000025,    00.9992, -0.0296, -0.0014, 00.0273,    -0.0582, -0.0011, 00.0538,    00.0181, -0.0060, 00.0029,    
 0001.835556, 000023,    00.9992, -0.0301, -0.0014, 00.0278,    -0.0593, -0.0011, 00.0547,    00.0171, 00.0008, 00.0026,    
 0001.845551, 000021,    00.9991, -0.0307, -0.0014, 00.0282,    -0.0603, -0.0011, 00.0556,    00.0187, 00.0017, 00.0048,    
 0001.855560, 000022,    00.9991, -0.0312, -0.0014, 00.0287,    -0.0614, -0.0010, 00.0565,    00.0171, -0.0065, 00.0104,    
 0001.865555, 000029,    00.9991, -0.0317, -0.0015, 00.0292,    -0.0624, -0.0011, 00.0575,    00.0194, -0.0189, 00.0100,    
 0001.875549, 000023,    00.9990, -0.0322, -0.0016, 00.0297,    -0.0635, -0.0012, 00.0585,    00.0186, -0.0178, 00.0064,    
 0001.885559, 000026,    00.9990, -0.0327, -0.0017, 00.0302,    -0.0645, -0.0014, 00.0594,    00.0168, -0.0086, 00.0109,    
 0001.895554, 000024,    00.9990, -0.0333, -0.0017, 00.0307,    -0.0656, -0.0014, 00.0604,    00.0191, -0.0056, 00.0244,    
 0001.905548, 000023,    00.9989, -0.0338, -0.0017, 00.0313,    -0.0666, -0.0014, 00.0615,    00.0182, 00.0047, 00.0302,    
 0001.915558, 000026,    00.9989, -0.0343, -0.0017, 00.0319,    -0.0677, -0.0013, 00.0627,    00.0171, 00.0028, 00.0304,    
 0001.925552, 000030,    00.9989, -0.0349, -0.0017, 00.0325,    -0.0687, -0.0012, 00.0639,    00.0155, 00.0027, 00.0316,    
 0001.935547, 000023,    00.9988, -0.0354, -0.0017, 00.0331,    -0.0698, -0.0011, 00.0651,    00.0171, -0.0075, 00.0310,    
 0001.945557, 000022,    00.9988, -0.0359, -0.0018, 00.0336,    -0.0709, -0.0011, 00.0662,    00.0163, -0.0151, 00.0278,    
 0001.955551, 000023,    00.9987, -0.0364, -0.0019, 00.0342,    -0.0719, -0.0011, 00.0674,    00.0170, -0.0160, 00.0300,    
 0001.965546, 000026,    00.9987, -0.0370, -0.0019, 00.0348,    -0.0730, -0.0012, 00.0685,    00.0173, -0.0147, 00.0365,    
 0001.975555, 000025,    00.9987, -0.0375, -0.0021, 00.0355,    -0.0741, -0.0013, 00.0698,    00.0148, -0.0220, 00.0441,    
 0001.985550, 000025,    00.9986, -0.0381, -0.0021, 00.0361,    -0.0752, -0.0014, 00.0711,    00.0148, -0.0161, 00.0422,    
 0001.995560, 000023,    00.9986, -0.0386, -0.0022, 00.0367,    -0.0762, -0.0015, 00.0724,    00.0151, -0.0087, 00.0315,    
 0002.005554, 000022,    00.9985, -0.0391, -0.0022, 00.0373,    -0.0773, -0.0015, 00.0736,    00.0170, 00.0007, 00.0220,    
 0002.015564, 000025,    00.9985, -0.0397, -0.0022, 00.0378,    -0.0784, -0.0014, 00.0746,    00.0157, -0.0074, 00.0192,    
 0002.025558, 000025,    00.9985, -0.0402, -0.0022, 00.0383,    -0.0795, -0.0014, 00.0757,    00.0143, 00.0037, 00.0171,    
 0002.035553, 000023,    00.9984, -0.0407, -0.0022, 00.0388,    -0.0806, -0.0013, 00.0767,    00.0184, -0.0015, 00.0173,    
 0002.045547, 000022,    00.9984, -0.0413, -0.0022, 00.0393,    -0.0816, -0.0012, 00.0777,    00.0149, 00.0046, 00.0139,    
 0002.055557, 000026,    00.9983, -0.0418, -0.0022, 00.0398,    -0.0827, -0.0011, 00.0787,    00.0190, -0.0012, 00.0165,    
 0002.065552, 000025,    00.9983, -0.0423, -0.0022, 00.0403,    -0.0838, -0.0011, 00.0797,    00.0186, -0.0070, 00.0169,    
 0002.075546, 000023,    00.9982, -0.0429, -0.0024, 00.0409,    -0.0848, -0.0011, 00.0807,    00.0183, -0.0206, 00.0269,    
 0002.085556, 000022,    00.9982, -0.0434, -0.0024, 00.0414,    -0.0859, -0.0012, 00.0819,    00.0169, -0.0107, 00.0310,    
 0002.095551, 000026,    00.9981, -0.0439, -0.0024, 00.0420,    -0.0869, -0.0012, 00.0830,    00.0165, -0.0067, 00.0237,    
 0002.105560, 000023,    00.9981, -0.0445, -0.0025, 00.0425,    -0.0880, -0.0012, 00.0841,    00.0171, -0.0050, 00.0160,    
 0002.115555, 000027,    00.9981, -0.0450, -0.0025, 00.0430,    -0.0891, -0.0012, 00.0851,    00.0164, -0.0006, 00.0125,    
 0002.125549, 000030,    00.9980, -0.0455, -0.0025, 00.0435,    -0.0902, -0.0011, 00.0861,    00.0150, -0.0033, 00.0162,    
 0002.135559, 000025,    00.9980, -0.0461, -0.0025, 00.0440,    -0.0913, -0.0011, 00.0871,    00.0146, 00.0027, 00.0269,    
 0002.145554, 000023,    00.9979, -0.0466, -0.0025, 00.0446,    -0.0924, -0.0010, 00.0882,    00.0160, 00.0030, 00.0411,    
 0002.155548, 000025,    00.9979, -0.0472, -0.0025, 00.0453,    -0.0934, -0.0008, 00.0895,    00.0150, 00.0031, 00.0461,    
 0002.165558, 000025,    00.9978, -0.0477, -0.0025, 00.0459,    -0.0945, -0.0007, 00.0907,    00.0162, -0.0065, 00.0428,    
 0002.175552, 000023,    00.9977, -0.0483, -0.0025, 00.0466,    -0.0956, -0.0006, 00.0920,    00.0167, -0.0071, 00.0462,    
 0002.185547, 000026,    00.9977, -0.0488, -0.0026, 00.0471,    -0.0967, -0.0006, 00.0933,    00.0157, -0.0089, 00.0301,    
 0002.195557, 000019,    00.9976, -0.0494, -0.0027, 00.0476,    -0.0978, -0.0006, 00.0944,    00.0156, -0.0155, 00.0071,    
 0002.205551, 000027,    00.9976, -0.0499, -0.0028, 00.0479,    -0.0989, -0.0006, 00.0953,    00.0196, -0.0243, -0.0126,    
 0002.215561, 000032,    00.9976, -0.0504, -0.0030, 00.0483,    -0.0999, -0.0008, 00.0961,    00.0164, -0.0282, -0.0165,    
 0002.225555, 000023,    00.9975, -0.0509, -0.0031, 00.0486,    -0.1010, -0.0010, 00.0968,    00.0172, -0.0172, -0.0124,    
 0002.235550, 000028,    00.9975, -0.0515, -0.0031, 00.0490,    -0.1021, -0.0012, 00.0975,    00.0167, -0.0073, -0.0072,    
 0002.245544, 000023,    00.9974, -0.0520, -0.0032, 00.0494,    -0.1032, -0.0012, 00.0983,    00.0160, -0.0095, -0.0037,    
 0002.255554, 000022,    00.9974, -0.0525, -0.0033, 00.0499,    -0.1042, -0.0012, 00.0991,    00.0164, -0.0115, 00.0042,    
 0002.265549, 000023,    00.9973, -0.0531, -0.0033, 00.0503,    -0.1053, -0.0013, 00.1000,    00.0174, -0.0104, 00.0070,    
 0002.275558, 000022,    00.9973, -0.0536, -0.0033, 00.0508,    -0.1064, -0.0013, 00.1009,    00.0152, 00.0068, 00.0044,    
 0002.285553, 000024,    00.9972, -0.0542, -0.0033, 00.0512,    -0.1075, -0.0012, 00.1018,    00.0150, 00.0075, 00.0023,    
 0002.295547, 000022,    00.9972, -0.0547, -0.0033, 00.0516,    -0.1086, -0.0010, 00.1026,    00.0161, -0.0074, -0.0005,    
 0002.305557, 000022,    00.9971, -0.0553, -0.0034, 00.0520,    -0.1097, -0.0010, 00.1034,    00.0136, -0.0145, -0.0060,    
 0002.315552, 000029,    00.9971, -0.0558, -0.0036, 00.0524,    -0.1108, -0.0011, 00.1042,    00.0164, -0.0219, -0.0082,    
 0002.325546, 000025,    00.9970, -0.0563, -0.0037, 00.0528,    -0.1118, -0.0012, 00.1050,    00.0175, -0.0181, -0.0033,    
