 Ftime,       Fdur,      Qw1,     Qx1,     Qy1,     Qz1,        Ex1,     Ey1,     Ez1,      dEx1, dEy1, dEz1  
 0001.159912, 000017,    00.9994, 00.0310, 00.0079, -0.0153,    00.0603, 00.0167, -0.0293,    00.0237, -0.0047, 00.0045,    
 0001.169922, 000033,    00.9993, 00.0317, 00.0082, -0.0158,    00.0618, 00.0167, -0.0302,    00.0274, -0.0050, 00.0042,    
 0001.179932, 000033,    00.9993, 00.0324, 00.0083, -0.0162,    00.0631, 00.0174, -0.0310,    00.0283, -0.0042, 00.0053,    
 0001.189941, 000031,    00.9993, 00.0331, 00.0083, -0.0167,    00.0645, 00.0175, -0.0318,    00.0237, -0.0059, 00.0064,    
 0001.199951, 000039,    00.9992, 00.0337, 00.0084, -0.0171,    00.0659, 00.0177, -0.0327,    00.0209, -0.0042, 00.0051,    
 0001.209961, 000036,    00.9992, 00.0344, 00.0087, -0.0176,    00.0672, 00.0180, -0.0337,    00.0221, -0.0057, 00.0034,    
 0001.219971, 000032,    00.9992, 00.0350, 00.0088, -0.0180,    00.0684, 00.0185, -0.0345,    00.0231, -0.0056, 00.0040,    
 0001.229980, 000017,    00.9992, 00.0357, 00.0090, -0.0185,    00.0698, 00.0189, -0.0354,    00.0226, -0.0064, 00.0042,    
 0001.239990, 000043,    00.9991, 00.0363, 00.0090, -0.0190,    00.0710, 00.0193, -0.0364,    00.0213, -0.0088, 00.0049,    
 0001.250000, 000035,    00.9991, 00.0370, 00.0091, -0.0195,    00.0723, 00.0194, -0.0374,    00.0209, -0.0049, 00.0034,    
 0001.260010, 000038,    00.9991, 00.0375, 00.0093, -0.0200,    00.0736, 00.0196, -0.0383,    00.0248, -0.0051, 00.0044,    
 0001.270020, 000035,    00.9990, 00.0382, 00.0093, -0.0205,    00.0747, 00.0201, -0.0393,    00.0290, -0.0025, 00.0028,    
 0001.280029, 000031,    00.9990, 00.0389, 00.0094, -0.0211,    00.0761, 00.0202, -0.0404,    00.0296, -0.0040, 00.0065,    
 0001.290039, 000032,    00.9989, 00.0394, 00.0097, -0.0216,    00.0774, 00.0205, -0.0414,    00.0276, -0.0035, 00.0029,    
 0001.300049, 000039,    00.9989, 00.0400, 00.0098, -0.0221,    00.0785, 00.0210, -0.0424,    00.0232, -0.0046, 00.0041,    
 0001.310059, 000041,    00.9989, 00.0406, 00.0099, -0.0227,    00.0797, 00.0213, -0.0435,    00.0183, -0.0059, 00.0035,    
 0001.320068, 000033,    00.9988, 00.0412, 00.0098, -0.0233,    00.0808, 00.0216, -0.0446,    00.0160, -0.0071, 00.0039,    
 0001.330078, 000018,    00.9988, 00.0416, 00.0101, -0.0238,    00.0819, 00.0216, -0.0457,    00.0192, -0.0047, 00.0028,    
 0001.340088, 000035,    00.9988, 00.0422, 00.0102, -0.0244,    00.0828, 00.0222, -0.0468,    00.0214, -0.0040, 00.0028,    
 0001.350098, 000030,    00.9987, 00.0428, 00.0102, -0.0249,    00.0839, 00.0224, -0.0479,    00.0242, -0.0047, 00.0045,    
 0001.359863, 000018,    00.9987, 00.0433, 00.0105, -0.0255,    00.0851, 00.0224, -0.0490,    00.0191, -0.0036, 00.0029,    
 0001.369873, 000039,    00.9986, 00.0439, 00.0104, -0.0261,    00.0861, 00.0231, -0.0500,    00.0205, -0.0043, 00.0015,    
 0001.379883, 000034,    00.9986, 00.0444, 00.0107, -0.0266,    00.0872, 00.0231, -0.0512,    00.0180, -0.0056, 00.0034,    
 0001.389893, 000034,    00.9986, 00.0449, 00.0107, -0.0272,    00.0882, 00.0238, -0.0522,    00.0164, -0.0067, 00.0046,    
 0001.399902, 000119,    00.9985, 00.0454, 00.0107, -0.0278,    00.0892, 00.0238, -0.0533,    00.0145, -0.0077, 00.0023,    
 0001.409912, 000049,    00.9985, 00.0459, 00.0109, -0.0284,    00.0902, 00.0239, -0.0545,    00.0161, -0.0058, 00.0029,    
 0001.419922, 000043,    00.9984, 00.0464, 00.0111, -0.0290,    00.0912, 00.0243, -0.0557,    00.0214, -0.0039, 00.0023,    
 0001.429932, 000034,    00.9984, 00.0469, 00.0113, -0.0295,    00.0921, 00.0248, -0.0569,    00.0269, -0.0024, 00.0012,    
 0001.439941, 000037,    00.9984, 00.0475, 00.0115, -0.0301,    00.0932, 00.0252, -0.0580,    00.0262, -0.0024, 00.0040,    
 0001.449951, 000018,    00.9983, 00.0478, 00.0115, -0.0308,    00.0943, 00.0257, -0.0591,    00.0264, -0.0034, 00.0026,    
 0001.459961, 000032,    00.9983, 00.0483, 00.0115, -0.0315,    00.0949, 00.0258, -0.0605,    00.0338, -0.0017, 00.0020,    
 0001.469971, 000032,    00.9982, 00.0488, 00.0118, -0.0321,    00.0959, 00.0260, -0.0618,    00.0324, -0.0012, 00.0035,    
 0001.479980, 000037,    00.9982, 00.0492, 00.0116, -0.0327,    00.0968, 00.0267, -0.0629,    00.0300, -0.0036, 00.0038,    
 0001.489990, 000035,    00.9981, 00.0495, 00.0118, -0.0334,    00.0977, 00.0263, -0.0643,    00.0267, -0.0025, 00.0026,    
 0001.500000, 000030,    00.9981, 00.0499, 00.0119, -0.0341,    00.0983, 00.0269, -0.0656,    00.0311, -0.0015, 00.0021,    
 0001.510010, 000045,    00.9981, 00.0503, 00.0120, -0.0348,    00.0991, 00.0271, -0.0669,    00.0324, -0.0009, 00.0024,    
 0001.520020, 000032,    00.9980, 00.0507, 00.0121, -0.0355,    00.0997, 00.0274, -0.0683,    00.0291, -0.0036, 00.0026,    
 0001.530029, 000033,    00.9980, 00.0511, 00.0122, -0.0361,    00.1005, 00.0278, -0.0697,    00.0249, -0.0007, 00.0023,    
 0001.540039, 000032,    00.9979, 00.0515, 00.0124, -0.0368,    00.1014, 00.0281, -0.0710,    00.0233, -0.0044, 00.0034,    
 0001.550049, 000035,    00.9979, 00.0519, 00.0125, -0.0375,    00.1020, 00.0285, -0.0723,    00.0247, -0.0053, 00.0025,    
 0001.560059, 000030,    00.9978, 00.0521, 00.0127, -0.0382,    00.1028, 00.0289, -0.0736,    00.0241, -0.0044, 00.0039,    
 0001.570068, 000018,    00.9978, 00.0523, 00.0126, -0.0389,    00.1032, 00.0293, -0.0750,    00.0202, -0.0064, 00.0028,    
 0001.580078, 000033,    00.9978, 00.0525, 00.0124, -0.0396,    00.1036, 00.0292, -0.0764,    00.0181, -0.0049, 00.0045,    
 0001.590088, 000018,    00.9977, 00.0527, 00.0127, -0.0403,    00.1040, 00.0290, -0.0779,    00.0240, -0.0051, 00.0030,    
 0001.600098, 000039,    00.9977, 00.0530, 00.0125, -0.0410,    00.1043, 00.0297, -0.0792,    00.0257, -0.0052, 00.0003,    
 0001.609863, 000035,    00.9976, 00.0534, 00.0125, -0.0417,    00.1050, 00.0292, -0.0805,    00.0231, -0.0020, 00.0013,    
 0001.619873, 000044,    00.9976, 00.0537, 00.0126, -0.0424,    00.1057, 00.0293, -0.0819,    00.0227, -0.0040, 00.0022,    
 0001.629883, 000033,    00.9975, 00.0540, 00.0126, -0.0431,    00.1063, 00.0297, -0.0833,    00.0263, -0.0039, 00.0004,    
 0001.639893, 000033,    00.9975, 00.0542, 00.0126, -0.0438,    00.1069, 00.0299, -0.0847,    00.0274, -0.0031, 00.0014,    
 0001.649902, 000035,    00.9974, 00.0544, 00.0130, -0.0445,    00.1073, 00.0298, -0.0862,    00.0288, -0.0022, 00.0002,    
