 Atime,       Adur,      Arx1,   Ary1,   Arz1,      Aax1,      Aay1,      Aaz1,         Acx1,    Acy1,    Acz1,   
 0000.465347, 000744,    -00040, 000102, 008333,    -00000.78, 000002.00, 000163.39,    -0.0002, 00.0001, 00.0199,    
 0000.665359, 000584,    -00064, 000151, 008297,    -00002.02, 000004.92, 000322.87,    -0.0006, 00.0002, 00.0394,    
 0000.666351, 000544,    -00087, 000145, 008322,    -00003.69, 000007.67, 000479.72,    -0.0009, 00.0005, 00.0585,    
 0000.667343, 000542,    -00101, 000130, 008349,    -00005.60, 000010.07, 000634.02,    -0.0012, 00.0007, 00.0773,    
 0000.668335, 000540,    -00078, 000129, 008361,    -00007.02, 000012.40, 000785.53,    -0.0015, 00.0009, 00.0958,    
 0000.669342, 000540,    -00077, 000121, 008351,    -00008.39, 000014.53, 000933.87,    -0.0018, 00.0010, 00.1139,    
 0000.670349, 000541,    -00082, 000140, 008353,    -00009.83, 000016.99, 001079.34,    -0.0021, 00.0012, 00.1316,    
 0000.671341, 000540,    -00083, 000182, 008395,    -00011.27, 000020.22, 001222.79,    -0.0025, 00.0014, 00.1491,    
 0000.672348, 000540,    -00097, 000163, 008398,    -00012.95, 000023.02, 001363.48,    -0.0028, 00.0016, 00.1663,    
 0000.673340, 000853,    -00110, 000144, 008321,    -00047.67, 000109.07, 008335.86,    -0.0133, 00.0058, 01.0166,    
 0000.674347, 000541,    -00102, 000147, 008270,    -00068.42, 000150.01, 008305.04,    -0.0183, 00.0083, 01.0128,    
 0000.675339, 000540,    -00071, 000150, 008312,    -00087.34, 000145.09, 008325.69,    -0.0177, 00.0107, 01.0153,    
 0000.676346, 000540,    -00062, 000151, 008320,    -00098.33, 000132.90, 008347.72,    -0.0162, 00.0120, 01.0180,    
 0000.677338, 000540,    -00069, 000151, 008332,    -00078.88, 000132.43, 008357.26,    -0.0162, 00.0096, 01.0192,    
 0000.678345, 000540,    -00077, 000150, 008344,    -00078.03, 000126.22, 008348.80,    -0.0154, 00.0095, 01.0181,    
 0000.679337, 000540,    -00087, 000131, 008322,    -00082.30, 000141.90, 008349.91,    -0.0173, 00.0100, 01.0183,    
 0000.680344, 000542,    -00082, 000111, 008352,    -00083.12, 000175.75, 008384.41,    -0.0214, 00.0101, 01.0225,    
 0000.681335, 000539,    -00072, 000135, 008411,    -00094.38, 000159.36, 008387.39,    -0.0194, 00.0115, 01.0229,    
 0000.682343, 000540,    -00040, 000161, 008421,    -00103.98, 000143.81, 008324.88,    -0.0175, 00.0127, 01.0152,    
 0000.683334, 000851,    -00046, 000154, 008418,    -00096.28, 000146.47, 008284.87,    -0.0179, 00.0117, 01.0103,    
 0000.684341, 000540,    -00066, 000142, 008429,    -00070.26, 000148.84, 008322.15,    -0.0182, 00.0086, 01.0149,    
 0000.685349, 000540,    -00061, 000147, 008375,    -00062.69, 000149.62, 008329.75,    -0.0182, 00.0076, 01.0158,    
 0000.686340, 000539,    -00042, 000150, 008357,    -00068.03, 000149.63, 008340.13,    -0.0182, 00.0083, 01.0171,    
 0000.687347, 000536,    000001, 000137, 008374,    -00073.24, 000148.56, 008350.64,    -0.0181, 00.0089, 01.0184,    
 0000.688339, 000538,    000001, 000126, 008340,    -00079.99, 000132.53, 008332.38,    -0.0162, 00.0098, 01.0161,    
 0000.689346, 000540,    -00021, 000115, 008334,    -00074.73, 000115.78, 008357.02,    -0.0141, 00.0091, 01.0191,    
 0000.690338, 000540,    -00041, 000105, 008355,    -00065.86, 000135.26, 008405.38,    -0.0165, 00.0080, 01.0250,    
 0000.691345, 000540,    -00028, 000099, 008341,    -00038.87, 000155.88, 008412.32,    -0.0190, 00.0047, 01.0259,    
 0000.692337, 000542,    -00005, 000114, 008335,    -00043.13, 000149.32, 008408.35,    -0.0182, 00.0053, 01.0254,    
 0000.693344, 000845,    -00017, 000137, 008375,    -00059.02, 000139.23, 008416.72,    -0.0170, 00.0072, 01.0264,    
 0000.694336, 000539,    -00035, 000135, 008393,    -00054.45, 000143.25, 008371.95,    -0.0175, 00.0066, 01.0210,    
 0000.695343, 000540,    -00032, 000135, 008345,    -00038.42, 000145.55, 008356.66,    -0.0177, 00.0047, 01.0191,    
 0000.696335, 000539,    -00051, 000151, 008326,    -00003.40, 000134.99, 008370.00,    -0.0165, 00.0004, 01.0207,    
 0000.697342, 000540,    -00083, 000141, 008350,    -00004.96, 000126.08, 008341.72,    -0.0154, 00.0006, 01.0173,    
 0000.698349, 000553,    -00053, 000120, 008353,    -00023.95, 000116.94, 008337.02,    -0.0143, 00.0029, 01.0167,    
 0000.699341, 000541,    -00019, 000123, 008386,    -00040.26, 000108.86, 008355.21,    -0.0133, 00.0049, 01.0189,    
 0000.700333, 000546,    -00041, 000123, 008408,    -00029.61, 000104.21, 008344.76,    -0.0127, 00.0036, 01.0177,    
 0000.701340, 000540,    -00057, 000108, 008399,    -00011.28, 000116.59, 008340.90,    -0.0142, 00.0014, 01.0172,    
 0000.702347, 000540,    -00042, 000119, 008419,    -00021.72, 000135.51, 008375.24,    -0.0165, 00.0026, 01.0214,    
 0000.703339, 000853,    -00048, 000132, 008416,    -00037.00, 000133.80, 008390.81,    -0.0163, 00.0045, 01.0233,    
 0000.704346, 000541,    -00071, 000121, 008329,    -00035.21, 000133.55, 008350.22,    -0.0163, 00.0043, 01.0183,    
 0000.705338, 000540,    -00055, 000116, 008304,    -00051.18, 000146.33, 008333.73,    -0.0178, 00.0062, 01.0163,    
 0000.706345, 000539,    -00027, 000134, 008381,    -00076.96, 000137.88, 008354.34,    -0.0168, 00.0094, 01.0188,    
 0000.707336, 000541,    -00041, 000152, 008407,    -00051.65, 000120.93, 008357.83,    -0.0147, 00.0063, 01.0192,    
 0000.708344, 000539,    -00064, 000153, 008368,    -00024.00, 000124.02, 008385.11,    -0.0151, 00.0029, 01.0226,    
 0000.709335, 000541,    -00060, 000136, 008314,    -00042.75, 000124.26, 008401.76,    -0.0152, 00.0052, 01.0246,    
 0000.710342, 000541,    -00049, 000119, 008302,    -00056.00, 000111.85, 008392.42,    -0.0136, 00.0068, 01.0235,    
 0000.711349, 000540,    -00053, 000129, 008317,    -00043.63, 000121.21, 008407.35,    -0.0148, 00.0053, 01.0253,    
 0000.712341, 000540,    -00050, 000144, 008347,    -00048.68, 000132.32, 008403.70,    -0.0161, 00.0059, 01.0248,    
 0000.713348, 000852,    -00057, 000144, 008347,    -00067.71, 000123.52, 008331.22,    -0.0151, 00.0083, 01.0160,    
 0000.714340, 000540,    -00076, 000143, 008322,    -00054.75, 000119.81, 008310.53,    -0.0146, 00.0067, 01.0135,    
 0000.715347, 000540,    -00062, 000160, 008320,    -00031.92, 000135.36, 008373.88,    -0.0165, 00.0039, 01.0212,    
 0000.716339, 000540,    -00026, 000142, 008340,    -00043.29, 000150.26, 008394.55,    -0.0183, 00.0053, 01.0237,    
 0000.717346, 000540,    -00021, 000125, 008368,    -00061.72, 000150.58, 008362.04,    -0.0184, 00.0075, 01.0198,    
 0000.718338, 000540,    -00044, 000159, 008354,    -00058.09, 000136.80, 008317.58,    -0.0167, 00.0071, 01.0143,    
