timeG, dur, perc, X, rGx1, rGy1, rGz1, 
 0001.423828, 000977,  0.977, _,    -00035, 000074, -00027,    
 0001.423828, 000976,  0.976, _,    -00039, 000075, -00032,    
 0001.425781, 000975,  0.975, _,    -00037, 000079, -00038,    
 0001.427734, 000975,  0.975, _,    -00032, 000078, -00042,    
 0001.427734, 000976,  0.976, _,    -00033, 000079, -00039,    
 0001.429688, 000975,  0.975, _,    -00035, 000081, -00035,    
 0001.429688, 000992,  0.992, _,    -00035, 000080, -00035,    
 0001.431641, 000977,  0.977, _,    -00031, 000076, -00037,    
 0001.431641, 000976,  0.976, _,    -00031, 000073, -00042,    
 0001.433594, 000975,  0.975, _,    -00035, 000072, -00042,    
 0001.433594, 000975,  0.975, _,    -00037, 000076, -00037,    
 0001.435547, 000977,  0.977, _,    -00035, 000081, -00036,    
 0001.435547, 000977,  0.977, _,    -00032, 000082, -00038,    
 0001.437500, 000977,  0.977, _,    -00036, 000078, -00034,    
 0001.437500, 000976,  0.976, _,    -00042, 000075, -00030,    
 0001.439453, 000977,  0.977, _,    -00044, 000076, -00030,    
 0001.439453, 000987,  0.987, _,    -00037, 000081, -00031,    
 0001.441406, 000977,  0.977, _,    -00031, 000081, -00034,    
 0001.441406, 000977,  0.977, _,    -00029, 000074, -00036,    
 0001.443359, 000977,  0.977, _,    -00035, 000071, -00034,    
 0001.443359, 000977,  0.977, _,    -00035, 000076, -00035,    
 0001.445312, 000976,  0.976, _,    -00035, 000080, -00038,    
 0001.445312, 000975,  0.975, _,    -00036, 000076, -00034,    
 0001.447266, 000975,  0.975, _,    -00036, 000074, -00030,    
 0001.447266, 000976,  0.976, _,    -00040, 000075, -00030,    
 0001.449219, 000977,  0.977, _,    -00045, 000077, -00029,    
 0001.449219, 000988,  0.988, _,    -00043, 000080, -00027,    
 0001.451172, 000977,  0.977, _,    -00038, 000085, -00031,    
 0001.451172, 000977,  0.977, _,    -00042, 000085, -00039,    
 0001.453125, 000975,  0.975, _,    -00045, 000077, -00041,    
 0001.453125, 000976,  0.976, _,    -00041, 000072, -00038,    
 0001.455078, 000976,  0.976, _,    -00034, 000077, -00033,    
 0001.455078, 000997,  0.997, _,    -00031, 000081, -00035,    
 0001.457031, 000982,  0.982, _,    -00031, 000077, -00038,    
 0001.457031, 000979,  0.979, _,    -00034, 000076, -00034,    
 0001.458984, 000977,  0.977, _,    -00036, 000081, -00031,    
 0001.458984, 000980,  0.980, _,    -00037, 000083, -00034,    
 0001.460938, 000977,  0.977, _,    -00039, 000084, -00035,    
 0001.460938, 000977,  0.977, _,    -00038, 000084, -00035,    
 0001.462891, 000977,  0.977, _,    -00038, 000080, -00037,    
 0001.464844, 000975,  0.975, _,    -00033, 000076, -00037,    
 0001.464844, 000977,  0.977, _,    -00030, 000074, -00034,    
 0001.466797, 000975,  0.975, _,    -00029, 000077, -00036,    
 0001.466797, 000976,  0.976, _,    -00032, 000078, -00040,    
 0001.468750, 000975,  0.975, _,    -00035, 000076, -00041,    
 0001.468750, 000975,  0.975, _,    -00037, 000070, -00038,    
 0001.470703, 000979,  0.979, _,    -00036, 000069, -00033,    
 0001.470703, 000977,  0.977, _,    -00033, 000074, -00032,    
 0001.472656, 000976,  0.976, _,    -00032, 000079, -00032,    
 0001.472656, 000977,  0.977, _,    -00031, 000080, -00033,    
 0001.474609, 000978,  0.978, _,    -00034, 000077, -00036,    
 0001.474609, 000976,  0.976, _,    -00037, 000080, -00033,    
 0001.476562, 000976,  0.976, _,    -00035, 000079, -00033,    
 0001.476562, 000976,  0.976, _,    -00037, 000076, -00032,    
 0001.478516, 000975,  0.975, _,    -00040, 000076, -00035,    
 0001.478516, 000975,  0.975, _,    -00040, 000079, -00035,    
 0001.480469, 000977,  0.977, _,    -00034, 000080, -00032,    
 0001.480469, 000977,  0.977, _,    -00029, 000076, -00027,    
 0001.482422, 000977,  0.977, _,    -00029, 000075, -00025,    
 0001.482422, 000976,  0.976, _,    -00031, 000074, -00031,    
 0001.484375, 000976,  0.976, _,    -00030, 000075, -00033,    
 0001.484375, 000977,  0.977, _,    -00031, 000073, -00032,    
 0001.486328, 000976,  0.976, _,    -00035, 000074, -00027,    
 0001.486328, 000977,  0.977, _,    -00035, 000075, -00027,    
 0001.488281, 000977,  0.977, _,    -00032, 000074, -00033,    
 0001.488281, 000977,  0.977, _,    -00032, 000071, -00033,    
 0001.490234, 000979,  0.979, _,    -00033, 000073, -00036,    
 0001.490234, 000977,  0.977, _,    -00034, 000077, -00038,    
 0001.492188, 000977,  0.977, _,    -00038, 000077, -00035,    
 0001.492188, 000978,  0.978, _,    -00041, 000076, -00031,    
 0001.494141, 000978,  0.978, _,    -00037, 000079, -00031,    
 0001.494141, 000977,  0.977, _,    -00035, 000080, -00034,    
 0001.496094, 000976,  0.976, _,    -00040, 000081, -00035,    
 0001.496094, 000976,  0.976, _,    -00044, 000082, -00036,    
 0001.498047, 000976,  0.976, _,    -00041, 000082, -00037,    
 0001.498047, 000977,  0.977, _,    -00033, 000082, -00035,    
 0001.500000, 000980,  0.980, _,    -00035, 000081, -00032,    
 0001.500000, 000977,  0.977, _,    -00038, 000077, -00029,    
 0001.501953, 000976,  0.976, _,    -00039, 000073, -00032,    
 0001.501953, 000977,  0.977, _,    -00038, 000069, -00035,    
 0001.503906, 000976,  0.976, _,    -00033, 000072, -00039,    
 0001.503906, 000976,  0.976, _,    -00029, 000077, -00040,    
 0001.505859, 000976,  0.976, _,    -00027, 000075, -00036,    
 0001.505859, 000976,  0.976, _,    -00027, 000077, -00033,    
 0001.507812, 000976,  0.976, _,    -00030, 000078, -00033,    
 0001.509766, 000977,  0.977, _,    -00034, 000080, -00034,    
 0001.509766, 000978,  0.978, _,    -00036, 000080, -00034,    
 0001.511719, 000977,  0.977, _,    -00038, 000078, -00035,    
 0001.511719, 000977,  0.977, _,    -00035, 000075, -00033,    
 0001.513672, 000976,  0.976, _,    -00032, 000076, -00029,    
 0001.513672, 000976,  0.976, _,    -00035, 000076, -00027,    
 0001.515625, 000976,  0.976, _,    -00037, 000075, -00028,    
 0001.515625, 000977,  0.977, _,    -00033, 000076, -00030,    
 0001.517578, 000977,  0.977, _,    -00029, 000073, -00032,    
 0001.517578, 000976,  0.976, _,    -00032, 000076, -00029,    
 0001.519531, 000976,  0.976, _,    -00033, 000077, -00029,    
 0001.519531, 000992,  0.992, _,    -00034, 000076, -00036,    
 0001.521484, 000982,  0.982, _,    -00041, 000077, -00040,    
 0001.521484, 000980,  0.980, _,    -00042, 000077, -00036,    
 0001.523438, 000977,  0.977, _,    -00036, 000077, -00033,    
 0001.523438, 000978,  0.978, _,    -00028, 000076, -00031,    
 0001.525391, 000977,  0.977, _,    -00030, 000072, -00033,    
 0001.525391, 000976,  0.976, _,    -00036, 000067, -00036,    
 0001.527344, 000977,  0.977, _,    -00034, 000068, -00037,    
 0001.527344, 000976,  0.976, _,    -00037, 000071, -00036,    
 0001.529297, 000976,  0.976, _,    -00041, 000073, -00037,    
 0001.529297, 000980,  0.980, _,    -00035, 000078, -00033,    
 0001.531250, 000978,  0.978, _,    -00030, 000081, -00028,    
 0001.531250, 000977,  0.977, _,    -00033, 000080, -00024,    
 0001.533203, 000976,  0.976, _,    -00035, 000074, -00024,    
 0001.533203, 000977,  0.977, _,    -00033, 000073, -00032,    
 0001.535156, 000976,  0.976, _,    -00031, 000076, -00036,    
 0001.535156, 000977,  0.977, _,    -00033, 000078, -00036,    
 0001.537109, 000977,  0.977, _,    -00036, 000075, -00035,    
 0001.537109, 000976,  0.976, _,    -00034, 000072, -00032,    
 0001.539062, 000976,  0.976, _,    -00032, 000072, -00029,    
 0001.539062, 000979,  0.979, _,    -00031, 000072, -00026,    
 0001.541016, 000976,  0.976, _,    -00033, 000073, -00026,    
 0001.541016, 000976,  0.976, _,    -00033, 000075, -00029,    
