 Mtime,       Mdur,      Mrx1, Mry1, Mrz1,    Max1,    May1,    Maz1,       Mcx1,    Mcy1,    Mcz1,   
 0000.895996, 000913,    0065, 0190, -042,    0065.00, 0190.00, -042.00,    -0.2303, -0.4190, 00.7386,    
 0000.906006, 000913,    0060, 0197, -042,    0060.00, 0197.00, -042.00,    -0.2022, -0.4581, 00.7386,    
 0000.915955, 000913,    0065, 0192, -038,    0065.00, 0192.00, -038.00,    -0.2303, -0.4302, 00.7614,    
 0000.925964, 000920,    0064, 0191, -036,    0064.00, 0191.00, -036.00,    -0.2247, -0.4246, 00.7727,    
 0000.935974, 000914,    0060, 0194, -040,    0060.00, 0194.00, -040.00,    -0.2022, -0.4413, 00.7500,    
 0000.945984, 000917,    0065, 0194, -038,    0065.00, 0194.00, -038.00,    -0.2303, -0.4413, 00.7614,    
 0000.955994, 000915,    0065, 0192, -040,    0065.00, 0192.00, -040.00,    -0.2303, -0.4302, 00.7500,    
 0000.966003, 000916,    0060, 0197, -047,    0060.00, 0197.00, -047.00,    -0.2022, -0.4581, 00.7102,    
 0000.975952, 000914,    0057, 0195, -039,    0057.00, 0195.00, -039.00,    -0.1854, -0.4469, 00.7557,    
 0000.985962, 000913,    0064, 0193, -041,    0064.00, 0193.00, -041.00,    -0.2247, -0.4358, 00.7443,    
 0000.995972, 000914,    0062, 0199, -038,    0062.00, 0199.00, -038.00,    -0.2135, -0.4693, 00.7614,    
 0001.005981, 000912,    0059, 0193, -044,    0059.00, 0193.00, -044.00,    -0.1966, -0.4358, 00.7273,    
 0001.015991, 000912,    0068, 0195, -036,    0068.00, 0195.00, -036.00,    -0.2472, -0.4469, 00.7727,    
 0001.026001, 000919,    0061, 0193, -041,    0061.00, 0193.00, -041.00,    -0.2079, -0.4358, 00.7443,    
 0001.036011, 000912,    0057, 0200, -039,    0057.00, 0200.00, -039.00,    -0.1854, -0.4749, 00.7557,    
 0001.045959, 000916,    0059, 0193, -044,    0059.00, 0193.00, -044.00,    -0.1966, -0.4358, 00.7273,    
 0001.055969, 000914,    0060, 0194, -035,    0060.00, 0194.00, -035.00,    -0.2022, -0.4413, 00.7784,    
 0001.065979, 000913,    0068, 0193, -044,    0068.00, 0193.00, -044.00,    -0.2472, -0.4358, 00.7273,    
 0001.075989, 000913,    0064, 0188, -041,    0064.00, 0188.00, -041.00,    -0.2247, -0.4078, 00.7443,    
 0001.085999, 000911,    0061, 0193, -039,    0061.00, 0193.00, -039.00,    -0.2079, -0.4358, 00.7557,    
 0001.096008, 000909,    0062, 0197, -038,    0062.00, 0197.00, -038.00,    -0.2135, -0.4581, 00.7614,    
 0001.105957, 000913,    0058, 0194, -038,    0058.00, 0194.00, -038.00,    -0.1910, -0.4413, 00.7614,    
 0001.115967, 000915,    0062, 0197, -042,    0062.00, 0197.00, -042.00,    -0.2135, -0.4581, 00.7386,    
 0001.125977, 000916,    0061, 0198, -044,    0061.00, 0198.00, -044.00,    -0.2079, -0.4637, 00.7273,    
 0001.135986, 000911,    0065, 0192, -030,    0065.00, 0192.00, -030.00,    -0.2303, -0.4302, 00.8068,    
 0001.145996, 000911,    0064, 0195, -039,    0064.00, 0195.00, -039.00,    -0.2247, -0.4469, 00.7557,    
 0001.156006, 000914,    0064, 0193, -039,    0064.00, 0193.00, -039.00,    -0.2247, -0.4358, 00.7557,    
 0001.165955, 000913,    0062, 0194, -040,    0062.00, 0194.00, -040.00,    -0.2135, -0.4413, 00.7500,    
