 Stime,       Sdur,      I1,   I2,   I3,   I4,   I5,   I6,   I7,   I8,   I9,   I0,      O1,   O2,   O3,   O4,   O5,   O6,   O7,   O8,   O9,   O0,  
 0000.491928, 000017,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0000.691971, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0000.891968, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.091965, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.291962, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.491959, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.691956, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0001.891968, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.091965, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.291962, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.491959, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.691971, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0002.891968, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.091965, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.291962, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.491959, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.691971, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0003.891968, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.091965, 000010,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.291962, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.491959, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.691971, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0004.891968, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.091965, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.291962, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.491959, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.691971, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0005.891968, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0006.091965, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0006.291962, 000011,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
 0006.491959, 000012,    0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000, 0000,    1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000,    
