 Gtime        Gdur      Grx     Gry     Grz        Gax        Gay        Gaz           Gcx      Gcy      Gcz     
 4111.977051  000788    -00036  000067  -00035     -00036.00  000067.00  -00035.00     00.0178  -0.0096  00.0093     
 4112.177246  000810    -00035  000067  -00034     -00035.00  000067.00  -00034.00     00.0178  -0.0093  00.0091     
 4112.276855  000776    -00036  000067  -00035     -00036.00  000067.00  -00035.00     00.0178  -0.0096  00.0093     
 4112.376953  000766    -00035  000066  -00035     -00035.00  000066.00  -00035.00     00.0176  -0.0093  00.0093     
 4112.477051  001209    -00034  000066  -00035     -00034.00  000066.00  -00035.00     00.0176  -0.0091  00.0093     
 4112.577148  000798    -00034  000067  -00034     -00034.00  000067.00  -00034.00     00.0178  -0.0091  00.0091     
 4112.677246  000795    -00035  000067  -00034     -00035.00  000067.00  -00034.00     00.0178  -0.0093  00.0091     
 4112.776855  000805    -00035  000067  -00034     -00035.00  000067.00  -00034.00     00.0178  -0.0093  00.0091     
 4112.876953  000763    -00036  000068  -00034     -00036.00  000068.00  -00034.00     00.0181  -0.0096  00.0091     
 4112.977051  001183    -00034  000068  -00035     -00034.00  000068.00  -00035.00     00.0181  -0.0091  00.0093     
